,STATE,GEOID,NAME,DISTRICT,RATING,FLIP,R NOM,D NOM,I NOM,COUNTIES
3357,TX,48026,26,TX-HD-26,Toss-Up,,TBA,TBA,,Fort Bend
3385,TX,48054,54,TX-HD-54,Lean R,,Brad Buckley [I],Likeithia Williams [I],,"Bell (~87%), Lampasas (~13%)"
3397,TX,48066,66,TX-HD-66,Toss-Up,,Matt Shaheen [I],Sharon Hirsch,,Collin
3398,TX,48067,67,TX-HD-67,Toss-Up,,Jeff Leach [I],TBA,,Collin
3423,TX,48092,92,TX-HD-92,Tilt R,,Jeff Cason,Jeff Whitfield,,Tarrant
3427,TX,48096,96,TX-HD-96,Toss-Up,,David Cook,Joe Drago,,Tarrant
3439,TX,48108,108,TX-HD-108,Toss-Up,,Morgan Meyer [I],Joanna Cattanach,,Dallas
3443,TX,48112,112,TX-HD-112,Toss-Up,,Angie Chen Button [I],Brandy Chambers,,Dallas
3452,TX,48121,121,TX-HD-121,Lean R,,Steve Allison [I],Celina Montoya,,Bexar
3463,TX,48132,132,TX-HD-132,Toss-Up,,Mike Schofield,Gina Calanni [I],,Harris
3465,TX,48134,134,TX-HD-134,Lean R,,Sarah Davis [I],Ann Johnson,,Harris
