,STATE,GEOID,NAME,DISTRICT,RATING,FLIP,R NOM,D NOM,I NOM
689,MN,27005,5,MN-SD-05,Lean R,,Justin Eichorn [I],Rita Albrecht,"Robyn Smith, Dennis Barsness"
698,MN,27014,14,MN-SD-14,Toss-Up,,Jerry Relph [I],Aric Putnam,Jaden Partlow
704,MN,27020,20,MN-SD-20,Lean R,,Rich Draheim [I],Jon Olson,Jason Hoschette
710,MN,27026,26,MN-SD-26,Lean R,,Carla Nelson [I],Aleta Borrund,
711,MN,27027,27,MN-SD-27,Lean D,,Gene Dornink,Dan Sparks [I],Tyler Becvar
721,MN,27037,37,MN-SD-37,Lean D,,Brad Sanford,Jerry Newton [I],
722,MN,27038,38,MN-SD-38,Lean R,,Roger Chamberlain [I],Justin Stofferahn,
732,MN,27048,48,MN-SD-48,Lean D,,Jeff Jiang,Steve Cwodzinski [I],
738,MN,27054,54,MN-SD-54,Lean D,,Leilani Holmstadt,Karla Bigham [I],
740,MN,27056,56,MN-SD-56,Toss-Up,,Dan Hall [I],TBA,
742,MN,27058,58,MN-SD-58,Toss-Up,,Zach Duckworth,Matt Little [I],
