state,state_fips,district,district_num,incumbent,flip,favored,confidence,nom_R,nom_D,nom_I,totalvotes,imputedvotes
AK,2,AK-SD-A,00A,False,False,Election,No,False,False,False,9012.0,False
AK,2,AK-SD-B,00B,False,False,R,Likely,TBA,False,"Marna Sanford, Evan Eads",13044.0,True
AK,2,AK-SD-C,00C,False,False,Election,No,False,False,False,10896.0,False
AK,2,AK-SD-D,00D,False,False,R,Safe,TBA,False,"Dan Mayfield, Thomas Lamb",13044.0,True
AK,2,AK-SD-E,00E,False,False,Election,No,False,False,False,15598.0,False
AK,2,AK-SD-F,00F,R,False,R,Safe,Shelley Hughes,False,"Gavin Christiansen, Allan Riordan-Randall, Stephany Jeffers",13044.0,True
AK,2,AK-SD-G,00G,False,False,Election,No,False,False,False,13234.0,False
AK,2,AK-SD-H,00H,D,False,D,Safe,Madeline Gaiser,Bill Wielechowski,False,13044.0,True
AK,2,AK-SD-I,00I,False,False,Election,No,False,False,False,11225.0,False
AK,2,AK-SD-J,00J,D,False,D,Uncontested,False,Tom Begich,False,13044.0,True
AK,2,AK-SD-K,00K,False,False,Election,No,False,False,False,14714.0,False
AK,2,AK-SD-L,00L,False,False,R,Lean,TBA,Roselynn Cacy,Jeff Landfield,13044.0,True
AK,2,AK-SD-M,00M,False,False,R,Safe,TBA,TBA,Andy Holleman,14818.0,False
AK,2,AK-SD-N,00N,False,False,R,Lean,TBA,TBA,Care Clift,13044.0,True
AK,2,AK-SD-O,00O,False,False,Election,No,False,False,False,14393.0,False
AK,2,AK-SD-P,00P,False,False,R,Safe,TBA,False,Greg Madden,13044.0,True
AK,2,AK-SD-Q,00Q,False,False,Election,No,False,False,False,17973.0,False
AK,2,AK-SD-R,00R,False,False,R,Uncontested,TBA,False,False,13044.0,True
AK,2,AK-SD-S,00S,False,False,Election,No,False,False,False,8573.0,False
AK,2,AK-SD-T,00T,D,False,D,Safe,TBA,Donny Olson,False,13044.0,True
AZ,4,AZ-SD-1,001,R,False,R,Uncontested,Karen Fann,False,False,110410.0,False
AZ,4,AZ-SD-2,002,False,False,D,Safe,Mark Workman,Rosanna Gabaldón,False,61818.0,False
AZ,4,AZ-SD-3,003,D,False,D,Uncontested,False,Sally Ann Gonzales,False,45529.0,False
AZ,4,AZ-SD-4,004,D,False,D,Safe,Travis Angry,Lisa Otondo,False,33214.0,False
AZ,4,AZ-SD-5,005,R,False,R,Uncontested,Sonny Borrelli,False,False,74984.0,False
AZ,4,AZ-SD-6,006,False,False,R,Lean,TBA,Feclia French,False,94376.0,False
AZ,4,AZ-SD-7,007,D,False,D,Uncontested,False,Jamescita Mae Peshlakai,False,64270.0,False
AZ,4,AZ-SD-8,008,False,False,R,Safe,T.J. Shope,Barbara McGuire,False,55541.0,False
AZ,4,AZ-SD-9,009,D,False,D,Uncontested,False,Victoria Steele,False,93329.0,False
AZ,4,AZ-SD-10,010,False,False,D,Likely,Justine Wadsack,Kirsten Engel,False,89563.0,False
AZ,4,AZ-SD-11,011,R,False,R,Safe,Vince Leach,TBA,False,97581.0,False
AZ,4,AZ-SD-12,012,False,False,R,Safe,Warren Peterson,Lynsey Robinson,False,105408.0,False
