state_po,office,NAME,DIST_NAME,GEOID,confidence,predicted_winner,win_party,win_margin
AR,lower,45,MANUAL,5045,Safe,R,republican,1
CT,lower,17,MANUAL,9017,Likely,R,republican,0.01
CT,lower,114,MANUAL,9114,Safe,R,republican,0.087255328
FL,lower,107,MANUAL,12107,Safe,D,democrat,1
KS,lower,81,MANUAL,20081,Safe,R,republican,1
KS,lower,85,MANUAL,20085,Likely,R,republican,0.08
KS,lower,97,MANUAL,20097,Safe,R,republican,0.15
KS,lower,98,MANUAL,20098,Lean,D,republican,0.024
KS,lower,100,MANUAL,20100,Safe,R,republican,0.206
MN,lower,47B,MANUAL,2747B,Lean,D,republican,0.005
NY,lower,140,MANUAL,36140,Safe,D,democrat,0.446268056
OR,lower,15,MANUAL,41015,Safe,R,republican,0.157
CO,upper,7,MANUAL,8007,Safe,R,republican,0.271
HI,upper,19,MANUAL,15019,Safe,D,republican,0.01
UT,upper,8,MANUAL,49008,Lean,R,democrat,0.141
WA,upper,35,MANUAL,53035,Tilt,R,republican,0.04
SC,lower,75,MANUAL,45075,Likely,R,republican,0.151
SC,lower,81,MANUAL,45081,Safe,R,republican,0.26
SC,lower,85,MANUAL,45085,Safe,R,republican,0.321
SC,lower,87,MANUAL,45087,Safe,R,republican,0.476
SC,lower,93,MANUAL,45093,Safe,D,democrat,0.32
SC,lower,94,MANUAL,45094,Safe,R,republican,0.26
SC,lower,95,MANUAL,45095,Safe,D,democrat,0.451
SC,lower,96,MANUAL,45096,Safe,R,republican,0.438
SC,lower,97,MANUAL,45097,Likely,D,republican,0.078
SC,lower,99,MANUAL,45099,Safe,R,republican,0.22
SC,lower,100,MANUAL,45100,Safe,R,republican,0.26
SC,lower,102,MANUAL,45102,Safe,D,democrat,0.219
SC,lower,106,MANUAL,45106,Safe,R,republican,0.369
SC,lower,110,MANUAL,45110,Lean,R,republican,0.102
SC,lower,112,MANUAL,45112,Safe,R,republican,0.147
SC,lower,114,MANUAL,45114,Safe,R,republican,0.089
SC,lower,115,MANUAL,45115,Likely,R,republican,0.029
SC,lower,116,MANUAL,45116,Likely,D,democrat,0.122
SC,lower,117,MANUAL,45117,Safe,R,republican,0.522147123
SC,lower,119,MANUAL,45119,Safe,D,democrat,0.3
SC,lower,120,MANUAL,45120,Safe,R,republican,0.283
SC,lower,121,MANUAL,45121,Safe,D,democrat,1
