DISTRICT,NEW_RATING
NE SD-2,UNCONTESTED R
NE SD-4,UNCONTESTED R
NE SD-6,UNCONTESTED D
NE SD-8,UNCONTESTED D
NE SD-10,UNCONTESTED D
NE SD-12,UNCONTESTED D
NE SD-14,UNCONTESTED R
NE SD-16,UNCONTESTED R
NE SD-18,UNCONTESTED R
NE SD-20,UNCONTESTED R
NE SD-22,UNCONTESTED R
NE SD-24,UNCONTESTED R
NE SD-26,UNCONTESTED D
NE SD-28,UNCONTESTED D
NE SD-30,UNCONTESTED R
NE SD-32,UNCONTESTED R
NE SD-34,UNCONTESTED R
NE SD-36,UNCONTESTED R
NE SD-38,UNCONTESTED R
NE SD-40,UNCONTESTED R
NE SD-42,UNCONTESTED R
NE SD-44,UNCONTESTED R
NE SD-46,UNCONTESTED D
NE SD-48,UNCONTESTED R
