DISTRICT,NEW_RATING
AZ SD-21,SAFE R
FL HD-64,TILT R
FL SD-09,TILT R
HI HD-36,LEAN R
HI HD-41,LEAN D
HI SD-19,TILT D
"MA SD-NORFOLK, BRISTOL, & MIDDLESEX",LIKELY D
MA SD-2nd HAMPDEN & HAMPSHIRE,LIKELY D
MA SD-WORCESTER & MIDDLESEX,TILT R
MA HD-1st BARNSTABLE,LIKELY R
MA HD-2nd WORCESTER,SAFE D
ME SD-01,LIKELY D
ME SD-14,SAFE D
ME SD-17,LEAN R
ME SD-20,TILT D
ME SD-21,LIKELY D
ME HD-29,LEAN D
ME HD-75,TOSS-UP
ME HD-76,TILT R
ME HD-148,SAFE D
MI HD-41,LIKELY D
MI HD-50,SAFE D
NH HD-MERRIMACK 8,LEAN D
WA HD-6B,LEAN R
WA SD-18,SAFE R
WA HD-18A,SAFE R
WA HD-18B,LIKELY R
WA SD-19,TOSS-UP
WA HD-19A,LEAN R
WA HD-19B,TOSS-UP
WA SD-24,LEAN D
WA HD-24B,LEAN D
WA HD-28A,TILT D
WA HD-25A,LEAN R
WA HD-25B,LEAN R
WA HD-26A,LEAN R
WA HD-26B,SAFE R
WA HD-5A,LIKELY D
WA SD-10,TILT R
WA HD-47A,SAFE D
WI SD-32,TILT D
