state,VAP_turnout,non_citizen,CVAP_turnout
AL,0.56,0.03,0.58
AK,0.57,0.04,0.60
AZ,0.49,0.09,0.54
AR,0.49,0.04,0.51
CA,0.47,0.16,0.56
CO,0.65,0.07,0.69
CT,0.58,0.08,0.63
DE,0.59,0.06,0.63
DC,0.55,0.08,0.60
FL,0.57,0.11,0.64
GA,0.53,0.07,0.57
HI,0.38,0.09,0.42
ID,0.55,0.04,0.58
IL,0.57,0.09,0.62
IN,0.54,0.04,0.56
IA,0.65,0.04,0.68
KS,0.54,0.05,0.57
KY,0.56,0.02,0.57
LA,0.57,0.03,0.58
ME,0.69,0.02,0.71
MD,0.60,0.09,0.65
MA,0.61,0.09,0.67
MI,0.62,0.04,0.64
MN,0.69,0.05,0.73
MS,0.53,0.01,0.54
MO,0.60,0.03,0.61
MT,0.61,0.01,0.62
NE,0.59,0.06,0.62
NV,0.49,0.13,0.57
NH,0.69,0.03,0.71
NJ,0.56,0.12,0.63
NM,0.50,0.07,0.54
NY,0.50,0.12,0.56
NC,0.60,0.06,0.64
ND,0.59,0.02,0.61
OH,0.61,0.02,0.63
OK,0.49,0.05,0.51
OR,0.62,0.06,0.66
PA,0.61,0.04,0.63
RI,0.55,0.07,0.59
SC,0.54,0.03,0.56
SD,0.57,0.03,0.58
TN,0.49,0.04,0.50
TX,0.43,0.13,0.50
UT,0.53,0.07,0.57
VT,0.62,0.02,0.64
VA,0.61,0.07,0.65
WA,0.58,0.09,0.64
WV,0.49,0.01,0.50
WI,0.66,0.03,0.68
WY,0.57,0.02,0.59
