Dist,Incumbent,PVI,Clinton %,Trump %,Obama %,Romney %
AL-01,Bradley Byrne (R),R+15,33.8,63,37.3,61.7
AL-02,Martha Roby (R),R+16,32.8,64.5,36.4,62.8
AL-03,Mike Rogers (R),R+16,31.9,64.8,36.7,62.2
AL-04,Robert Aderholt (R),R+30,17.3,79.8,23.9,74.7
AL-05,Mo Brooks (R),R+18,30.9,63.7,34.8,63.7
AL-06,Gary Palmer (R),R+26,25.8,69.6,24.6,74.3
AL-07,Terri Sewell (D),D+20,69.5,28.3,72.5,27
AK-AL,Don Young (R),R+9,36.6,51.3,40.8,54.8
AZ-01,Tom O'Halleran (D),R+2,46,47,47.9,50.4
AZ-02,Ann Kirkpatrick (D),R+1,48.7,43.9,48.4,49.9
AZ-03,Raul Grijalva (D),D+13,61.6,32.1,61.4,36.9
AZ-04,Paul Gosar (R),R+21,27,66.4,31,67.2
AZ-05,Andy Biggs (R),R+15,35.5,56.1,34.6,63.8
AZ-06,David Schweikert (R),R+9,41.7,51.6,38.8,59.5
AZ-07,Ruben Gallego (D),D+23,70.6,22.3,71.7,26.5
AZ-08,Debbie Lesko (R),R+13,36.4,57.1,36.9,61.7
AZ-09,Greg Stanton (D),D+4,53.5,37.6,51.1,46.6
AR-01,Rick Crawford (R),R+17,30.2,65,36.3,61
AR-02,French Hill (R),R+7,41.7,52.4,42.9,54.8
AR-03,Steve Womack (R),R+19,30.5,61.9,31.6,65.5
AR-04,Bruce Westerman (R),R+17,31.3,64.2,35.9,61.8
CA-01,Doug LaMalfa (R),R+11,36,55.4,40.1,56.4
CA-02,Jared Huffman (D),D+22,68.3,23.1,68.9,26.9
CA-03,John Garamendi (D),D+5,52.6,40.1,54.3,43.1
CA-04,Tom McClintock (R),R+10,38.5,53,39.5,57.8
CA-05,Mike Thompson (D),D+21,68.8,24.2,69.7,27.4
CA-06,Doris Matsui (D),D+21,68,24,69.1,28.3
CA-07,Ami Bera (D),D+3,51.4,40.1,50.8,46.8
CA-08,Paul Cook (R),R+9,39.6,54.7,41.7,55.6
CA-09,Jerry McNerney (D),D+8,55.3,37.2,57.8,40.1
CA-10,Josh Harder (D),EVEN,47.9,44.9,50.5,46.9
CA-11,Mark DeSaulnier (D),D+21,69.7,22.1,67.6,30
CA-12,Nancy Pelosi (D),D+37,85.2,8.6,84.1,12.5
CA-13,Barbara Lee (D),D+40,86,6.7,87.5,9
CA-14,Jackie Speier (D),D+27,76.8,18.2,74.2,23.6
CA-15,Eric Swalwell (D),D+20,68.6,23.7,68,29.8
CA-16,Jim Costa (D),D+9,57.2,35.9,58.5,39.3
CA-17,Ro Khanna (D),D+25,73.6,20.4,71.9,25.5
CA-18,Anna Eshoo (D),D+23,73.4,20.2,68.2,28.9
CA-19,Zoe Lofgren (D),D+24,72.9,21.5,71.2,26.5
CA-20,Jimmy Panetta (D),D+23,69.9,23.1,70.8,26.2
CA-21,T.J. Cox (D),D+5,54.7,39.3,54.6,43.5
CA-22,Devin Nunes (R),R+8,41.9,51.3,41.6,56.6
CA-23,Kevin McCarthy (R),R+14,35.8,57.7,36.1,61.5
CA-24,Salud Carbajal (D),D+7,55.9,36,53.9,43
CA-25,Katie Hill (D),EVEN,50.1,43.4,47.9,49.7
CA-26,Julia Brownley (D),D+7,56.6,35.2,54,43.7
CA-27,Judy Chu (D),D+16,66,28.4,62.6,35
CA-28,Adam Schiff (D),D+23,72.1,22.3,70.3,26.5
CA-29,Tony Cardenas (D),D+29,77.7,16.8,77,20.5
CA-30,Brad Sherman (D),D+18,69.1,25.7,65.3,32.1
CA-31,Pete Aguilar (D),D+8,57.7,36.6,57.2,40.6
CA-32,Grace Napolitano (D),D+17,66.6,27.7,65.2,32.5
CA-33,Ted Lieu (D),D+16,67.8,26.5,60.6,36.8
CA-34,Jimmy Gomez (D),D+35,83.6,10.7,83,14.1
CA-35,Norma Torres (D),D+19,67.7,26.9,67.4,30.6
CA-36,Raul Ruiz (D),D+2,52.2,43.4,50.7,47.5
CA-37,Karen Bass (D),D+37,85.7,9.6,84.9,12.7
CA-38,Linda Sanchez (D),D+17,67,27.4,64.9,33
CA-39,Gil Cisneros (D),EVEN,51.1,42.6,47.1,50.8
CA-40,Lucille Roybal-Allard (D),D+33,82.2,12.8,81.5,16.5
CA-41,Mark Takano (D),D+12,61,33.1,61.5,36.3
CA-42,Ken Calvert (R),R+9,41.4,53.4,41.4,56.5
CA-43,Maxine Waters (D),D+29,78.4,16.7,78,20
CA-44,Nanette Barragan (D),D+35,83,12.3,84.7,13.6
CA-45,Katie Porter (D),R+3,49.4,44,43,54.8
CA-46,Lou Correa (D),D+15,65.6,27.6,61.4,36.2
CA-47,Alan Lowenthal (D),D+13,62.4,30.9,60,37.5
CA-48,Harley Rouda (D),R+4,47.5,45.8,43,54.7
CA-49,Mike Levin (D),R+1,50.5,43.1,45.7,52.3
CA-50,Duncan Hunter (R),R+11,39.6,54.6,37.6,60.4
CA-51,Juan Vargas (D),D+22,71.7,22.7,69.4,28.9
CA-52,Scott Peters (D),D+6,58.1,35.6,52.1,45.7
CA-53,Susan Davis (D),D+14,64.5,29.6,61.4,36.4
CO-01,Diana DeGette (D),D+21,69.1,23.3,69,28.9
CO-02,Joe Neguse (D),D+9,56.3,35,58,39.5
CO-03,Scott Tipton (R),R+6,40,52,45.8,51.8
CO-04,Ken Buck (R),R+13,34.3,57.4,39.3,58.6
CO-05,Doug Lamborn (R),R+14,33.2,57.2,38.3,59.1
CO-06,Jason Crow (D),D+2,50.2,41.3,51.8,46.7
CO-07,Ed Perlmutter (D),D+6,51.8,39.7,56.4,41.5
CT-01,John Larson (D),D+12,59.3,36.3,63.3,35.6
CT-02,Joe Courtney (D),D+3,48.6,45.7,55.9,42.6
CT-03,Rosa DeLauro (D),D+9,55.8,40.3,62.6,36.3
CT-04,Jim Himes (D),D+7,59.5,36.5,55.1,44
CT-05,Jahana Hayes (D),D+2,49.9,45.8,53.5,45.3
DE-AL,Lisa Blunt Rochester (D),D+6,53.2,41.8,58.6,40
FL-01,Matt Gaetz (R),R+22,28.2,67.5,null,null
