STATE,DISTRICT,Obama 2012 President D,Romney 2012 President R
AR,AR House 1,"3,665","6,081"
AR,AR House 2,"2,479","8,715"
AR,AR House 3,"3,413","5,874"
AR,AR House 4,"2,517","6,369"
AR,AR House 5,"6,024","4,677"
AR,AR House 6,"3,614","9,112"
AR,AR House 7,"4,768","6,428"
AR,AR House 8,"3,953","6,133"
AR,AR House 9,"4,021","6,176"
AR,AR House 10,"2,865","7,545"
AR,AR House 11,"5,704","4,289"
AR,AR House 12,"5,888","3,459"
AR,AR House 13,"3,285","6,270"
AR,AR House 14,"4,096","6,199"
AR,AR House 15,"2,625","8,163"
AR,AR House 16,"7,803","3,469"
AR,AR House 17,"7,672","1,102"
AR,AR House 18,"5,005","7,597"
AR,AR House 19,"2,741","6,430"
AR,AR House 20,"2,330","7,809"
AR,AR House 21,"2,726","8,638"
AR,AR House 22,"3,669","9,083"
AR,AR House 23,"3,495","10,359"
AR,AR House 24,"4,052","7,865"
AR,AR House 25,"4,738","6,254"
AR,AR House 26,"3,852","6,644"
AR,AR House 27,"3,481","7,679"
AR,AR House 28,"3,327","7,101"
AR,AR House 29,"7,357","1,802"
AR,AR House 30,"8,955","2,391"
AR,AR House 31,"4,089","10,368"
AR,AR House 32,"5,747","9,032"
AR,AR House 33,"8,477","4,284"
AR,AR House 34,"7,998","2,156"
AR,AR House 35,"7,143","7,500"
AR,AR House 36,"8,617","1,845"
AR,AR House 37,"7,016","1,974"
AR,AR House 38,"5,920","7,794"
AR,AR House 39,"5,300","7,765"
AR,AR House 40,"3,486","7,674"
AR,AR House 41,"5,178","7,956"
AR,AR House 42,"4,325","4,328"
AR,AR House 43,"1,895","8,349"
AR,AR House 44,"2,172","8,370"
AR,AR House 45,"1,943","6,404"
AR,AR House 46,"2,200","7,823"
AR,AR House 47,"3,411","5,363"
AR,AR House 48,"5,715","2,809"
AR,AR House 49,"4,397","6,255"
AR,AR House 50,"5,883","3,356"
AR,AR House 51,"4,040","5,017"
AR,AR House 52,"3,225","6,682"
AR,AR House 53,"2,801","5,924"
AR,AR House 54,"2,879","5,628"
AR,AR House 55,"4,929","3,154"
AR,AR House 56,"3,133","5,982"
AR,AR House 57,"2,688","6,217"
AR,AR House 58,"3,473","7,252"
AR,AR House 59,"3,201","4,886"
AR,AR House 60,"3,048","6,437"
AR,AR House 61,"3,541","6,872"
AR,AR House 62,"3,064","7,881"
AR,AR House 63,"2,727","7,077"
AR,AR House 64,"3,328","9,681"
AR,AR House 65,"3,834","6,305"
AR,AR House 66,"2,836","8,614"
AR,AR House 67,"2,539","8,626"
AR,AR House 68,"2,561","8,712"
AR,AR House 69,"3,127","6,053"
AR,AR House 70,"4,294","7,046"
AR,AR House 71,"2,606","5,623"
AR,AR House 72,"4,229","4,516"
AR,AR House 73,"2,256","5,389"
AR,AR House 74,"2,591","7,296"
AR,AR House 75,"2,451","8,416"
AR,AR House 76,"3,427","8,160"
AR,AR House 77,"3,288","6,684"
AR,AR House 78,"2,951","2,114"
AR,AR House 79,"2,314","6,557"
AR,AR House 80,"3,204","7,571"
AR,AR House 81,"2,995","7,311"
AR,AR House 82,"3,206","7,366"
AR,AR House 83,"2,985","8,824"
AR,AR House 84,"5,817","7,776"
AR,AR House 85,"5,918","5,542"
AR,AR House 86,"5,179","3,357"
AR,AR House 87,"2,547","7,777"
AR,AR House 88,"2,959","6,010"
AR,AR House 89,"1,740","2,577"
AR,AR House 90,"2,718","7,683"
AR,AR House 91,"2,465","7,434"
AR,AR House 92,"3,392","8,771"
AR,AR House 93,"3,400","7,279"
AR,AR House 94,"3,009","5,431"
AR,AR House 95,"3,379","8,111"
AR,AR House 96,"3,023","5,950"
AR,AR House 97,"4,387","7,452"
AR,AR House 98,"2,765","7,517"
AR,AR House 99,"3,334","8,471"
AR,AR House 100,"3,570","9,618"
