STATE,DISTRICT,Clinton 2016 President D,Trump 2016 President R,Obama 2012 President D,Romney 2012 President R,Feinstein 2012 Senate D,Emken 2012 Senate R
CA,CA Assembly 1,"78,448","123,348","83,622","120,934","86,487","120,461"
CA,CA Assembly 2,"129,765","60,457","129,676","61,175","133,342","62,487"
CA,CA Assembly 3,"70,105","94,699","70,970","91,140","73,091","90,823"
CA,CA Assembly 4,"123,163","58,516","115,736","62,041","117,875","61,445"
CA,CA Assembly 5,"74,313","105,839","76,872","104,164","77,767","104,786"
CA,CA Assembly 6,"98,850","124,903","87,011","133,241","89,806","128,853"
CA,CA Assembly 7,"113,064","42,943","102,635","44,962","102,093","44,380"
CA,CA Assembly 8,"97,714","77,439","92,921","81,961","94,632","78,927"
CA,CA Assembly 9,"106,100","56,775","97,294","60,275","97,296","57,714"
CA,CA Assembly 10,"179,560","42,629","167,546","52,882","173,171","48,315"
CA,CA Assembly 11,"106,659","63,724","100,958","61,061","102,929","59,666"
CA,CA Assembly 12,"74,393","88,102","70,568","81,994","71,515","81,303"
CA,CA Assembly 13,"85,954","43,398","81,849","43,173","80,891","43,391"
CA,CA Assembly 14,"136,210","47,918","127,793","53,340","130,431","51,188"
CA,CA Assembly 15,"200,652","16,156","185,935","20,464","186,354","19,653"
CA,CA Assembly 16,"155,538","70,523","132,558","92,070","139,001","84,950"
CA,CA Assembly 17,"205,037","16,172","180,671","19,417","179,491","18,204"
CA,CA Assembly 18,"168,004","16,503","154,001","18,137","152,061","17,783"
CA,CA Assembly 19,"174,463","28,501","150,222","34,974","156,394","27,019"
CA,CA Assembly 20,"125,695","31,825","115,760","33,855","115,516","31,997"
CA,CA Assembly 21,"69,630","50,303","62,795","47,463","62,755","47,045"
CA,CA Assembly 22,"160,498","42,176","140,205","51,635","144,791","45,072"
CA,CA Assembly 23,"80,259","92,731","74,304","93,532","75,019","92,181"
CA,CA Assembly 24,"156,218","31,835","135,397","46,844","138,407","43,411"
CA,CA Assembly 25,"118,083","33,533","105,443","36,781","106,109","35,277"
