STATE,DISTRICT,Clinton 2016 President D,Trump 2016 President R,Obama 2012 President D,Romney 2012 President R,Murphy 2012 Senate D,McMahon 2012 Senate R
CT,CT House 1,"6,076",510,"7,337",537,"7,354",771
CT,CT House 2,"6,129","5,416","5,918","5,437","5,473","5,487"
CT,CT House 3,"4,956",409,"5,009",320,"4,201",584
CT,CT House 4,"4,741",498,"4,576",343,"3,926",533
CT,CT House 5,"8,303","1,242","8,711","1,273","7,913","1,610"
CT,CT House 6,"5,693",788,"5,650",730,"5,062",951
CT,CT House 7,"6,395",253,"6,317",180,"6,440",407
CT,CT House 8,"6,346","6,456","7,193","5,648","6,487","5,831"
CT,CT House 9,"6,592","3,467","6,985","3,330","6,128","3,538"
CT,CT House 10,"6,254","2,434","6,855","2,024","5,861","2,315"
CT,CT House 11,"5,383","2,132","5,611","1,873","4,810","2,134"
CT,CT House 12,"6,667","3,617","6,865","3,305","6,192","3,510"
CT,CT House 13,"7,065","4,220","7,000","4,429","6,363","4,566"
CT,CT House 14,"7,269","5,169","7,227","5,436","6,776","5,441"
CT,CT House 15,"10,642","2,096","10,914","2,394","10,053","2,590"
CT,CT House 16,"7,825","5,357","6,853","6,710","6,563","6,635"
CT,CT House 17,"7,115","5,864","6,354","6,878","6,164","6,689"
CT,CT House 18,"8,903","2,502","7,852","3,400","7,745","3,293"
CT,CT House 19,"9,590","4,257","8,199","5,891","7,989","5,794"
CT,CT House 20,"7,472","2,830","6,979","3,088","6,566","3,236"
CT,CT House 21,"7,110","5,570","6,495","6,149","6,221","6,060"
CT,CT House 22,"5,318","5,009","6,010","3,680","5,244","3,893"
CT,CT House 23,"7,433","6,166","7,259","6,015","6,953","5,906"
CT,CT House 24,"5,586","2,895","5,913","2,427","5,294","2,644"
CT,CT House 25,"4,740","1,109","4,937",838,"4,203","1,120"
CT,CT House 26,"4,574","2,348","4,833","1,820","4,363","1,978"
CT,CT House 27,"6,914","5,173","7,108","4,558","6,473","4,699"
CT,CT House 28,"6,941","5,720","6,944","5,545","6,453","5,564"
CT,CT House 29,"6,446","4,975","6,565","5,030","6,081","5,055"
CT,CT House 30,"5,807","7,342","6,388","6,255","5,805","6,485"
CT,CT House 31,"7,854","5,622","7,054","6,724","6,513","6,837"
CT,CT House 32,"6,302","5,977","6,727","5,334","6,074","5,550"
CT,CT House 33,"6,444","3,347","6,668","2,939","6,042","3,085"
CT,CT House 34,"5,869","6,458","6,275","5,528","5,655","5,721"
CT,CT House 35,"6,378","6,478","6,690","5,660","6,024","5,740"
CT,CT House 36,"7,209","6,034","7,435","5,570","6,818","5,655"
CT,CT House 37,"6,541","5,396","6,546","4,905","6,116","4,796"
CT,CT House 38,"6,175","5,952","6,702","4,974","6,218","4,919"
CT,CT House 39,"4,958","1,323","5,367","1,084","4,452","1,284"
CT,CT House 40,"3,990","3,340","4,035","2,828","3,690","2,778"
CT,CT House 41,"6,401","3,749","6,332","3,636","5,742","3,577"
CT,CT House 42,"4,586","5,358","5,127","4,664","4,772","4,505"
