STATE,DISTRICT, Clinton 2016 President D,Trump 2016 President R,Obama 2012 President D,Romney 2012 President R,Nelson 2012 Senate D,Mack 2012 Senate R
FL,FL House 1,"27,209","49,858","27,776","48,187","31,885","41,541"
FL,FL House 2,"32,702","45,568","32,679","46,905","35,653","40,972"
FL,FL House 3,"17,915","69,385","17,613","61,248","22,045","53,198"
FL,FL House 4,"21,879","61,229","21,306","60,725","24,201","53,750"
FL,FL House 5,"16,955","59,908","18,790","53,032","25,609","43,525"
FL,FL House 6,"21,232","58,419","21,358","53,709","27,322","44,990"
FL,FL House 7,"20,952","48,094","24,885","43,837","33,115","32,977"
FL,FL House 8,"53,740","16,151","55,626","16,192","55,432","13,667"
FL,FL House 9,"51,837","41,988","49,352","44,127","53,332","36,550"
FL,FL House 10,"16,771","50,136","19,053","44,817","24,901","36,381"
FL,FL House 11,"27,467","64,507","24,643","59,262","30,211","49,392"
FL,FL House 12,"31,030","43,460","28,300","43,870","31,600","36,748"
FL,FL House 13,"42,285","21,790","44,636","22,236","45,240","18,857"
FL,FL House 14,"47,684","24,300","48,180","23,237","49,466","19,425"
FL,FL House 15,"33,057","39,614","31,160","40,271","34,071","34,153"
FL,FL House 16,"35,049","52,267","30,068","52,668","34,218","44,157"
FL,FL House 17,"36,397","74,884","28,786","66,545","33,696","56,730"
FL,FL House 18,"23,234","58,937","21,265","55,877","25,445","47,564"
FL,FL House 19,"18,620","51,645","20,825","45,670","26,700","36,637"
FL,FL House 20,"43,417","22,320","42,502","21,830","43,415","18,713"
FL,FL House 21,"41,861","41,819","38,317","42,012","42,231","34,985"
FL,FL House 22,"29,959","53,173","31,477","45,936","36,912","37,057"
FL,FL House 23,"24,776","50,845","27,924","43,512","32,808","35,457"
FL,FL House 24,"34,286","58,320","35,262","48,377","39,620","39,674"
FL,FL House 25,"34,913","55,769","36,642","47,077","41,351","38,768"
FL,FL House 26,"35,298","34,207","36,993","26,602","39,396","21,735"
FL,FL House 27,"33,323","42,360","35,462","34,371","38,840","27,676"
FL,FL House 28,"39,947","43,047","37,141","42,665","40,907","35,025"
FL,FL House 29,"39,535","43,137","35,245","43,475","39,397","35,740"
FL,FL House 30,"40,716","34,196","36,567","35,704","39,521","29,032"
FL,FL House 31,"31,728","50,863","30,997","44,704","35,184","36,403"
FL,FL House 32,"37,282","51,430","35,846","46,713","39,785","38,468"
FL,FL House 33,"33,955","79,329","30,562","61,439","36,604","50,914"
FL,FL House 34,"25,518","60,744","31,741","49,314","38,414","38,799"
FL,FL House 35,"29,066","52,682","34,549","40,286","39,851","31,215"
FL,FL House 36,"26,972","41,322","33,526","30,121","37,132","22,899"
FL,FL House 37,"31,846","56,560","33,680","44,866","39,139","35,165"
FL,FL House 38,"31,324","44,219","31,057","37,440","35,493","29,556"
FL,FL House 39,"30,754","45,861","28,527","36,650","32,140","29,616"
FL,FL House 40,"29,341","38,632","30,302","34,478","33,388","28,642"
FL,FL House 41,"35,791","40,079","32,209","33,202","35,009","26,874"
FL,FL House 42,"38,157","40,731","33,084","32,659","36,161","26,143"
FL,FL House 43,"53,680","17,639","42,311","14,462","42,147","11,436"
FL,FL House 44,"45,836","40,321","32,895","38,440","35,295","31,951"
FL,FL House 45,"44,979","19,467","40,238","18,214","40,773","14,699"
FL,FL House 46,"41,192","7,326","39,675","6,712","38,241","5,651"
FL,FL House 47,"48,839","37,544","40,989","40,369","44,436","32,302"
FL,FL House 48,"46,716","16,318","36,968","14,456","36,470","11,474"
FL,FL House 49,"44,774","24,882","37,491","24,327","38,201","19,652"
FL,FL House 50,"42,735","46,151","35,156","40,005","39,126","31,992"
FL,FL House 51,"33,128","51,960","35,350","45,478","41,526","36,109"
FL,FL House 52,"37,205","60,203","36,253","54,777","42,346","44,367"
FL,FL House 53,"36,881","46,355","37,865","38,614","41,811","30,580"
FL,FL House 54,"33,172","53,879","32,006","47,903","34,597","40,053"
FL,FL House 55,"20,747","43,507","23,245","36,990","27,718","28,953"
FL,FL House 56,"21,099","36,809","22,065","31,001","25,305","25,285"
FL,FL House 57,"38,620","49,984","31,869","43,045","36,341","35,045"
FL,FL House 58,"28,341","35,013","28,093","31,293","31,523","25,452"
FL,FL House 59,"37,581","37,900","35,025","34,888","38,387","28,355"
FL,FL House 60,"43,509","44,737","38,535","44,888","43,044","36,624"
FL,FL House 61,"48,715","10,225","51,123","9,073","50,420","7,531"
FL,FL House 62,"39,136","20,667","36,915","19,406","37,850","15,524"
FL,FL House 63,"41,108","33,148","37,663","32,866","40,468","26,788"
FL,FL House 64,"40,225","48,813","37,680","48,322","42,871","38,996"
FL,FL House 65,"38,814","51,922","39,711","47,195","45,409","37,031"
FL,FL House 66,"36,155","48,678","38,711","42,538","43,563","33,672"
FL,FL House 67,"34,009","37,122","35,399","31,600","38,998","24,613"
FL,FL House 68,"41,732","36,141","40,114","33,089","44,096","25,601"
FL,FL House 69,"41,216","43,837","42,068","39,051","46,772","30,675"
FL,FL House 70,"46,770","14,857","46,797","11,823","46,800","9,760"
FL,FL House 71,"35,811","45,179","35,593","42,010","38,976","34,970"
FL,FL House 72,"42,463","46,783","41,263","44,243","44,211","37,511"
FL,FL House 73,"39,600","67,596","34,037","55,776","38,892","46,623"
FL,FL House 74,"36,887","59,851","36,597","48,469","40,270","40,427"
FL,FL House 75,"33,445","60,218","35,906","47,996","37,617","42,168"
FL,FL House 76,"32,789","57,584","27,663","49,953","30,578","43,659"
FL,FL House 77,"31,691","53,494","28,179","39,020","29,774","34,027"
FL,FL House 78,"33,556","42,066","29,283","36,161","31,163","31,154"
FL,FL House 79,"26,872","38,407","25,032","29,029","26,258","24,906"
FL,FL House 80,"25,828","42,272","22,700","35,411","23,868","31,012"
FL,FL House 81,"45,551","30,169","41,433","26,858","43,177","20,836"
FL,FL House 82,"33,168","54,105","31,622","49,498","35,474","41,471"
FL,FL House 83,"38,275","46,786","36,905","38,148","39,482","31,877"
FL,FL House 84,"36,854","38,105","36,569","31,460","39,009","25,836"
FL,FL House 85,"41,628","49,038","39,427","43,402","42,719","35,179"
FL,FL House 86,"44,439","32,495","41,402","28,406","42,694","22,843"
FL,FL House 87,"28,463","14,005","26,555","11,951","26,081","9,692"
FL,FL House 88,"50,398","12,676","49,049","10,241","47,737","8,579"
FL,FL House 89,"43,773","43,307","38,865","42,439","41,107","35,273"
FL,FL House 90,"46,363","29,827","44,085","25,467","45,220","19,993"
FL,FL House 91,"58,119","38,533","54,563","38,058","57,898","28,905"
FL,FL House 92,"44,275","16,511","42,202","14,481","42,011","12,621"
FL,FL House 93,"43,057","44,044","39,260","42,940","40,692","38,262"
FL,FL House 94,"58,259","12,376","56,936","10,942","56,002","9,699"
FL,FL House 95,"54,217","8,580","51,750","7,754","50,894","6,846"
FL,FL House 96,"47,599","29,307","41,935","26,298","42,500","22,687"
FL,FL House 97,"52,475","26,056","46,940","24,158","47,396","20,631"
FL,FL House 98,"48,837","29,277","44,515","28,020","45,673","24,106"
FL,FL House 99,"44,465","28,467","41,196","25,238","42,233","21,496"
FL,FL House 100,"37,857","25,949","33,884","24,630","34,272","20,370"
FL,FL House 101,"49,092","13,641","46,549","11,856","45,742","10,522"
FL,FL House 102,"56,882","10,309","55,811","9,010","53,976","8,370"
FL,FL House 103,"37,488","25,041","29,092","23,749","28,234","20,704"
FL,FL House 104,"49,377","28,043","41,685","29,444","42,697","25,788"
