STATE,DISTRICT,Clinton 2016 President D,Trump 2016 President R
GA,GA House 1,"3,435","14,638"
GA,GA House 2,"3,216","16,893"
GA,GA House 3,"4,099","17,137"
GA,GA House 4,"4,568","8,777"
GA,GA House 5,"3,034","13,958"
GA,GA House 6,"3,333","13,505"
GA,GA House 7,"4,251","21,343"
GA,GA House 8,"4,999","23,702"
GA,GA House 9,"3,575","19,754"
GA,GA House 10,"3,046","17,004"
GA,GA House 11,"3,164","18,689"
GA,GA House 12,"3,770","14,278"
GA,GA House 13,"5,903","11,159"
GA,GA House 14,"3,728","17,235"
GA,GA House 15,"5,072","14,940"
GA,GA House 16,"3,554","15,660"
GA,GA House 17,"5,609","18,027"
GA,GA House 18,"5,142","13,934"
GA,GA House 19,"7,862","16,579"
GA,GA House 20,"7,330","19,116"
GA,GA House 21,"6,107","20,343"
GA,GA House 22,"6,860","23,816"
GA,GA House 23,"5,505","18,373"
GA,GA House 24,"6,357","21,805"
GA,GA House 25,"9,804","19,469"
GA,GA House 26,"5,452","22,975"
GA,GA House 27,"3,528","17,555"
GA,GA House 28,"3,156","16,897"
GA,GA House 29,"5,180","9,941"
GA,GA House 30,"5,233","15,336"
GA,GA House 31,"3,837","19,762"
GA,GA House 32,"4,199","16,788"
GA,GA House 33,"6,191","16,350"
GA,GA House 34,"10,090","14,201"
GA,GA House 35,"10,735","13,145"
GA,GA House 36,"9,599","21,326"
GA,GA House 37,"12,414","11,798"
GA,GA House 38,"16,037","8,279"
GA,GA House 39,"16,167","4,046"
GA,GA House 40,"16,509","12,283"
GA,GA House 41,"11,173","5,447"
GA,GA House 42,"11,087","4,318"
GA,GA House 43,"12,484","13,046"
GA,GA House 44,"11,208","15,418"
GA,GA House 45,"12,965","16,749"
GA,GA House 46,"10,442","18,496"
GA,GA House 47,"10,858","16,411"
GA,GA House 48,"10,634","11,322"
GA,GA House 49,"11,539","13,094"
GA,GA House 50,"10,933","11,218"
GA,GA House 51,"12,862","11,540"
GA,GA House 52,"13,603","12,432"
GA,GA House 53,"18,883","4,645"
GA,GA House 54,"16,158","12,083"
GA,GA House 55,"22,790","3,161"
GA,GA House 56,"16,526","1,683"
GA,GA House 57,"23,333","3,004"
GA,GA House 58,"24,133","2,147"
GA,GA House 59,"19,895","2,071"
GA,GA House 60,"16,380","1,320"
GA,GA House 61,"19,194","3,604"
GA,GA House 62,"21,960","4,100"
GA,GA House 63,"19,057","6,189"
GA,GA House 64,"18,842","7,347"
GA,GA House 65,"19,465","4,118"
GA,GA House 66,"13,885","9,936"
GA,GA House 67,"7,420","15,430"
GA,GA House 68,"6,057","16,431"
GA,GA House 69,"5,250","16,646"
GA,GA House 70,"7,950","16,344"
GA,GA House 71,"6,193","20,516"
GA,GA House 72,"8,099","22,449"
GA,GA House 73,"9,505","14,812"
GA,GA House 74,"14,421","1,992"
GA,GA House 75,"16,817","2,868"
GA,GA House 76,"18,072","3,976"
GA,GA House 77,"15,417","1,576"
GA,GA House 78,"17,581","4,702"
GA,GA House 79,"12,701","10,399"
GA,GA House 80,"13,617","10,151"
GA,GA House 81,"10,308","6,112"
GA,GA House 82,"15,844","5,460"
GA,GA House 83,"24,280","2,366"
GA,GA House 84,"25,093","2,548"
GA,GA House 85,"17,493","2,176"
GA,GA House 86,"18,116","3,895"
GA,GA House 87,"20,626","3,473"
GA,GA House 88,"17,808","4,131"
GA,GA House 89,"26,099","1,848"
GA,GA House 90,"21,021","6,103"
GA,GA House 91,"19,026","6,252"
GA,GA House 92,"15,582","3,251"
GA,GA House 93,"20,810","5,037"
GA,GA House 94,"19,890","4,191"
GA,GA House 95,"12,052","11,016"
GA,GA House 96,"8,984","4,960"
GA,GA House 97,"10,390","13,629"
GA,GA House 98,"8,411","14,777"
GA,GA House 99,"7,242","2,192"
GA,GA House 100,"10,202","2,769"
GA,GA House 101,"11,710","8,981"
GA,GA House 102,"10,251","11,095"
GA,GA House 103,"7,591","19,530"
GA,GA House 104,"10,476","14,622"
GA,GA House 105,"13,211","11,371"
GA,GA House 106,"12,463","11,794"
GA,GA House 107,"12,062","9,469"
GA,GA House 108,"10,967","10,863"
GA,GA House 109,"12,003","14,770"
GA,GA House 110,"9,110","13,740"
GA,GA House 111,"14,228","13,498"
GA,GA House 112,"7,472","18,141"
GA,GA House 113,"15,887","6,084"
GA,GA House 114,"7,303","18,820"
GA,GA House 115,"5,332","18,471"
GA,GA House 116,"4,732","16,442"
GA,GA House 117,"11,369","12,203"
GA,GA House 118,"13,947","4,601"
GA,GA House 119,"11,140","12,974"
GA,GA House 120,"9,083","16,204"
GA,GA House 121,"8,580","16,088"
GA,GA House 122,"8,458","21,302"
GA,GA House 123,"8,437","16,846"
GA,GA House 124,"12,047","5,373"
GA,GA House 125,"11,658","6,915"
GA,GA House 126,"15,498","7,027"
GA,GA House 127,"12,935","5,314"
GA,GA House 128,"11,396","9,513"
GA,GA House 129,"6,844","15,068"
GA,GA House 130,"8,600","13,229"
GA,GA House 131,"6,132","16,653"
GA,GA House 132,"8,981","9,543"
GA,GA House 133,"6,726","18,158"
GA,GA House 134,"7,807","15,002"
GA,GA House 135,"9,272","3,308"
GA,GA House 136,"14,029","4,425"
GA,GA House 137,"13,340","9,379"
GA,GA House 138,"7,135","8,514"
