STATE,DISTRICT,Clinton 2016 President D,Trump 2016 President R
GA,GA Senate 1,"27,705","43,960"
GA,GA Senate 2,"45,932","17,111"
GA,GA Senate 3,"21,543","44,721"
GA,GA Senate 4,"18,808","43,470"
GA,GA Senate 5,"31,652","10,642"
GA,GA Senate 6,"45,819","32,923"
GA,GA Senate 7,"14,087","43,626"
GA,GA Senate 8,"21,928","36,498"
GA,GA Senate 9,"37,118","45,586"
GA,GA Senate 10,"65,532","16,054"
GA,GA Senate 11,"22,052","40,356"
GA,GA Senate 12,"38,303","22,374"
GA,GA Senate 13,"19,267","43,198"
GA,GA Senate 14,"19,121","53,379"
GA,GA Senate 15,"36,045","15,667"
GA,GA Senate 16,"25,134","55,643"
GA,GA Senate 17,"33,997","47,064"
GA,GA Senate 18,"28,089","47,577"
GA,GA Senate 19,"14,880","39,718"
GA,GA Senate 20,"24,824","47,359"
GA,GA Senate 21,"25,005","63,050"
GA,GA Senate 22,"43,957","17,184"
GA,GA Senate 23,"28,084","40,630"
GA,GA Senate 24,"25,206","57,451"
GA,GA Senate 25,"25,341","48,904"
GA,GA Senate 26,"40,146","19,335"
GA,GA Senate 27,"23,293","68,947"
GA,GA Senate 28,"21,299","57,471"
GA,GA Senate 29,"27,279","47,068"
GA,GA Senate 30,"21,498","47,747"
GA,GA Senate 31,"17,551","53,682"
GA,GA Senate 32,"39,866","53,741"
GA,GA Senate 33,"42,790","24,824"
GA,GA Senate 34,"49,617","11,889"
GA,GA Senate 35,"58,694","16,901"
GA,GA Senate 36,"67,083","6,869"
GA,GA Senate 37,"33,123","51,689"
GA,GA Senate 38,"62,871","12,826"
GA,GA Senate 39,"65,101","9,167"
GA,GA Senate 40,"41,396","31,541"
GA,GA Senate 41,"48,360","12,585"
GA,GA Senate 42,"64,905","15,115"
GA,GA Senate 43,"52,514","18,957"
GA,GA Senate 44,"62,844","9,248"
GA,GA Senate 45,"29,966","47,311"
GA,GA Senate 46,"31,156","47,394"
GA,GA Senate 47,"22,713","47,001"
GA,GA Senate 48,"35,096","31,419"
GA,GA Senate 49,"15,657","50,647"
GA,GA Senate 50,"11,418","56,854"
GA,GA Senate 51,"12,767","67,307"
GA,GA Senate 52,"14,700","45,994"
GA,GA Senate 53,"11,412","50,711"
GA,GA Senate 54,"11,320","42,894"
GA,GA Senate 55,"63,633","16,490"
GA,GA Senate 56,"38,465","41,335"
