STATE,DISTRICT,Clinton 2016 President D,Trump 2016 President R,Obama 2012 President D,Romney 2012 President R,Hirono 2012 Senate D,Lingle 2012 Senate R
HI,HI House 1,"6,771","2,289","8,215","1,978","7,501","2,817"
HI,HI House 2,"6,761","1,985","8,041","1,626","7,399","2,335"
HI,HI House 3,"5,918","2,175","7,074","1,690","6,555","2,314"
HI,HI House 4,"5,248","2,249","6,128","1,714","5,865","2,255"
HI,HI House 5,"5,450","2,719","6,056","2,361","5,656","2,886"
HI,HI House 6,"5,042","3,297","5,310","2,838","4,744","3,493"
HI,HI House 7,"6,069","2,787","6,447","2,555","5,705","3,400"
HI,HI House 8,"6,304","2,374","6,957","1,937","6,357","2,593"
HI,HI House 9,"4,852","1,490","5,411","1,095","4,961","1,566"
HI,HI House 10,"4,173","2,234","4,410","2,078","4,042","2,527"
HI,HI House 11,"5,189","2,727","5,138","2,561","4,684","3,126"
HI,HI House 12,"7,017","2,690","7,473","2,393","6,838","3,209"
HI,HI House 13,"5,945","1,931","6,701","1,545","6,320","2,083"
HI,HI House 14,"5,527","2,533","6,178","2,005","6,082","2,289"
HI,HI House 15,"5,488","2,675","6,288","2,082","5,967","2,474"
HI,HI House 16,"5,441","2,366","6,193","2,037","5,942","2,374"
HI,HI House 17,"7,267","3,837","7,881","4,267","6,459","5,716"
HI,HI House 18,"7,726","3,822","8,380","4,418","6,768","6,028"
HI,HI House 19,"6,687","2,890","7,373","3,226","6,244","4,359"
HI,HI House 20,"7,020","2,467","7,804","2,428","6,872","3,450"
HI,HI House 21,"4,817","1,581","5,221","1,528","4,576","2,221"
HI,HI House 22,"4,231","2,295","4,418","2,357","3,878","2,982"
HI,HI House 23,"6,976","2,241","7,726","2,464","6,727","3,463"
HI,HI House 24,"5,963","2,231","6,193","2,241","5,297","3,215"
HI,HI House 25,"6,064","2,450","6,903","2,461","5,887","3,502"
HI,HI House 26,"5,179","2,191","5,199","2,138","4,390","2,981"
HI,HI House 27,"5,452","2,252","6,397","2,157","5,323","3,237"
HI,HI House 28,"3,472","1,451","4,472","1,413","3,883","2,025"
HI,HI House 29,"2,917","1,235","3,296","1,163","2,769","1,681"
HI,HI House 30,"2,371",960,"2,837",962,"2,513","1,279"
HI,HI House 31,"3,769","2,129","4,447","2,089","3,750","2,780"
HI,HI House 32,"4,870","2,507","5,954","2,269","4,976","3,264"
HI,HI House 33,"6,693","3,095","7,938","3,124","6,730","4,304"
HI,HI House 34,"6,281","2,981","7,601","2,696","6,650","3,684"
HI,HI House 35,"3,879","2,130","4,855","1,849","4,258","2,475"
HI,HI House 36,"5,869","3,588","6,817","3,494","5,626","4,682"
HI,HI House 37,"6,563","3,687","7,840","3,540","6,588","4,815"
HI,HI House 38,"3,831","1,525","4,754","1,502","4,078","2,154"
HI,HI House 39,"4,254","2,822","4,954","2,478","4,249","3,198"
HI,HI House 40,"3,344","2,619","4,223","2,355","3,607","2,992"
HI,HI House 41,"4,081","3,080","4,850","2,560","4,122","3,299"
HI,HI House 42,"4,699","3,748","5,490","3,261","4,598","4,196"
HI,HI House 43,"3,036","2,311","3,991","1,673","3,564","2,164"
HI,HI House 44,"2,817","2,040","3,783","1,391","3,416","1,823"
HI,HI House 45,"3,101","1,905","3,527","1,769","3,113","2,221"
HI,HI House 46,"3,608","2,172","4,501","1,878","4,006","2,394"
HI,HI House 47,"3,423","2,863","4,190","3,738","3,806","4,179"
HI,HI House 48,"6,284","3,634","7,709","3,539","6,581","4,718"
HI,HI House 49,"7,079","3,333","8,431","3,240","7,206","4,479"
HI,HI House 50,"5,873","3,122","6,980","3,751","5,757","5,034"
HI,HI House 51,"6,200","3,132","7,702","3,101","6,605","4,253"
