STATE,DISTRICT,Clinton 2016 President D,Trump 2016 President R,Obama 2012 President D,Romney 2012 President R,Braley 2014 Senate D,Ernst 2014 Senate R
IA,IA House 1,"3,867","12,840","5,412","11,849","2,885","8,921"
IA,IA House 2,"4,308","10,594","6,542","8,882","3,801","6,809"
IA,IA House 3,"3,247","11,716","4,983","10,623","2,814","8,512"
IA,IA House 4,"2,123","13,385","2,440","13,046","1,335","10,535"
IA,IA House 5,"3,535","11,693","5,193","10,371","2,730","8,061"
IA,IA House 6,"4,993","9,569","6,907","8,464","3,711","6,562"
IA,IA House 7,"4,954","9,743","7,409","8,193","4,469","6,457"
IA,IA House 8,"4,360","10,258","6,800","8,823","3,847","7,282"
IA,IA House 9,"5,240","7,366","7,674","6,316","4,388","5,205"
IA,IA House 10,"4,051","11,026","6,501","9,454","3,618","7,877"
IA,IA House 11,"4,126","8,606","5,822","7,648","3,140","6,030"
IA,IA House 12,"4,829","10,047","7,288","8,363","4,162","6,981"
IA,IA House 13,"4,877","5,998","6,605","5,399","3,376","4,113"
IA,IA House 14,"5,173","5,128","6,842","4,537","3,528","3,615"
IA,IA House 15,"4,600","5,653","6,269","4,518","2,855","2,889"
IA,IA House 16,"5,198","6,430","6,517","5,822","3,099","3,849"
IA,IA House 17,"3,912","10,633","6,282","8,821","3,472","7,171"
IA,IA House 18,"3,912","9,397","5,880","7,966","2,874","6,075"
IA,IA House 19,"7,377","11,453","7,421","10,525","4,891","8,939"
IA,IA House 20,"5,054","8,430","7,156","7,281","3,851","6,392"
IA,IA House 21,"4,385","9,737","6,876","8,195","3,509","7,016"
IA,IA House 22,"5,292","11,696","6,474","10,928","3,539","7,898"
IA,IA House 23,"4,053","9,892","5,901","8,377","2,843","6,791"
IA,IA House 24,"3,632","9,846","5,567","8,211","2,691","7,024"
IA,IA House 25,"6,134","10,728","7,591","9,269","4,585","7,825"
IA,IA House 26,"6,826","9,221","8,486","8,216","5,352","6,823"
IA,IA House 27,"4,230","8,934","6,568","7,114","3,454","5,935"
IA,IA House 28,"4,799","9,493","7,173","7,779","4,180","6,732"
IA,IA House 29,"6,348","8,286","9,100","6,900","5,684","6,098"
IA,IA House 30,"7,225","10,299","8,304","8,861","5,272","7,353"
IA,IA House 31,"6,761","5,979","8,653","5,182","4,945","4,152"
IA,IA House 32,"6,987","3,322","8,504","2,960","4,673","2,231"
IA,IA House 33,"7,316","4,248","8,538","3,979","4,720","2,960"
IA,IA House 34,"8,122","4,460","9,634","4,255","5,689","3,193"
IA,IA House 35,"6,870","2,289","8,205","2,289","4,536","1,715"
IA,IA House 36,"10,739","5,012","11,679","5,932","8,131","4,461"
IA,IA House 37,"9,259","11,106","8,177","10,452","5,508","8,538"
IA,IA House 38,"7,433","8,647","8,231","8,212","5,142","6,492"
IA,IA House 39,"9,266","10,333","8,252","10,694","5,819","8,737"
IA,IA House 40,"8,789","7,578","8,830","8,868","6,077","6,916"
IA,IA House 41,"12,121","4,218","12,274","5,510","9,097","4,100"
IA,IA House 42,"8,860","7,307","8,941","8,758","5,851","6,627"
IA,IA House 43,"9,135","7,138","9,217","8,801","6,613","6,936"
IA,IA House 44,"10,090","10,718","7,925","10,550","5,313","8,317"
IA,IA House 45,"9,731","5,363","9,497","5,761","5,989","4,170"
IA,IA House 46,"9,665","5,594","9,076","5,774","5,602","4,077"
IA,IA House 47,"6,016","8,630","8,381","7,444","4,851","6,454"
IA,IA House 48,"5,922","9,244","7,901","8,316","4,602","7,085"
IA,IA House 49,"5,958","9,028","7,514","8,383","4,588","7,259"
IA,IA House 50,"4,731","10,028","6,923","9,019","4,016","7,830"
IA,IA House 51,"5,491","9,069","8,605","6,779","5,456","5,498"
IA,IA House 52,"5,819","8,743","8,830","6,756","5,415","5,728"
IA,IA House 53,"7,118","6,964","9,599","5,970","6,469","4,344"
IA,IA House 54,"4,935","9,637","7,090","8,507","4,257","7,073"
IA,IA House 55,"6,932","8,065","8,768","6,901","5,513","6,079"
IA,IA House 56,"5,106","8,747","7,632","6,857","4,577","6,028"
IA,IA House 57,"6,642","10,252","8,525","8,697","5,707","7,147"
IA,IA House 58,"5,868","9,154","8,852","6,880","5,100","6,076"
IA,IA House 59,"8,427","6,631","9,098","6,823","5,725","5,037"
IA,IA House 60,"7,925","8,550","8,921","8,700","5,948","7,275"
IA,IA House 61,"6,735","5,413","9,028","4,978","5,320","4,021"
IA,IA House 62,"7,350","3,861","10,301","3,045","5,796","2,374"
IA,IA House 63,"6,591","9,295","8,449","8,277","5,247","7,088"
IA,IA House 64,"5,825","7,726","8,719","6,182","5,287","5,524"
IA,IA House 65,"9,392","4,773","10,820","5,139","6,992","4,053"
IA,IA House 66,"8,742","6,569","9,970","7,124","6,601","5,865"
IA,IA House 67,"8,555","8,285","8,680","8,736","5,870","7,130"
IA,IA House 68,"8,480","7,830","9,555","7,736","6,368","6,476"
IA,IA House 69,"7,963","6,077","10,029","4,968","5,715","3,942"
IA,IA House 70,"8,864","6,452","10,823","6,128","6,997","4,930"
IA,IA House 71,"5,991","5,810","7,667","5,719","4,521","4,718"
IA,IA House 72,"5,418","9,241","8,145","7,668","4,821","6,525"
IA,IA House 73,"7,155","8,462","8,968","7,389","5,647","6,550"
IA,IA House 74,"11,354","4,087","11,065","5,142","7,881","3,808"
IA,IA House 75,"5,447","9,605","8,024","8,029","4,582","6,843"
IA,IA House 76,"6,619","8,778","8,339","7,904","5,336","6,669"
IA,IA House 77,"9,939","7,362","10,257","7,078","6,889","5,703"
IA,IA House 78,"5,029","8,871","7,001","7,832","4,033","6,644"
IA,IA House 79,"4,020","10,507","5,616","9,833","2,948","8,185"
IA,IA House 80,"3,983","10,120","6,650","7,910","3,587","6,502"
IA,IA House 81,"4,918","6,955","7,433","5,501","4,335","4,302"
IA,IA House 82,"5,298","8,374","7,381","7,107","4,992","5,798"
IA,IA House 83,"5,304","7,000","8,877","6,009","4,467","3,883"
IA,IA House 84,"4,305","8,898","7,053","7,915","3,573","6,026"
IA,IA House 85,"14,238","3,815","13,649","4,956","9,300","2,763"
IA,IA House 86,"11,656","3,394","12,474","4,268","7,753","2,458"
IA,IA House 87,"6,509","6,101","9,355","5,392","5,374","3,993"
IA,IA House 88,"5,176","8,461","7,323","6,888","3,799","5,782"
IA,IA House 89,"7,657","5,963","10,097","5,715","5,524","4,373"
IA,IA House 90,"6,501","3,916","9,376","3,186","4,560","2,453"
IA,IA House 91,"6,000","6,839","8,210","5,838","4,133","4,812"
IA,IA House 92,"6,662","8,138","9,002","7,510","5,014","6,146"
IA,IA House 93,"8,424","6,978","10,047","7,490","6,175","5,822"
IA,IA House 94,"8,639","9,856","8,780","10,469","5,816","8,446"
IA,IA House 95,"7,251","8,935","9,187","8,246","5,935","7,122"
IA,IA House 96,"5,282","8,785","7,971","7,229","4,685","6,315"
IA,IA House 97,"6,384","9,705","8,815","8,348","5,314","7,172"
IA,IA House 98,"6,268","5,869","9,676","4,965","5,027","4,160"
IA,IA House 99,"8,715","6,812","10,374","6,863","6,923","5,159"
IA,IA House 100,"6,925","5,695","9,103","5,145","5,349","3,735"
