STATE,DISTRICT,Clinton 2016 President D,Trump 2016 President R,Obama 2012 President D,Romney 2012 President R
ID,ID Legislature 1,"6,028","15,169","6,940","12,773"
ID,ID Legislature 2,"5,025","17,517","6,033","15,823"
ID,ID Legislature 3,"4,322","14,485","5,339","12,486"
ID,ID Legislature 4,"6,917","12,447","7,479","11,072"
ID,ID Legislature 5,"8,863","10,368","9,470","10,185"
ID,ID Legislature 6,"5,098","11,901","6,847","11,140"
ID,ID Legislature 7,"4,008","14,553","5,802","12,893"
ID,ID Legislature 8,"5,079","16,347","6,595","15,032"
ID,ID Legislature 9,"3,203","13,791","4,636","12,944"
ID,ID Legislature 10,"4,341","8,462","5,062","7,681"
ID,ID Legislature 11,"3,422","14,475","4,184","13,116"
ID,ID Legislature 12,"4,052","10,452","4,885","10,086"
ID,ID Legislature 13,"4,563","11,370","5,051","11,087"
ID,ID Legislature 14,"7,033","17,496","6,637","16,209"
ID,ID Legislature 15,"6,964","9,539","7,684","10,756"
ID,ID Legislature 16,"9,676","8,048","10,207","8,948"
ID,ID Legislature 17,"8,576","6,243","9,197","6,747"
ID,ID Legislature 18,"11,417","8,668","11,138","10,041"
ID,ID Legislature 19,"15,565","6,820","14,599","7,989"
ID,ID Legislature 20,"5,824","12,069","6,073","12,475"
ID,ID Legislature 21,"6,850","13,361","7,053","13,390"
ID,ID Legislature 22,"3,772","11,508","4,549","10,999"
ID,ID Legislature 23,"2,744","10,771","3,881","9,858"
ID,ID Legislature 24,"4,196","10,538","4,872","10,707"
ID,ID Legislature 25,"3,027","12,031","3,833","12,033"
ID,ID Legislature 26,"7,816","8,677","7,907","9,178"
ID,ID Legislature 27,"2,203","10,836","2,488","12,596"
ID,ID Legislature 28,"4,932","11,136","6,411","13,333"
ID,ID Legislature 29,"6,109","7,710","7,785","9,547"
ID,ID Legislature 30,"3,719","13,107","3,755","15,545"
ID,ID Legislature 31,"2,924","10,907","3,822","13,440"
ID,ID Legislature 32,"3,583","13,805","3,467","16,490"
ID,ID Legislature 33,"4,524","9,150","5,429","11,789"
ID,ID Legislature 34,"1,559","11,655","1,240","16,485"
ID,ID Legislature 35,"1,831","13,643","2,437","16,038"
