STATE,DISTRICT,Clinton 2016 President D,Trump 2016 President R,Obama 2012 President D,Romney 2012 President R
IL,IL House 1,"22,259","3,886","18,805","3,420"
IL,IL House 2,"24,114","4,413","20,121","3,765"
IL,IL House 3,"24,737","5,336","19,901","4,608"
IL,IL House 4,"36,714","3,389","29,142","3,914"
IL,IL House 5,"43,657","4,863","40,397","6,377"
IL,IL House 6,"35,831","4,518","36,776","4,634"
IL,IL House 7,"42,063","8,263","41,151","9,760"
IL,IL House 8,"40,808","5,521","41,715","6,315"
IL,IL House 9,"41,359","4,018","39,106","5,185"
IL,IL House 10,"42,533","3,294","41,998","4,479"
IL,IL House 11,"44,887","7,325","34,721","13,054"
IL,IL House 12,"49,677","8,141","38,722","13,287"
IL,IL House 13,"43,226","5,116","35,711","6,033"
IL,IL House 14,"41,186","4,082","34,979","4,422"
IL,IL House 15,"28,358","14,527","24,357","14,930"
IL,IL House 16,"28,933","10,744","24,254","11,295"
IL,IL House 17,"39,703","14,313","32,527","19,431"
IL,IL House 18,"44,511","10,571","36,388","17,470"
IL,IL House 19,"26,079","15,150","23,936","13,108"
IL,IL House 20,"24,539","20,716","22,223","19,229"
IL,IL House 21,"19,345","5,545","15,747","5,108"
IL,IL House 22,"25,931","8,635","21,351","7,941"
IL,IL House 23,"22,220","8,799","18,885","8,382"
IL,IL House 24,"23,827","5,162","18,851","5,372"
IL,IL House 25,"40,815","2,524","40,583","2,556"
IL,IL House 26,"44,240","5,193","43,038","6,863"
IL,IL House 27,"42,374","9,720","46,513","9,915"
IL,IL House 28,"35,747","10,229","39,688","9,946"
IL,IL House 29,"40,724","7,911","42,631","8,026"
IL,IL House 30,"33,143","6,926","35,436","6,965"
IL,IL House 31,"36,553","9,118","39,872","8,122"
IL,IL House 32,"31,859","5,875","35,270","4,960"
IL,IL House 33,"41,270","5,913","43,530","6,027"
IL,IL House 34,"38,646","10,770","42,354","9,957"
IL,IL House 35,"29,439","22,767","30,306","22,425"
IL,IL House 36,"27,756","19,360","26,476","19,489"
IL,IL House 37,"22,275","31,207","20,800","30,839"
IL,IL House 38,"40,318","10,815","41,322","10,655"
IL,IL House 39,"30,859","4,673","24,792","4,453"
IL,IL House 40,"30,724","4,327","23,917","4,524"
IL,IL House 41,"29,895","20,643","24,761","26,644"
IL,IL House 42,"28,425","22,993","24,378","28,786"
IL,IL House 43,"18,356","7,981","16,192","8,026"
IL,IL House 44,"22,846","11,762","20,202","11,691"
IL,IL House 45,"24,129","23,164","22,254","23,233"
IL,IL House 46,"23,811","14,214","21,517","14,617"
IL,IL House 47,"29,256","23,549","23,713","30,266"
IL,IL House 48,"30,304","20,703","26,095","26,105"
IL,IL House 49,"24,646","19,355","21,133","22,294"
IL,IL House 50,"23,891","26,191","21,089","27,522"
IL,IL House 51,"28,984","25,301","23,804","31,956"
IL,IL House 52,"23,192","24,616","21,210","26,147"
IL,IL House 53,"29,548","20,487","25,334","24,807"
IL,IL House 54,"27,503","20,859","23,191","24,830"
IL,IL House 55,"26,015","16,767","22,952","17,876"
IL,IL House 56,"25,968","17,293","23,380","17,917"
IL,IL House 57,"25,575","13,922","22,084","15,652"
IL,IL House 58,"35,263","14,101","29,126","21,731"
IL,IL House 59,"27,904","13,105","24,186","16,122"
IL,IL House 60,"22,685","6,032","22,004","6,784"
IL,IL House 61,"24,534","19,952","23,443","21,993"
IL,IL House 62,"23,462","16,263","21,620","17,200"
IL,IL House 63,"18,840","24,475","19,987","23,385"
IL,IL House 64,"21,332","27,128","21,841","26,829"
IL,IL House 65,"26,701","27,041","22,072","27,940"
IL,IL House 66,"22,937","22,959","20,269","22,924"
IL,IL House 67,"19,641","9,269","22,537","9,040"
IL,IL House 68,"21,733","24,371","23,616","24,586"
IL,IL House 69,"19,502","27,587","20,916","26,454"
IL,IL House 70,"21,309","21,623","21,611","21,448"
IL,IL House 71,"21,536","24,511","28,403","20,887"
IL,IL House 72,"23,930","17,881","28,720","16,493"
IL,IL House 73,"18,890","32,405","19,766","31,977"
IL,IL House 74,"19,950","30,119","27,448","26,119"
IL,IL House 75,"18,640","29,133","20,082","25,198"
IL,IL House 76,"19,834","24,108","23,669","20,905"
IL,IL House 77,"19,833","9,468","17,554","9,096"
IL,IL House 78,"41,583","8,262","39,935","8,971"
IL,IL House 79,"18,464","23,754","21,306","21,756"
IL,IL House 80,"31,558","15,256","31,106","15,383"
IL,IL House 81,"30,606","21,530","26,895","25,996"
IL,IL House 82,"24,792","28,639","21,989","30,912"
IL,IL House 83,"17,762","6,336","16,957","7,165"
IL,IL House 84,"25,208","12,474","20,995","13,707"
IL,IL House 85,"24,987","13,722","24,171","13,220"
IL,IL House 86,"24,003","13,363","24,958","12,694"
IL,IL House 87,"15,253","31,557","17,867","29,407"
IL,IL House 88,"20,244","28,747","20,181","29,169"
IL,IL House 89,"18,032","29,050","23,489","26,767"
IL,IL House 90,"17,248","27,395","20,037","25,740"
IL,IL House 91,"17,101","25,291","22,266","20,795"
IL,IL House 92,"23,366","13,341","25,608","13,995"
IL,IL House 93,"15,712","24,497","20,917","20,565"
IL,IL House 94,"13,495","34,766","18,634","30,118"
IL,IL House 95,"14,092","32,118","19,671","25,441"
IL,IL House 96,"20,439","17,782","24,764","16,642"
