STATE,DISTRICT,Clinton 2016 President D,Trump 2016 President R,Obama 2012 President D,Romney 2012 President R
IL,IL Senate 1,"46,373","8,298","38,927","7,185"
IL,IL Senate 2,"61,452","8,725","49,043","8,523"
IL,IL Senate 3,"79,489","9,381","77,173","11,011"
IL,IL Senate 4,"82,871","13,785","82,866","16,074"
IL,IL Senate 5,"83,892","7,312","81,103","9,664"
IL,IL Senate 6,"94,565","15,467","73,443","26,340"
IL,IL Senate 7,"84,412","9,198","70,689","10,455"
IL,IL Senate 8,"57,291","25,271","48,612","26,225"
IL,IL Senate 9,"84,214","24,885","68,915","36,901"
IL,IL Senate 10,"50,618","35,866","46,159","32,337"
IL,IL Senate 11,"45,276","14,180","37,098","13,049"
IL,IL Senate 12,"46,048","13,960","37,736","13,754"
IL,IL Senate 13,"85,055","7,717","83,621","9,419"
IL,IL Senate 14,"78,121","19,949","86,201","19,861"
IL,IL Senate 15,"73,867","14,837","78,067","14,991"
IL,IL Senate 16,"68,413","14,993","75,141","13,083"
IL,IL Senate 17,"79,915","16,683","85,884","15,984"
IL,IL Senate 18,"57,195","42,128","56,782","41,915"
IL,IL Senate 19,"62,593","42,022","62,121","41,494"
IL,IL Senate 20,"61,583","9,000","48,710","8,977"
IL,IL Senate 21,"58,320","43,636","49,139","55,430"
IL,IL Senate 22,"41,203","19,743","36,393","19,718"
IL,IL Senate 23,"47,939","37,378","43,771","37,850"
IL,IL Senate 24,"59,561","44,252","49,808","56,371"
IL,IL Senate 25,"48,538","45,546","42,222","49,816"
IL,IL Senate 26,"52,176","49,917","45,014","58,102"
IL,IL Senate 27,"57,052","41,346","48,525","49,637"
IL,IL Senate 28,"51,983","34,060","46,333","35,793"
IL,IL Senate 29,"60,838","28,022","51,210","37,383"
IL,IL Senate 30,"50,589","19,137","46,191","22,906"
IL,IL Senate 31,"47,996","36,215","45,063","39,193"
IL,IL Senate 32,"40,172","51,603","41,828","50,214"
IL,IL Senate 33,"49,638","50,000","42,342","50,864"
IL,IL Senate 34,"41,374","33,640","46,153","33,626"
IL,IL Senate 35,"40,810","49,210","42,527","47,903"
IL,IL Senate 36,"45,467","42,391","57,123","37,380"
IL,IL Senate 37,"38,839","62,525","47,214","58,095"
IL,IL Senate 38,"38,474","53,241","43,750","46,103"
IL,IL Senate 39,"61,415","17,730","57,489","18,067"
IL,IL Senate 40,"50,022","39,010","52,412","37,140"
IL,IL Senate 41,"55,398","50,169","48,883","56,909"
IL,IL Senate 42,"42,970","18,810","37,953","20,871"
IL,IL Senate 43,"48,990","27,085","49,128","25,914"
IL,IL Senate 44,"35,497","60,304","38,048","58,576"
IL,IL Senate 45,"35,280","56,445","43,527","52,507"
IL,IL Senate 46,"40,467","38,632","47,874","34,790"
IL,IL Senate 47,"29,208","59,263","39,551","50,683"
IL,IL Senate 48,"34,531","49,900","44,435","42,083"
IL,IL Senate 49,"51,686","41,545","46,806","40,353"
IL,IL Senate 50,"36,814","64,678","41,056","60,618"
IL,IL Senate 51,"29,630","70,734","34,531","66,189"
IL,IL Senate 52,"50,180","32,313","43,822","32,609"
IL,IL Senate 53,"34,189","57,733","32,794","58,102"
IL,IL Senate 54,"26,077","73,126","33,687","62,921"
IL,IL Senate 55,"21,745","71,903","30,772","62,444"
IL,IL Senate 56,"42,592","53,389","48,460","46,002"
IL,IL Senate 57,"51,823","36,927","58,291","35,260"
IL,IL Senate 58,"31,060","63,385","40,629","53,407"
IL,IL Senate 59,"26,942","67,417","37,093","56,320"
