STATE,DISTRICT,Clinton 2016 President D,Trump 2016 President R,Obama 2012 President D,Romney 2012 President R
KS,KS House 1,"2,111","6,475","3,105","5,699"
KS,KS House 2,"2,760","6,609","3,977","5,752"
KS,KS House 3,"3,111","4,483","3,824","4,225"
KS,KS House 4,"1,925","7,110","2,924","6,548"
KS,KS House 5,"2,190","6,489","3,037","6,146"
KS,KS House 6,"2,843","7,368","3,208","7,298"
KS,KS House 7,"2,389","5,746","3,223","5,177"
KS,KS House 8,"5,262","7,470","3,657","8,451"
KS,KS House 9,"2,289","5,695","2,988","5,387"
KS,KS House 10,"5,870","3,653","5,906","4,146"
KS,KS House 11,"1,843","5,274","2,468","5,339"
KS,KS House 12,"1,470","7,055","1,966","6,722"
KS,KS House 13,"1,526","7,198","1,972","6,577"
KS,KS House 14,"5,183","6,633","3,892","6,953"
KS,KS House 15,"3,668","4,256","3,556","4,716"
KS,KS House 16,"5,775","5,603","5,216","6,939"
KS,KS House 17,"5,874","5,707","5,156","7,103"
KS,KS House 18,"5,356","5,634","5,094","6,300"
KS,KS House 19,"7,489","5,567","6,208","7,395"
KS,KS House 20,"6,912","6,657","5,370","8,577"
KS,KS House 21,"7,901","4,884","6,671","6,404"
KS,KS House 22,"5,021","3,722","4,953","4,219"
KS,KS House 23,"4,743","3,701","4,415","4,333"
KS,KS House 24,"5,791","3,937","5,403","4,435"
KS,KS House 25,"8,067","4,540","6,803","6,408"
KS,KS House 26,"4,108","7,176","3,481","6,924"
KS,KS House 27,"5,183","8,226","3,721","8,525"
KS,KS House 28,"5,213","6,434","3,663","7,705"
KS,KS House 29,"5,910","5,299","5,272","6,344"
KS,KS House 30,"5,355","4,986","4,718","5,838"
KS,KS House 31,"3,806","1,680","4,123","1,757"
KS,KS House 32,"2,210",797,"2,163",804
KS,KS House 33,"4,287","4,291","4,740","3,996"
KS,KS House 34,"5,001",863,"6,233",827
KS,KS House 35,"5,418","1,179","6,774","1,187"
KS,KS House 36,"6,147","4,559","6,531","4,672"
KS,KS House 37,"3,277","2,437","3,738","2,253"
KS,KS House 38,"3,685","7,659","3,871","7,054"
KS,KS House 39,"4,862","6,614","3,974","7,067"
KS,KS House 40,"3,221","4,502","3,375","4,743"
KS,KS House 41,"2,484","3,168","2,953","3,209"
KS,KS House 42,"3,087","6,069","3,484","5,887"
KS,KS House 43,"3,082","5,885","3,128","5,785"
KS,KS House 44,"7,948","3,006","7,259","4,035"
KS,KS House 45,"8,298","4,674","6,856","5,347"
KS,KS House 46,"7,812","1,503","7,910","1,956"
KS,KS House 47,"3,175","6,255","3,726","5,800"
KS,KS House 48,"5,192","5,634","4,118","7,093"
KS,KS House 49,"4,015","4,709","3,628","5,636"
KS,KS House 50,"3,717","7,000","4,278","6,772"
KS,KS House 51,"2,739","7,442","2,884","6,952"
KS,KS House 52,"5,177","6,569","4,726","7,348"
KS,KS House 53,"5,031","4,638","5,298","5,200"
KS,KS House 54,"3,465","6,725","3,947","6,720"
KS,KS House 55,"4,797","3,060","5,272","3,431"
KS,KS House 56,"4,708","4,495","5,066","4,790"
KS,KS House 57,"3,273","2,497","4,009","2,468"
KS,KS House 58,"3,856","1,900","4,619","1,937"
KS,KS House 59,"2,541","6,110","3,282","5,853"
KS,KS House 60,"3,480","4,249","3,677","4,340"
KS,KS House 61,"2,151","7,383","2,715","6,531"
KS,KS House 62,"1,775","7,867","2,369","7,530"
KS,KS House 63,"2,439","6,070","3,260","5,783"
KS,KS House 64,"1,213","4,351","1,499","4,317"
KS,KS House 65,"1,462","2,447","1,938","2,395"
KS,KS House 66,"4,073","3,095","4,048","3,749"
KS,KS House 67,"4,658","5,376","4,183","6,036"
KS,KS House 68,"2,408","5,166","2,793","5,152"
KS,KS House 69,"2,286","4,571","2,667","4,573"
KS,KS House 70,"1,859","7,239","2,243","6,955"
KS,KS House 71,"2,946","5,995","3,144","6,227"
KS,KS House 72,"3,552","5,370","3,778","5,319"
KS,KS House 73,"2,253","6,996","2,570","6,974"
KS,KS House 74,"2,582","6,465","2,797","6,387"
KS,KS House 75,"2,062","5,839","2,559","5,583"
KS,KS House 76,"2,335","6,455","2,825","6,056"
KS,KS House 77,"2,205","6,802","2,482","6,451"
KS,KS House 78,"4,350","6,119","3,986","7,301"
KS,KS House 79,"2,441","5,677","2,802","5,526"
KS,KS House 80,"1,990","5,027","2,595","4,599"
KS,KS House 81,"2,170","4,285","2,296","4,342"
KS,KS House 82,"2,715","6,578","2,945","6,614"
KS,KS House 83,"3,535","2,703","3,884","3,079"
KS,KS House 84,"4,601","1,643","5,072","1,923"
KS,KS House 85,"4,342","6,544","3,762","7,014"
KS,KS House 86,"2,859","2,577","3,238","2,634"
KS,KS House 87,"4,254","5,447","3,839","6,207"
KS,KS House 88,"3,433","3,191","3,655","3,533"
KS,KS House 89,"4,928","2,892","5,296","3,197"
KS,KS House 90,"2,378","7,683","2,361","7,251"
KS,KS House 91,"3,046","6,520","2,916","6,301"
KS,KS House 92,"4,212","3,590","4,241","3,942"
KS,KS House 93,"2,162","7,076","2,491","6,414"
KS,KS House 94,"3,345","7,108","3,174","7,412"
KS,KS House 95,"2,553","2,899","2,955","3,050"
KS,KS House 96,"2,459","3,229","2,962","3,209"
KS,KS House 97,"2,371","4,798","2,718","4,610"
KS,KS House 98,"2,221","3,911","2,597","3,597"
KS,KS House 99,"3,366","7,649","2,779","7,696"
KS,KS House 100,"3,687","7,182","3,521","7,548"
KS,KS House 101,"2,388","8,122","2,389","7,733"
KS,KS House 102,"2,060","3,021","2,566","2,963"
KS,KS House 103,"2,149","1,210","2,174","1,120"
KS,KS House 104,"3,119","6,855","3,402","7,366"
KS,KS House 105,"3,007","4,703","3,236","5,082"
KS,KS House 106,"1,896","8,006","2,536","8,120"
KS,KS House 107,"1,715","7,855","2,193","7,927"
KS,KS House 108,"2,434","6,792","2,692","6,567"
KS,KS House 109,"1,485","8,567","1,971","8,508"
KS,KS House 110,"1,314","8,224","1,748","8,051"
KS,KS House 111,"2,407","6,875","2,632","6,973"
KS,KS House 112,"1,492","5,928","1,839","5,997"
KS,KS House 113,"1,664","6,864","2,143","6,521"
KS,KS House 114,"1,852","6,777","2,369","6,439"
KS,KS House 115,"1,087","5,388","1,334","5,415"
KS,KS House 116,"1,612","7,306","2,263","6,788"
KS,KS House 117,"1,464","7,714","2,000","7,696"
KS,KS House 118,"1,217","9,026","1,577","8,953"
KS,KS House 119,"1,563","2,881","1,872","3,305"
KS,KS House 120,"1,341","8,839","1,867","8,609"
KS,KS House 121,"4,779","6,882","3,710","6,745"
KS,KS House 122,"1,394","5,091","1,403","4,902"
KS,KS House 123,"2,203","3,657","1,839","3,745"
KS,KS House 124,"1,135","5,791","1,231","6,237"
KS,KS House 125,"1,619","3,072","1,478","3,527"
