STATE,DISTRICT,Clinton 2016 President D,Trump 2016 President R,Obama 2012 President D,Romney 2012 President R
KS,KS Senate 1,"7,116","22,238","9,041","20,943"
KS,KS Senate 2,"22,245","11,371","20,787","12,926"
KS,KS Senate 3,"14,322","16,531","14,894","16,357"
KS,KS Senate 4,"15,482","4,119","18,629","4,156"
KS,KS Senate 5,"10,903","13,470","11,536","13,549"
KS,KS Senate 6,"11,169","7,090","12,097","7,038"
KS,KS Senate 7,"23,879","14,910","20,293","19,811"
KS,KS Senate 8,"17,816","17,439","15,345","21,241"
KS,KS Senate 9,"13,571","18,099","11,929","19,039"
KS,KS Senate 10,"16,185","17,566","14,284","19,673"
KS,KS Senate 11,"18,003","20,182","13,511","24,961"
KS,KS Senate 12,"6,992","20,414","9,418","19,169"
KS,KS Senate 13,"8,304","17,938","11,400","16,102"
KS,KS Senate 14,"5,594","21,662","7,160","20,283"
KS,KS Senate 15,"6,273","17,891","8,404","17,166"
KS,KS Senate 16,"9,312","21,303","8,949","21,061"
KS,KS Senate 17,"8,004","12,756","9,013","12,492"
KS,KS Senate 18,"11,386","15,321","12,903","15,111"
KS,KS Senate 19,"11,980","14,254","13,970","14,047"
KS,KS Senate 20,"14,955","17,071","15,222","18,615"
KS,KS Senate 21,"17,372","16,150","15,315","18,119"
KS,KS Senate 22,"10,308","13,795","10,141","15,122"
KS,KS Senate 23,"12,726","16,810","11,543","19,157"
KS,KS Senate 24,"7,484","18,273","8,485","18,180"
KS,KS Senate 25,"9,349","9,676","10,198","10,270"
KS,KS Senate 26,"7,401","20,478","8,075","19,261"
KS,KS Senate 27,"10,235","21,862","9,888","22,656"
KS,KS Senate 28,"7,590","10,592","8,701","10,537"
KS,KS Senate 29,"12,331","5,362","13,404","5,712"
KS,KS Senate 30,"12,290","14,463","11,693","16,431"
KS,KS Senate 31,"9,990","19,953","10,245","19,470"
KS,KS Senate 32,"6,179","18,779","7,851","17,719"
KS,KS Senate 33,"4,747","22,300","6,179","21,916"
KS,KS Senate 34,"7,303","17,393","8,641","17,498"
KS,KS Senate 35,"6,922","21,174","7,973","20,708"
KS,KS Senate 36,"5,000","25,528","6,540","25,624"
KS,KS Senate 37,"11,722","23,109","10,197","22,989"
KS,KS Senate 38,"4,386","12,388","4,865","13,222"
KS,KS Senate 39,"4,881","15,363","4,638","15,769"
KS,KS Senate 40,"5,297","25,945","6,551","25,709"
