STATE,DISTRICT,Clinton 2016 President D,Trump 2016 President R,Obama 2012 President D,Romney 2012 President R,Grimes 2014 Senate D,McConnell 2014 Senate R
KY,KY House 1,"4,256","15,293","5,578","13,864","5,249","10,983"
KY,KY House 2,"3,852","14,997","5,265","12,984","5,025","10,070"
KY,KY House 3,"6,561","10,642","7,129","10,184","5,604","7,493"
KY,KY House 4,"3,788","14,846","5,340","13,121","5,013","10,077"
KY,KY House 5,"5,650","13,351","6,567","12,159","5,723","9,277"
KY,KY House 6,"4,961","16,085","6,679","13,798","6,657","10,722"
KY,KY House 7,"5,444","14,886","6,958","12,975","5,840","9,637"
KY,KY House 8,"5,142","7,201","6,020","7,172","4,023","4,945"
KY,KY House 9,"3,345","10,703","4,053","9,647","3,119","7,052"
KY,KY House 10,"5,756","13,085","7,314","10,490","6,467","8,397"
KY,KY House 11,"6,674","11,571","7,884","9,965","6,345","6,936"
KY,KY House 12,"4,441","15,970","6,112","13,274","5,471","10,432"
KY,KY House 13,"6,621","9,120","7,262","8,158","5,790","5,908"
KY,KY House 14,"4,816","15,682","6,199","12,792","6,230","10,036"
KY,KY House 15,"4,458","13,601","6,431","11,572","5,765","8,000"
KY,KY House 16,"4,059","12,174","5,190","10,893","4,102","7,608"
KY,KY House 17,"5,817","14,926","5,721","13,350","4,747","10,208"
KY,KY House 18,"4,146","13,974","5,158","11,420","4,565","8,863"
KY,KY House 19,"5,281","12,656","6,124","10,354","5,049","7,938"
KY,KY House 20,"6,908","6,693","6,619","6,988","4,494","5,079"
KY,KY House 21,"3,502","13,887","4,899","11,352","5,068","9,543"
KY,KY House 22,"4,075","13,575","5,097","11,300","4,321","8,384"
KY,KY House 23,"4,318","13,627","5,451","11,054","5,153","8,350"
KY,KY House 24,"4,789","14,293","6,316","11,345","6,329","8,662"
KY,KY House 25,"5,615","12,274","6,219","10,719","5,186","8,213"
KY,KY House 26,"4,659","13,144","5,371","10,932","4,589","7,425"
KY,KY House 27,"5,197","10,969","6,527","8,675","5,442","6,620"
KY,KY House 28,"6,584","10,032","7,477","8,936","5,727","5,779"
KY,KY House 29,"9,135","13,563","8,790","13,379","7,296","9,605"
KY,KY House 30,"11,765","4,377","12,220","4,596","8,684","3,227"
KY,KY House 31,"10,798","9,251","10,313","9,960","8,322","7,185"
KY,KY House 32,"10,678","10,518","9,678","12,335","7,846","9,618"
KY,KY House 33,"11,401","13,143","10,364","14,483","8,478","10,977"
KY,KY House 34,"16,886","7,299","14,831","9,410","13,266","7,268"
KY,KY House 35,"9,951","7,367","9,745","7,199","7,965","5,159"
KY,KY House 36,"10,099","16,576","8,150","16,871","6,801","12,770"
KY,KY House 37,"6,493","7,291","6,697","6,560","5,080","4,327"
KY,KY House 38,"7,329","6,993","7,625","6,207","5,817","4,681"
KY,KY House 39,"5,960","12,489","5,810","11,256","5,303","8,405"
KY,KY House 40,"10,088","4,931","10,279","4,672","7,227","3,121"
KY,KY House 41,"12,023","3,070","12,509","3,585","8,931","2,745"
KY,KY House 42,"15,645","1,999","15,573","2,272","11,516","1,501"
KY,KY House 43,"12,898","3,782","13,935","4,207","9,877","3,483"
KY,KY House 44,"10,021","7,452","10,595","6,698","7,910","4,370"
KY,KY House 45,"10,476","13,264","9,097","14,760","7,842","10,845"
KY,KY House 46,"9,294","8,273","9,590","7,821","7,274","5,436"
KY,KY House 47,"4,562","12,746","6,752","9,830","6,341","8,172"
KY,KY House 48,"12,585","13,079","10,346","14,467","8,801","11,368"
KY,KY House 49,"4,447","13,809","5,468","10,935","4,870","7,650"
KY,KY House 50,"6,434","13,431","7,611","10,673","6,883","7,663"
KY,KY House 51,"3,876","14,957","4,945","13,392","5,294","11,019"
KY,KY House 52,"2,562","13,865","3,480","11,986","4,183","9,377"
KY,KY House 53,"4,928","16,717","6,260","13,631","5,941","10,723"
KY,KY House 54,"5,048","13,522","5,557","12,607","5,066","9,136"
KY,KY House 55,"5,316","16,270","5,883","14,764","5,554","11,128"
KY,KY House 56,"8,752","11,239","8,513","11,160","7,628","8,372"
KY,KY House 57,"9,107","9,957","9,987","9,356","9,012","6,800"
KY,KY House 58,"6,276","13,196","6,634","11,790","5,525","9,220"
KY,KY House 59,"7,431","15,242","6,704","14,944","5,690","11,216"
KY,KY House 60,"5,888","16,527","5,824","15,059","3,876","9,879"
KY,KY House 61,"4,562","15,443","5,675","12,696","4,209","9,071"
KY,KY House 62,"6,898","14,111","6,938","11,466","6,267","8,862"
KY,KY House 63,"7,557","14,652","7,126","15,297","5,130","11,145"
KY,KY House 64,"6,029","15,234","6,301","13,635","4,163","8,987"
KY,KY House 65,"6,910","5,845","7,508","5,491","4,707","3,521"
KY,KY House 66,"5,738","15,496","5,976","14,590","3,738","9,340"
KY,KY House 67,"6,809","7,525","7,137","7,246","4,901","5,098"
KY,KY House 68,"7,318","16,121","7,367","15,724","5,635","11,573"
KY,KY House 69,"6,353","10,902","6,891","10,439","4,257","6,844"
KY,KY House 70,"4,245","13,136","5,990","10,585","5,324","8,176"
KY,KY House 71,"3,882","15,850","4,282","14,447","4,164","10,583"
KY,KY House 72,"5,829","11,471","6,486","9,388","6,594","6,908"
KY,KY House 73,"5,404","12,882","5,990","11,874","5,611","8,544"
KY,KY House 74,"5,130","13,379","6,369","10,648","7,150","8,050"
KY,KY House 75,"9,574","5,235","8,569","6,099","7,063","4,437"
KY,KY House 76,"10,986","7,871","10,022","8,021","8,086","5,704"
KY,KY House 77,"11,145","4,263","10,917","4,153","8,103","2,808"
KY,KY House 78,"4,262","11,780","5,469","9,656","4,512","6,999"
KY,KY House 79,"11,104","7,760","10,027","8,570","7,692","6,009"
KY,KY House 80,"3,281","13,468","4,189","12,126","4,254","8,897"
KY,KY House 81,"7,177","9,866","6,719","8,984","5,735","6,503"
KY,KY House 82,"2,629","14,454","3,293","12,838","3,079","8,600"
KY,KY House 83,"2,746","17,080","3,590","15,684","4,148","12,748"
KY,KY House 84,"2,960","13,212","3,047","12,929","4,309","9,733"
KY,KY House 85,"2,530","15,911","2,945","14,181","3,186","10,437"
KY,KY House 86,"2,558","14,487","3,408","12,576","3,876","9,777"
KY,KY House 87,"2,268","11,839","3,054","10,891","3,194","8,654"
KY,KY House 88,"11,557","13,984","9,206","14,608","7,997","10,922"
KY,KY House 89,"3,363","15,353","3,697","13,602","3,866","10,158"
KY,KY House 90,"1,781","13,251","2,251","13,541","2,776","10,243"
KY,KY House 91,"3,468","12,390","3,955","10,827","5,185","8,861"
KY,KY House 92,"3,117","11,738","3,817","10,482","5,298","8,256"
KY,KY House 93,"2,240","12,359","3,314","11,051","4,177","8,130"
KY,KY House 94,"2,987","13,284","3,426","12,616","4,384","8,867"
KY,KY House 95,"4,272","13,337","4,951","10,737","6,010","7,605"
KY,KY House 96,"3,321","12,403","4,903","9,274","5,590","7,607"
KY,KY House 97,"3,009","13,475","4,068","11,658","5,149","8,972"
KY,KY House 98,"4,618","12,934","6,405","9,503","5,958","6,743"
KY,KY House 99,"4,820","11,537","5,966","8,487","5,771","6,734"
KY,KY House 100,"5,549","12,203","7,398","10,236","6,261","6,598"
