STATE,DISTRICT,Clinton 2016 President D,Trump 2016 President R,Obama 2012 President D,Romney 2012 President R,Warren 2012 Senate D,Brown 2012 Senate R,Markey 2014 Senate D,Herr 2014 Senate R
MA,MA House 1st Barnstable,"14,308","10,629","14,038","12,210","12,556","13,991","10,440","9,086"
MA,MA House 2nd Barnstable,"11,341","9,597","11,289","10,400","10,034","11,908","7,961","7,567"
MA,MA House 3rd Barnstable,"12,787","10,730","12,413","11,423","10,839","13,249","8,725","8,260"
MA,MA House 4th Barnstable,"17,765","9,689","17,360","11,446","15,965","13,313","12,826","8,644"
MA,MA House 5th Barnstable,"11,132","11,480","10,983","12,273","9,453","14,034","7,617","8,889"
MA,"MA House Barnstable, Dukes and Nantucket","18,407","7,246","17,366","8,518","15,929","10,287","11,653","6,017"
MA,MA House 1st Berkshire,"12,026","5,366","14,117","4,081","13,048","5,431","8,143","2,661"
MA,MA House 2nd Berkshire,"13,548","6,232","15,375","5,374","13,966","7,260","9,515","3,804"
MA,MA House 3rd Berkshire,"12,927","4,405","14,513","3,750","13,467","4,994","7,831","2,417"
MA,MA House 4th Berkshire,"14,868","5,905","15,754","5,449","14,742","6,775","10,471","3,933"
MA,MA House 1st Bristol,"11,233","9,148","10,436","10,154","8,385","12,489","7,334","6,769"
MA,MA House 2nd Bristol,"9,569","7,877","9,563","7,682","8,004","9,538","5,805","4,850"
MA,MA House 3rd Bristol,"9,545","7,744","10,407","7,257","9,024","8,869","6,434","4,351"
MA,MA House 4th Bristol,"9,911","10,973","10,336","10,055","9,122","11,549","5,960","6,187"
MA,MA House 5th Bristol,"10,376","10,249","12,234","8,238","10,812","9,898","7,242","4,990"
MA,MA House 6th Bristol,"9,025","6,196","10,779","4,654","9,779","5,776","5,967","2,924"
MA,MA House 7th Bristol,"6,998","4,095","9,138","2,527","8,310","3,357","4,446","1,653"
MA,MA House 8th Bristol,"9,767","8,997","11,731","6,976","10,605","8,349","6,863","4,297"
MA,MA House 9th Bristol,"10,532","7,681","12,305","6,718","10,978","8,272","7,060","3,647"
MA,MA House 10th Bristol,"11,188","9,151","11,962","8,503","10,662","10,125","7,882","5,523"
MA,MA House 11th Bristol,"7,965","6,133","9,860","4,526","8,974","5,575","5,372","2,444"
MA,MA House 12th Bristol,"8,605","10,440","9,179","9,677","7,636","11,493","6,096","6,344"
MA,MA House 13th Bristol,"9,827","3,976","11,840","2,923","10,938","3,902","6,039","1,597"
MA,MA House 14th Bristol,"10,206","9,064","9,526","10,027","7,555","12,313","6,105","6,479"
MA,MA House 1st Essex,"14,657","8,594","13,937","9,429","11,728","12,005","9,993","6,601"
MA,MA House 2nd Essex,"13,376","11,554","12,584","13,456","10,521","15,882","9,196","9,398"
MA,MA House 3rd Essex,"10,211","7,365","10,357","7,110","8,878","8,843","6,359","4,694"
MA,MA House 4th Essex,"14,966","9,592","13,036","12,905","11,085","15,197","9,737","9,215"
MA,MA House 5th Essex,"14,202","7,484","13,925","8,172","11,675","10,769","9,911","5,826"
MA,MA House 6th Essex,"13,185","6,904","12,158","8,328","10,305","10,547","8,699","5,392"
MA,MA House 7th Essex,"14,950","5,458","13,605","5,725","11,953","7,717","9,180","3,587"
MA,MA House 8th Essex,"15,568","6,956","13,740","9,280","12,035","11,283","10,775","6,440"
MA,MA House 9th Essex,"11,475","11,262","11,762","10,907","9,695","13,216","9,422","6,830"
MA,MA House 10th Essex,"9,899","3,829","10,298","3,473","9,319","4,563","6,222","2,083"
MA,MA House 11th Essex,"9,803","4,014","10,325","3,742","9,290","4,893","6,541","2,294"
MA,MA House 12th Essex,"11,510","8,580","11,823","8,265","9,854","10,431","8,728","5,251"
MA,MA House 13th Essex,"11,727","11,288","11,523","11,668","9,422","14,043","8,668","7,359"
MA,MA House 14th Essex,"11,499","7,536","10,423","8,488","8,954","10,135","6,920","5,307"
MA,MA House 15th Essex,"10,613","10,089","10,185","10,039","8,463","12,015","7,200","6,401"
MA,MA House 16th Essex,"11,076","1,679","10,072","1,579","9,545","2,103","5,785","1,227"
MA,MA House 17th Essex,"11,138","3,643","10,192","4,288","9,346","5,195","6,010","2,950"
MA,MA House 18th Essex,"13,464","9,894","11,274","12,910","9,435","14,997","8,083","8,651"
MA,MA House 1st Franklin,"15,811","6,224","17,097","5,751","16,165","7,579","12,555","4,441"
MA,MA House 2nd Franklin,"9,301","8,847","10,998","7,781","9,481","9,807","7,553","5,877"
MA,MA House 1st Hampden,"8,783","10,816","10,356","9,658","8,784","11,727","6,837","7,017"
MA,MA House 2nd Hampden,"11,453","10,711","11,352","11,569","9,646","13,490","8,426","7,974"
MA,MA House 3rd Hampden,"8,402","10,930","9,715","10,144","8,142","11,970","6,578","7,158"
MA,MA House 4th Hampden,"8,225","9,021","9,281","8,218","7,722","10,083","6,194","5,825"
MA,MA House 5th Hampden,"11,656","4,022","12,536","3,656","11,432","4,921","7,065","2,681"
MA,MA House 6th Hampden,"8,353","7,026","9,134","6,453","7,726","8,034","5,902","4,635"
MA,MA House 7th Hampden,"10,261","9,192","11,498","7,926","9,852","9,830","7,339","5,389"
MA,MA House 8th Hampden,"8,931","7,131","10,423","5,965","8,923","7,718","6,929","4,155"
MA,MA House 9th Hampden,"10,873","4,548","12,079","4,064","10,913","5,302","7,063","2,824"
MA,MA House 10th Hampden,"10,464","1,266","10,931","1,200","10,201","1,826","4,919",948
MA,MA House 11th Hampden,"11,331","1,843","12,442","1,738","11,697","2,442","6,364","1,266"
MA,MA House 12th Hampden,"10,766","8,256","11,370","8,569","9,770","10,352","8,033","5,865"
MA,MA House 1st Hampshire,"17,368","4,919","17,346","5,069","16,638","6,503","12,792","3,661"
MA,MA House 2nd Hampshire,"14,272","7,610","14,689","7,425","13,230","9,387","10,139","5,220"
MA,MA House 3rd Hampshire,"14,054","2,155","14,569","2,820","13,942","4,126","8,091","1,517"
MA,MA House 1st Middlesex,"11,685","10,326","10,921","11,742","9,151","13,936","7,775","7,899"
MA,MA House 2nd Middlesex,"15,031","9,133","12,684","11,965","10,627","14,434","9,576","8,167"
MA,MA House 3rd Middlesex,"14,487","7,743","13,185","9,506","11,277","11,858","9,588","6,798"
MA,MA House 4th Middlesex,"12,112","6,641","10,888","7,983","9,092","10,033","7,384","5,584"
MA,MA House 5th Middlesex,"16,942","6,741","13,137","7,974","12,645","11,937","10,681","6,821"
MA,MA House 6th Middlesex,"14,016","5,255","12,539","6,836","11,060","8,591","8,771","4,607"
MA,MA House 7th Middlesex,"10,834","4,102","9,743","4,949","8,509","6,398","5,957","3,423"
MA,MA House 8th Middlesex,"15,153","7,809","12,618","11,216","10,535","13,650","8,269","8,940"
MA,MA House 9th Middlesex,"13,962","6,205","12,698","7,436","11,263","9,160","9,205","4,562"
MA,MA House 10th Middlesex,"11,524","4,023","10,297","4,762","9,233","6,104","6,886","2,681"
MA,MA House 11th Middlesex,"17,570","3,553","15,352","5,482","14,366","6,799","11,594","3,576"
MA,MA House 12th Middlesex,"17,005","3,404","15,065","5,748","13,988","7,099","11,247","3,639"
MA,MA House 13th Middlesex,"16,517","5,928","14,154","9,136","12,434","11,165","9,981","6,136"
MA,MA House 14th Middlesex,"17,548","5,733","14,994","9,011","13,487","10,871","11,128","6,329"
MA,MA House 15th Middlesex,"17,062","5,863","15,799","8,053","14,492","9,709","11,989","5,052"
