STATE,DISTRICT,Clinton 2016 President D,Trump 2016 President R
MD,MD House 01A,"3,446","14,883"
MD,MD House 01B,"4,622","11,658"
MD,MD House 01C,"3,968","12,436"
MD,MD House 02A,"12,774","27,711"
MD,MD House 02B,"6,760","6,355"
MD,MD House 03A,"22,117","12,224"
MD,MD House 03B,"11,076","10,273"
MD,MD House 4,"25,699","41,731"
MD,MD House 5,"18,628","44,483"
MD,MD House 6,"21,621","29,058"
MD,MD House 7,"23,307","46,038"
MD,MD House 8,"31,435","25,071"
MD,MD House 09A,"24,869","26,807"
MD,MD House 09B,"13,454","6,338"
MD,MD House 10,"38,615","9,637"
MD,MD House 11,"36,570","17,135"
MD,MD House 12,"35,635","17,901"
MD,MD House 13,"46,210","15,964"
MD,MD House 14,"44,212","17,691"
MD,MD House 15,"41,581","16,231"
MD,MD House 16,"54,464","11,703"
MD,MD House 17,"41,199","10,737"
MD,MD House 18,"47,909","8,297"
MD,MD House 19,"43,809","12,682"
MD,MD House 20,"43,939","4,491"
MD,MD House 21,"40,943","11,412"
MD,MD House 22,"50,815","4,715"
MD,MD House 23A,"14,322","3,173"
MD,MD House 23B,"32,825","6,042"
MD,MD House 24,"53,697","2,303"
MD,MD House 25,"49,096","1,970"
MD,MD House 26,"49,609","3,222"
MD,MD House 27A,"18,057","5,023"
MD,MD House 27B,"12,792","9,281"
MD,MD House 27C,"8,567","12,430"
MD,MD House 28,"43,623","21,870"
MD,MD House 29A,"6,020","13,972"
MD,MD House 29B,"8,311","8,319"
MD,MD House 29C,"7,883","12,125"
MD,MD House 30A,"21,536","12,586"
MD,MD House 30B,"8,290","12,028"
MD,MD House 31A,"8,862","7,622"
MD,MD House 31B,"15,456","30,290"
MD,MD House 32,"33,033","20,136"
MD,MD House 33,"34,390","34,768"
MD,MD House 34A,"18,912","15,126"
MD,MD House 34B,"8,004","13,499"
MD,MD House 35A,"6,033","11,854"
MD,MD House 35B,"12,416","33,967"
MD,MD House 36,"20,319","37,113"
MD,MD House 37A,"10,216","4,377"
MD,MD House 37B,"15,880","27,483"
MD,MD House 38A,"8,649","10,526"
MD,MD House 38B,"7,203","8,564"
MD,MD House 38C,"6,347","15,590"
MD,MD House 39,"40,724","10,873"
MD,MD House 40,"39,292","3,506"
MD,MD House 41,"34,732","4,492"
MD,MD House 42A,"12,612","5,005"
MD,MD House 42B,"23,084","24,752"
MD,MD House 43,"41,782","3,273"
MD,MD House 44A,"13,193",505
MD,MD House 44B,"29,370","6,034"
MD,MD House 45,"39,548","4,008"
MD,MD House 46,"34,126","9,420"
MD,MD House 47A,"30,514","1,734"
MD,MD House 47B,"8,927",649
