STATE,DISTRICT,Clinton 2016 President D,Trump 2016 President R
MD,MD Senate 1,"12,037","38,977"
MD,MD Senate 2,"19,534","34,067"
MD,MD Senate 3,"33,193","22,497"
MD,MD Senate 4,"25,699","41,731"
MD,MD Senate 5,"18,628","44,483"
MD,MD Senate 6,"21,621","29,058"
MD,MD Senate 7,"23,307","46,038"
MD,MD Senate 8,"31,435","25,071"
MD,MD Senate 9,"38,323","33,145"
MD,MD Senate 10,"38,615","9,637"
MD,MD Senate 11,"36,570","17,135"
MD,MD Senate 12,"35,635","17,901"
MD,MD Senate 13,"46,210","15,964"
MD,MD Senate 14,"44,212","17,691"
MD,MD Senate 15,"41,581","16,231"
MD,MD Senate 16,"54,464","11,703"
MD,MD Senate 17,"41,199","10,737"
MD,MD Senate 18,"47,909","8,297"
MD,MD Senate 19,"43,809","12,682"
MD,MD Senate 20,"43,939","4,491"
MD,MD Senate 21,"40,943","11,412"
MD,MD Senate 22,"50,815","4,715"
MD,MD Senate 23,"47,146","9,215"
MD,MD Senate 24,"53,697","2,303"
MD,MD Senate 25,"49,096","1,970"
MD,MD Senate 26,"49,609","3,222"
MD,MD Senate 27,"39,416","26,733"
MD,MD Senate 28,"43,623","21,870"
MD,MD Senate 29,"22,214","34,415"
MD,MD Senate 30,"29,826","24,614"
MD,MD Senate 31,"24,318","37,911"
MD,MD Senate 32,"33,033","20,136"
MD,MD Senate 33,"34,390","34,768"
MD,MD Senate 34,"26,916","28,625"
MD,MD Senate 35,"18,449","45,820"
MD,MD Senate 36,"20,319","37,113"
MD,MD Senate 37,"26,096","31,859"
MD,MD Senate 38,"22,198","34,680"
MD,MD Senate 39,"40,724","10,873"
MD,MD Senate 40,"39,292","3,506"
MD,MD Senate 41,"34,732","4,492"
MD,MD Senate 42,"35,696","29,757"
MD,MD Senate 43,"41,782","3,273"
MD,MD Senate 44,"42,563","6,539"
MD,MD Senate 45,"39,548","4,008"
MD,MD Senate 46,"34,126","9,420"
MD,MD Senate 47,"39,441","2,383"
