STATE,DISTRICT,Clinton 2016 President D,Trump 2016 President R,Obama 2012 President D,Romney 2012 President R,Dill 2012 Senate D,Summers 2012 Senate R
ME,ME House 1,"3,191","1,593","3,124","1,642",863,"1,071"
ME,ME House 2,"3,096","2,229","3,067","2,189",887,"1,419"
ME,ME House 3,"3,507","2,304","3,453","2,533",980,"1,762"
ME,ME House 4,"3,043","2,299","3,191","2,336",923,"1,601"
ME,ME House 5,"1,930","2,547","2,189","2,229",680,"1,502"
ME,ME House 6,"2,536","2,218","2,735","2,148",764,"1,430"
ME,ME House 7,"3,021","2,573","2,908","2,382",796,"1,621"
ME,ME House 8,"3,493","2,176","3,284","2,323",652,"1,639"
ME,ME House 9,"3,082","2,027","3,281","2,237",736,"1,615"
ME,ME House 10,"2,281","2,787","2,731","2,181",639,"1,638"
ME,ME House 11,"2,632","1,772","2,994","1,416",824,"1,106"
ME,ME House 12,"1,972","1,327","2,371",949,719,750
ME,ME House 13,"3,003","2,151","3,264","1,809",852,"1,391"
ME,ME House 14,"3,077","1,876","3,189","1,722",756,"1,304"
ME,ME House 15,"2,778","2,116","2,919","1,790",685,"1,407"
ME,ME House 16,"2,252","2,919","2,625","2,215",506,"1,732"
ME,ME House 17,"1,694","2,578","2,232","1,881",480,"1,317"
ME,ME House 18,"1,736","1,745","2,358","1,388",680,961
ME,ME House 19,"2,021","2,198","2,371","1,645",619,"1,113"
ME,ME House 20,"1,652","3,028","2,185","2,346",643,"1,567"
ME,ME House 21,"2,067","2,812","2,594","2,197",618,"1,509"
ME,ME House 22,"1,959","2,860","2,396","2,175",483,"1,680"
ME,ME House 23,"2,003","2,666","2,386","2,237",525,"1,646"
ME,ME House 24,"2,270","2,544","2,333","2,058",493,"1,552"
ME,ME House 25,"2,075","2,325","2,396","2,061",471,"1,545"
ME,ME House 26,"2,560","2,030","2,836","1,966",544,"1,483"
ME,ME House 27,"2,881","2,208","2,715","2,114",513,"1,568"
ME,ME House 28,"3,210","2,276","2,998","2,443",574,"2,035"
ME,ME House 29,"3,338","2,366","2,985","2,432",572,"2,026"
ME,ME House 30,"4,287","1,514","3,809","2,139",956,"1,455"
ME,ME House 31,"4,034","1,119","3,961","1,378",958,987
ME,ME House 32,"3,412","1,517","3,423","1,587",829,"1,200"
ME,ME House 33,"2,789","1,403","2,856","1,281",754,982
ME,ME House 34,"2,725","1,687","2,561","1,455",646,"1,062"
ME,ME House 35,"2,752","1,893","2,995","1,607",716,"1,179"
ME,ME House 36,"2,818",994,"3,254","1,310",742,974
ME,ME House 37,"3,408",873,"3,604","1,098",800,836
ME,ME House 38,"4,564",517,"4,213",543,"1,207",374
ME,ME House 39,"4,620",695,"4,405",653,"1,250",464
ME,ME House 40,"3,250",524,"3,345",501,"1,045",363
ME,ME House 41,"3,912",995,"3,369","1,011",791,753
ME,ME House 42,"3,677","1,087","3,383","1,105",810,830
