STATE,DISTRICT,Clinton 2016 President D,Trump 2016 President R,Obama 2012 President D,Romney 2012 President R,Stabenow 2012 Senate D,Hoekstra 2012 Senate R,Peters 2014 Senate D,Land 2014 Senate R
MI,MI House 1,"28,213","8,654","31,418","9,709","31,390","8,565","18,105","6,357"
MI,MI House 2,"27,643","8,405","31,934","10,003","31,646","9,152","19,277","6,760"
MI,MI House 3,"29,611",743,"35,777",577,"35,026",562,"20,134",489
MI,MI House 4,"25,996","1,417","28,807","1,012","27,929",951,"16,006",821
MI,MI House 5,"18,619",964,"24,460",683,"23,902",603,"12,239",469
MI,MI House 6,"26,696","2,200","30,347","1,720","29,767","1,392","18,367","1,038"
MI,MI House 7,"33,655",604,"41,097",356,"40,238",374,"23,687",399
MI,MI House 8,"34,299","1,039","40,554",820,"39,804",737,"23,553",701
MI,MI House 9,"28,420","1,314","33,536","1,141","32,786",986,"17,765",801
MI,MI House 10,"33,261","6,903","36,509","7,196","36,889","5,497","22,744","3,888"
MI,MI House 11,"23,913","13,716","28,852","12,099","29,923","9,251","16,933","6,520"
MI,MI House 12,"22,422","15,312","27,924","11,809","29,296","8,774","16,117","6,037"
MI,MI House 13,"20,144","19,612","24,966","17,123","27,158","12,904","15,820","9,361"
MI,MI House 14,"18,534","16,242","23,113","12,611","24,594","9,496","14,121","6,765"
MI,MI House 15,"23,256","11,829","24,347","12,457","25,115","10,083","14,762","7,474"
MI,MI House 16,"22,665","15,642","26,314","13,283","27,817","9,955","15,823","6,965"
MI,MI House 17,"15,578","22,853","21,001","17,726","23,461","13,533","14,099","10,011"
MI,MI House 18,"24,991","22,241","28,304","19,764","31,042","14,898","19,076","10,839"
MI,MI House 19,"23,068","27,050","24,896","27,394","27,452","22,359","18,243","16,510"
MI,MI House 20,"26,333","24,438","25,014","27,184","26,640","23,444","17,872","17,371"
MI,MI House 21,"27,532","20,378","25,575","19,773","27,207","16,352","18,145","12,255"
MI,MI House 22,"19,248","16,702","23,238","13,390","25,308","9,746","13,950","6,782"
MI,MI House 23,"20,819","26,860","24,571","22,630","27,236","17,723","17,132","13,036"
MI,MI House 24,"18,539","25,898","21,387","22,716","24,617","17,494","14,969","12,901"
MI,MI House 25,"18,622","22,766","22,081","20,567","25,331","15,590","15,741","11,597"
MI,MI House 26,"26,675","17,769","27,108","18,640","28,006","15,464","18,723","10,546"
MI,MI House 27,"35,857","11,732","35,946","11,983","36,529","9,504","25,084","6,608"
MI,MI House 28,"19,962","14,928","22,664","12,843","24,549","9,455","14,020","6,878"
MI,MI House 29,"23,256","8,923","26,326","8,321","26,465","6,948","15,471","4,887"
MI,MI House 30,"15,125","21,956","17,795","19,235","20,394","14,951","11,875","10,973"
MI,MI House 31,"20,280","20,640","24,164","17,640","26,853","13,151","15,741","9,979"
MI,MI House 32,"13,570","28,447","18,827","22,507","22,640","16,764","13,116","12,628"
MI,MI House 33,"15,210","30,064","18,337","23,921","22,211","18,053","13,694","13,874"
MI,MI House 34,"23,792","3,397","31,029","2,836","30,864","2,219","17,450","1,355"
MI,MI House 35,"45,105","8,662","45,991","9,898","46,449","8,360","32,811","6,106"
MI,MI House 36,"14,776","31,800","17,355","27,698","20,820","22,160","12,874","16,598"
MI,MI House 37,"30,069","17,819","29,721","20,255","31,248","17,023","21,296","12,314"
MI,MI House 38,"23,589","25,476","22,173","25,977","23,628","22,384","15,596","15,577"
MI,MI House 39,"23,551","25,439","23,281","25,030","24,755","21,199","16,872","14,682"
MI,MI House 40,"32,027","25,519","28,161","31,816","30,297","27,869","22,526","19,721"
