STATE,DISTRICT,Clinton 2016 President D,Trump 2016 President R,Obama 2012 President D,Romney 2012 President R,Klobuchar 2012 Senate D,Bills 2012 Senate R
MN,MN House 1A,"5,444","12,695","8,144","10,294","11,489","6,217"
MN,MN House 1B,"5,859","11,433","8,592","9,677","11,546","5,729"
MN,MN House 2A,"6,734","12,036","9,728","10,135","11,960","6,874"
MN,MN House 2B,"5,911","12,836","8,299","11,032","10,836","7,402"
MN,MN House 3A,"9,661","11,120","12,718","9,739","15,360","6,163"
MN,MN House 3B,"11,566","9,827","14,047","8,895","16,129","5,926"
MN,MN House 4A,"9,454","8,052","10,724","8,201","12,602","5,290"
MN,MN House 4B,"7,324","11,827","9,244","10,187","12,334","6,146"
MN,MN House 5A,"7,725","10,119","10,599","9,332","12,443","6,371"
MN,MN House 5B,"7,758","12,305","10,630","10,437","13,139","6,963"
MN,MN House 6A,"9,120","9,766","13,326","7,289","15,210","4,675"
MN,MN House 6B,"9,914","10,512","14,253","8,277","16,516","5,311"
MN,MN House 7A,"14,713","6,697","16,229","7,316","17,364","5,037"
MN,MN House 7B,"11,817","6,541","14,887","5,877","16,168","3,803"
MN,MN House 8A,"6,898","13,979","8,601","12,922","11,509","8,920"
MN,MN House 8B,"6,414","15,192","8,907","12,835","12,406","8,200"
MN,MN House 9A,"4,748","14,308","7,440","11,939","10,672","7,675"
MN,MN House 9B,"4,329","14,753","7,322","11,765","10,864","7,060"
MN,MN House 10A,"6,958","13,476","9,074","11,793","11,918","7,683"
MN,MN House 10B,"7,158","14,327","10,098","12,155","13,278","7,594"
MN,MN House 11A,"9,471","9,109","12,732","7,326","14,584","4,768"
MN,MN House 11B,"5,858","11,387","8,786","9,575","11,250","5,968"
MN,MN House 12A,"7,111","12,870","10,130","11,313","13,661","6,838"
MN,MN House 12B,"5,006","14,864","7,423","12,669","11,855","7,185"
MN,MN House 13A,"6,452","14,042","9,022","12,492","13,082","7,100"
MN,MN House 13B,"6,585","14,018","8,649","12,200","12,448","7,181"
MN,MN House 14A,"8,309","10,709","9,610","10,124","12,280","6,206"
MN,MN House 14B,"7,679","8,282","10,158","8,306","11,738","5,289"
MN,MN House 15A,"5,311","13,322","8,375","11,039","11,368","6,914"
MN,MN House 15B,"4,960","16,162","7,414","13,361","11,505","8,241"
MN,MN House 16A,"6,040","11,722","9,035","10,384","12,373","6,144"
MN,MN House 16B,"5,428","13,148","8,258","11,874","12,092","7,109"
MN,MN House 17A,"5,891","12,494","9,428","10,166","13,042","5,691"
MN,MN House 17B,"6,978","11,520","9,311","10,119","12,248","6,235"
MN,MN House 18A,"5,579","13,499","8,192","11,903","11,703","7,537"
MN,MN House 18B,"5,023","13,345","7,359","12,054","11,479","6,976"
MN,MN House 19A,"9,491","10,387","11,538","9,908","14,279","5,985"
MN,MN House 19B,"9,797","8,237","11,934","8,349","13,127","5,382"
MN,MN House 20A,"6,754","13,872","8,621","12,326","11,991","7,783"
MN,MN House 20B,"10,420","10,163","11,920","9,657","14,160","6,144"
MN,MN House 21A,"8,697","11,117","11,177","10,285","14,006","6,470"
MN,MN House 21B,"6,643","13,111","9,289","11,350","12,102","7,274"
MN,MN House 22A,"5,395","13,316","8,384","11,401","10,122","8,323"
MN,MN House 22B,"5,312","10,931","7,660","9,456","9,939","5,894"
MN,MN House 23A,"5,406","13,367","8,135","12,246","12,073","7,216"
MN,MN House 23B,"6,567","11,943","9,741","10,414","13,119","5,971"
MN,MN House 24A,"6,714","11,524","9,098","10,405","12,256","6,146"
MN,MN House 24B,"6,067","10,663","8,499","9,149","11,308","5,355"
MN,MN House 25A,"8,297","11,860","9,703","11,223","12,181","7,695"
MN,MN House 25B,"10,840","8,680","11,573","9,693","13,176","6,871"
MN,MN House 26A,"10,069","6,833","10,893","7,518","11,887","5,295"
MN,MN House 26B,"9,303","12,854","10,224","12,320","12,922","8,422"
MN,MN House 27A,"7,499","11,176","11,630","8,855","13,942","5,506"
MN,MN House 27B,"7,508","9,049","11,257","7,106","12,643","4,567"
MN,MN House 28A,"9,158","8,703","11,947","8,613","12,049","6,407"
MN,MN House 28B,"8,017","11,887","10,994","9,864","11,984","7,009"
MN,MN House 29A,"6,390","13,993","8,340","13,311","12,075","8,680"
MN,MN House 29B,"6,312","12,614","8,229","11,705","11,172","7,796"
MN,MN House 30A,"6,646","13,436","8,378","12,392","11,611","8,147"
MN,MN House 30B,"6,740","14,196","7,929","13,426","11,125","9,128"
MN,MN House 31A,"5,322","15,358","7,674","13,471","11,235","8,802"
MN,MN House 31B,"6,833","15,018","8,941","13,796","12,891","8,846"
MN,MN House 32A,"5,996","13,691","8,451","11,700","11,608","7,384"
