STATE,DISTRICT,Clinton 2016 President D,Trump 2016 President R,Obama 2012 President D,Romney 2012 President R,McCaskill 2012 Senate D,Akin 2012 Senate R
MO,MO House 1,"3,612","11,174","4,820","9,884","7,285","6,501"
MO,MO House 2,"2,733","11,576","4,240","9,958","6,625","6,526"
MO,MO House 3,"4,184","9,832","5,455","8,911","7,447","6,345"
MO,MO House 4,"3,167","11,752","5,556","9,310","7,673","6,778"
MO,MO House 5,"3,863","12,752","5,395","10,757","7,236","8,502"
MO,MO House 6,"3,724","12,430","5,124","10,448","7,186","7,537"
MO,MO House 7,"2,933","11,432","4,663","9,660","7,149","6,172"
MO,MO House 8,"4,345","12,770","6,239","10,740","8,212","7,468"
MO,MO House 9,"5,089","12,880","6,219","11,394","8,943","7,558"
MO,MO House 10,"4,723","6,405","6,027","5,662","7,536","3,571"
MO,MO House 11,"5,146","10,753","7,147","8,883","9,365","5,764"
MO,MO House 12,"6,373","12,834","7,198","11,790","9,393","8,075"
MO,MO House 13,"8,430","11,552","7,720","11,536","9,664","8,081"
MO,MO House 14,"9,550","9,301","8,784","9,496","10,433","6,475"
MO,MO House 15,"8,043","7,877","8,444","8,126","9,896","5,574"
MO,MO House 16,"8,526","11,232","7,876","11,216","9,996","7,469"
MO,MO House 17,"7,791","9,000","8,535","8,855","10,239","5,907"
MO,MO House 18,"8,674","7,035","9,003","7,411","10,375","4,944"
MO,MO House 19,"4,885","2,463","5,787","2,610","6,139","1,856"
MO,MO House 20,"5,246","9,341","7,040","8,498","8,533","5,887"
MO,MO House 21,"6,179","7,540","7,405","7,645","8,762","5,311"
MO,MO House 22,"11,308","1,887","13,827","1,777","13,876","1,305"
MO,MO House 23,"8,543",760,"10,962",676,"10,849",532
MO,MO House 24,"15,549","2,524","14,435","3,172","15,017","1,990"
MO,MO House 25,"15,987","5,306","14,098","7,363","15,860","4,603"
MO,MO House 26,"14,419","1,415","16,189","1,739","16,347","1,193"
MO,MO House 27,"11,157","2,290","12,996","2,505","13,282","1,825"
MO,MO House 28,"9,038","5,904","9,994","6,322","10,999","4,499"
MO,MO House 29,"8,078","8,123","9,153","8,707","10,646","6,136"
MO,MO House 30,"8,204","10,020","8,066","10,969","9,963","7,787"
MO,MO House 31,"6,584","10,036","7,455","9,976","9,270","6,925"
MO,MO House 32,"5,797","11,252","6,476","10,872","8,462","7,506"
MO,MO House 33,"4,631","12,272","5,702","10,925","7,552","7,676"
MO,MO House 34,"7,609","10,751","7,396","11,479","9,421","8,024"
MO,MO House 35,"9,083","9,370","8,927","10,267","10,675","7,298"
MO,MO House 36,"10,327","5,264","11,966","6,370","12,770","4,949"
MO,MO House 37,"9,470","7,584","9,765","7,619","10,838","5,653"
MO,MO House 38,"6,593","11,142","7,149","10,376","8,950","7,168"
MO,MO House 39,"4,073","11,821","5,880","9,832","8,030","6,586"
MO,MO House 40,"3,591","11,800","5,398","9,905","7,156","7,557"
MO,MO House 41,"4,077","13,225","5,696","10,630","7,559","8,036"
MO,MO House 42,"4,236","13,204","5,799","11,143","7,571","8,405"
MO,MO House 43,"3,577","10,302","4,916","9,103","6,485","6,567"
MO,MO House 44,"6,615","9,400","7,321","8,999","8,851","6,154"
MO,MO House 45,"8,836","4,763","8,715","5,090","9,498","3,391"
MO,MO House 46,"12,327","6,756","11,460","8,186","13,054","5,392"
MO,MO House 47,"7,181","8,969","7,385","9,112","8,921","6,408"
MO,MO House 48,"3,903","11,517","5,285","10,069","7,340","6,908"
MO,MO House 49,"4,248","10,483","4,930","9,539","6,448","7,080"
MO,MO House 50,"7,892","12,361","7,135","11,371","9,070","8,075"
MO,MO House 51,"4,298","9,005","5,550","8,013","7,424","5,115"
MO,MO House 52,"3,641","9,270","4,821","7,882","6,569","5,178"
MO,MO House 53,"4,333","11,946","6,019","10,730","8,229","7,326"
MO,MO House 54,"4,047","10,793","5,511","9,883","7,397","6,747"
MO,MO House 55,"5,727","12,848","6,376","12,542","8,556","8,868"
MO,MO House 56,"5,491","10,569","6,281","10,020","8,103","7,020"
MO,MO House 57,"3,629","12,424","5,404","10,735","7,782","7,199"
MO,MO House 58,"2,778","11,521","4,227","9,961","5,947","7,248"
MO,MO House 59,"3,856","13,242","4,404","12,622","6,148","9,805"
MO,MO House 60,"6,629","9,877","7,257","10,432","8,714","7,970"
MO,MO House 61,"4,066","14,116","5,296","12,289","7,528","8,859"
MO,MO House 62,"2,959","14,021","4,354","12,557","6,570","9,263"
MO,MO House 63,"6,562","15,599","7,010","12,175","8,831","9,311"
MO,MO House 64,"5,698","13,705","6,572","11,062","8,399","8,336"
MO,MO House 65,"7,256","10,233","7,798","9,500","9,461","7,055"
MO,MO House 66,"11,980","1,533","14,790","1,649","15,006","1,212"
MO,MO House 67,"16,281","3,153","17,546","3,686","18,131","2,751"
MO,MO House 68,"11,626","5,428","12,531","5,875","13,630","4,255"
MO,MO House 69,"10,139","6,558","11,063","7,028","12,415","5,027"
MO,MO House 70,"8,839","8,700","8,934","9,397","10,488","6,922"
MO,MO House 71,"10,209","6,521","10,240","7,253","11,598","5,167"
MO,MO House 72,"8,375","6,704","9,423","6,569","10,619","4,787"
MO,MO House 73,"10,434","2,493","12,933","2,364","13,269","1,701"
