STATE,DISTRICT,Clinton 2016 President D,Trump 2016 President R,Obama 2012 President D,Romney 2012 President R,Tester 2012 Senate D,Rehberg 2012 Senate R
MT,MT House 1,"1,054","2,987","1,330","2,762","1,608","2,259"
MT,MT House 2,987,"3,742","1,222","3,295","1,483","2,821"
MT,MT House 3,"1,454","2,884","1,592","2,699","1,870","2,198"
MT,MT House 4,"1,082","3,891","1,237","3,596","1,492","3,110"
MT,MT House 5,"2,838","2,539","2,693","2,592","2,943","2,248"
MT,MT House 6,"1,686","3,829","1,561","3,535","1,842","3,051"
MT,MT House 7,"1,433","2,319","1,600","2,187","1,812","1,797"
MT,MT House 8,"1,254","3,387","1,358","3,217","1,642","2,736"
MT,MT House 9,930,"2,808","1,127","2,806","1,385","2,326"
MT,MT House 10,"1,605","4,241","1,594","3,852","1,855","3,397"
MT,MT House 11,"1,131","3,756","1,210","3,459","1,434","3,008"
MT,MT House 12,"1,917","3,087","2,228","2,918","2,543","2,335"
MT,MT House 13,984,"4,036","1,310","3,544","1,569","2,936"
MT,MT House 14,"1,181","3,289","1,573","3,050","1,909","2,448"
MT,MT House 15,"1,717","1,154","1,891","1,281","2,034","1,022"
MT,MT House 16,"2,268",994,"2,240",846,"2,363",638
MT,MT House 17,"1,138","3,513","1,550","3,360","1,943","2,821"
MT,MT House 18,900,"3,004","1,255","2,843","1,584","2,345"
MT,MT House 19,"1,153","3,173","1,636","3,041","2,049","2,482"
MT,MT House 20,"1,841","3,525","1,904","3,273","2,361","2,735"
MT,MT House 21,"1,690","2,639","2,209","2,366","2,691","1,803"
MT,MT House 22,"1,443","2,190","1,891","1,950","2,245","1,519"
MT,MT House 23,"1,534","1,798","1,942","1,834","2,270","1,408"
MT,MT House 24,"1,599","2,024","1,993","2,065","2,376","1,596"
MT,MT House 25,"1,533","2,027","1,840","1,704","2,111","1,374"
MT,MT House 26,"1,087","1,449","1,459","1,515","1,686","1,212"
MT,MT House 27,"1,241","3,450","1,603","3,333","2,300","2,554"
MT,MT House 28,"1,456","2,224","2,095","2,064","2,535","1,508"
MT,MT House 29,"1,055","3,668","1,395","3,523","1,752","2,895"
MT,MT House 30,956,"3,898","1,434","3,832","1,902","3,148"
MT,MT House 31,"1,615","1,357","2,100","1,174","2,262",925
MT,MT House 32,"1,719","1,373","2,321","1,299","2,491","1,060"
MT,MT House 33,959,"3,324","1,523","3,085","1,942","2,500"
MT,MT House 34,"1,124","4,040","1,659","3,641","2,132","2,963"
MT,MT House 35,671,"3,908","1,002","3,510","1,406","2,933"
MT,MT House 36,842,"3,783","1,317","3,450","1,720","2,843"
MT,MT House 37,689,"4,948","1,000","4,571","1,504","3,797"
MT,MT House 38,"1,024","2,778","1,621","2,597","1,992","2,015"
MT,MT House 39,782,"3,880","1,355","3,437","1,855","2,697"
MT,MT House 40,954,"4,523","1,111","3,626","1,580","2,856"
MT,MT House 41,"1,239","1,526","1,701","1,357","1,891","1,079"
MT,MT House 42,"1,614","1,542","2,154","1,449","2,366","1,137"
MT,MT House 43,"1,178","2,870","1,484","2,588","1,938","1,955"
MT,MT House 44,"1,356","2,623","1,653","2,589","2,080","2,006"
MT,MT House 45,"1,181","2,408","1,680","3,276","2,149","2,642"
MT,MT House 46,"2,042","3,182","2,062","3,686","2,506","3,094"
MT,MT House 47,"1,883","1,736","1,984","2,019","2,280","1,635"
MT,MT House 48,"2,025","2,212","2,315","2,520","2,661","2,080"
MT,MT House 49,"1,484","1,453","1,802","1,518","2,059","1,171"
MT,MT House 50,"1,453","1,951","1,901","1,989","2,321","1,475"
MT,MT House 51,"1,401","2,127","1,716","2,080","2,047","1,594"
MT,MT House 52,"1,388","2,044","1,797","1,974","2,150","1,484"
MT,MT House 53,"1,711","4,833","1,621","4,320","2,105","3,647"
MT,MT House 54,"1,716","3,422","1,863","3,400","2,338","2,732"
MT,MT House 55,"1,210","2,953","1,682","2,580","2,132","1,966"
MT,MT House 56,"1,128","2,902","1,603","2,648","2,035","2,045"
MT,MT House 57,939,"3,898","1,298","3,567","1,802","2,879"
MT,MT House 58,"1,828","3,748","2,146","3,533","2,691","2,788"
MT,MT House 59,"1,817","3,858","1,819","3,756","2,208","3,174"
MT,MT House 60,"2,328","2,610","2,547","2,471","2,818","1,973"
MT,MT House 61,"3,846","2,604","3,436","2,986","3,810","2,520"
MT,MT House 62,"4,222","1,921","3,288","2,275","3,573","1,921"
MT,MT House 63,"2,488","1,851","2,590","1,892","2,826","1,572"
MT,MT House 64,"2,548","3,449","2,183","3,091","2,488","2,603"
MT,MT House 65,"3,337","2,307","2,734","2,339","3,044","1,908"
MT,MT House 66,"3,446","1,579","2,986","1,881","3,244","1,547"
MT,MT House 67,"1,517","2,832","1,702","2,850","2,031","2,347"
MT,MT House 68,"1,330","3,289","1,405","3,130","1,757","2,627"
MT,MT House 69,"1,333","3,840","1,480","3,761","1,831","3,209"
MT,MT House 70,"1,394","4,088","1,638","3,731","2,112","2,989"
MT,MT House 71,"1,587","4,191","1,800","3,967","2,104","3,393"
MT,MT House 72,"1,321","3,661","1,601","3,547","1,801","3,078"
MT,MT House 73,"2,373","1,812","3,210","1,408","3,427","1,021"
MT,MT House 74,"2,244","1,440","2,813","1,181","2,965",927
MT,MT House 75,"1,830","3,564","2,053","3,486","2,429","2,896"
MT,MT House 76,"3,080","2,125","3,552","2,012","3,860","1,566"
MT,MT House 77,"2,183","2,543","2,957","2,258","3,307","1,718"
MT,MT House 78,"1,261","2,077","1,896","1,776","2,191","1,354"
