STATE,DISTRICT,Clinton 2016 President D,Trump 2016 President R,Obama 2012 President D,Romney 2012 President R,Tester 2012 Senate D,Rehberg 2012 Senate R
MT,MT Senate 1,"2,041","6,729","2,552","6,057","3,091","5,080"
MT,MT Senate 2,"2,536","6,775","2,830","6,295","3,362","5,308"
MT,MT Senate 3,"4,524","6,368","4,254","6,128","4,785","5,299"
MT,MT Senate 4,"2,687","5,706","2,958","5,404","3,455","4,534"
MT,MT Senate 5,"2,535","7,049","2,721","6,658","3,240","5,723"
MT,MT Senate 6,"3,048","6,843","3,439","6,377","3,976","5,342"
MT,MT Senate 7,"2,165","7,325","2,883","6,594","3,478","5,384"
MT,MT Senate 8,"3,985","2,148","4,131","2,126","4,397","1,660"
MT,MT Senate 9,"2,038","6,517","2,805","6,203","3,527","5,166"
MT,MT Senate 10,"2,994","6,698","3,540","6,314","4,410","5,216"
MT,MT Senate 11,"3,133","4,829","4,101","4,315","4,936","3,322"
MT,MT Senate 12,"3,133","3,822","3,935","3,899","4,645","3,003"
MT,MT Senate 13,"2,620","3,476","3,299","3,219","3,796","2,586"
MT,MT Senate 14,"2,697","5,674","3,698","5,396","4,836","4,062"
MT,MT Senate 15,"2,011","7,566","2,829","7,355","3,654","6,043"
MT,MT Senate 16,"3,334","2,730","4,422","2,474","4,753","1,986"
MT,MT Senate 17,"2,083","7,364","3,183","6,726","4,074","5,462"
MT,MT Senate 18,"1,513","7,691","2,319","6,960","3,126","5,776"
MT,MT Senate 19,"1,713","7,726","2,621","7,167","3,497","5,813"
MT,MT Senate 20,"1,736","8,403","2,466","7,063","3,434","5,554"
MT,MT Senate 21,"2,853","3,068","3,855","2,806","4,257","2,216"
MT,MT Senate 22,"2,534","5,493","3,137","5,176","4,018","3,961"
MT,MT Senate 23,"3,223","5,590","3,742","6,962","4,655","5,736"
MT,MT Senate 24,"3,908","3,948","4,299","4,539","4,942","3,715"
MT,MT Senate 25,"2,937","3,404","3,703","3,507","4,380","2,647"
MT,MT Senate 26,"2,789","4,171","3,513","4,054","4,197","3,078"
MT,MT Senate 27,"3,427","8,255","3,484","7,720","4,444","6,380"
MT,MT Senate 28,"2,338","5,855","3,285","5,228","4,166","4,010"
MT,MT Senate 29,"2,767","7,646","3,444","7,100","4,493","5,667"
MT,MT Senate 30,"4,145","6,468","4,366","6,227","5,027","5,148"
MT,MT Senate 31,"8,068","4,525","6,724","5,261","7,383","4,441"
MT,MT Senate 32,"5,036","5,300","4,773","4,983","5,314","4,175"
MT,MT Senate 33,"6,783","3,886","5,719","4,219","6,289","3,455"
MT,MT Senate 34,"2,847","6,121","3,106","5,979","3,788","4,974"
MT,MT Senate 35,"2,727","7,928","3,118","7,493","3,943","6,198"
MT,MT Senate 36,"2,908","7,852","3,402","7,514","3,906","6,471"
MT,MT Senate 37,"4,617","3,252","6,024","2,589","6,392","1,948"
MT,MT Senate 38,"4,910","5,689","5,605","5,497","6,290","4,462"
MT,MT Senate 39,"3,444","4,620","4,852","4,034","5,497","3,072"
MT,MT Senate 40,"4,309","6,398","4,523","6,134","5,366","4,990"
MT,MT Senate 41,"4,938","4,672","5,365","4,610","6,126","3,651"
MT,MT Senate 42,"4,435","4,367","4,885","4,662","5,644","3,673"
MT,MT Senate 43,"3,267","7,550","3,732","7,227","4,377","6,057"
MT,MT Senate 44,"2,956","7,260","3,553","7,080","4,225","5,933"
MT,MT Senate 45,"5,889","3,596","6,076","3,950","6,692","3,222"
MT,MT Senate 46,"6,457","3,889","6,798","4,056","7,492","3,247"
MT,MT Senate 47,"4,043","4,789","4,507","4,377","5,101","3,471"
MT,MT Senate 48,"5,097","3,891","5,258","3,788","5,885","2,990"
MT,MT Senate 49,"4,551","5,088","4,945","4,838","5,672","3,866"
MT,MT Senate 50,"6,980","3,230","7,058","3,587","7,689","2,879"
