STATE,DISTRICT,Clinton 2016 President D,Trump 2016 President R,Obama 2012 President D,Romney 2012 President R,Heitkamp 2012 Senate D,Berg 2012 Senate R
ND,ND Legislature 1,987,"4,878","1,376","3,948","1,807","3,618"
ND,ND Legislature 2,"1,289","8,216","1,818","5,727","2,676","5,017"
ND,ND Legislature 3,"1,358","4,674","2,073","3,759","2,676","3,302"
ND,ND Legislature 4,"2,233","4,447","2,918","3,484","3,701","2,804"
ND,ND Legislature 5,"1,632","4,245","2,256","4,055","2,938","3,442"
ND,ND Legislature 6,"1,427","5,537","2,524","4,809","3,575","3,890"
ND,ND Legislature 7,"1,937","7,569","2,199","5,229","3,218","4,351"
ND,ND Legislature 8,"1,407","6,822","2,222","5,411","3,400","4,374"
ND,ND Legislature 9,"2,099","1,217","3,353","1,092","3,662",902
ND,ND Legislature 10,"1,547","4,462","2,783","3,891","3,676","3,201"
ND,ND Legislature 11,"3,290","2,981","3,983","3,135","4,620","2,659"
ND,ND Legislature 12,"1,771","3,986","2,393","3,367","3,116","2,776"
ND,ND Legislature 13,"2,777","4,170","3,375","3,939","4,162","3,288"
ND,ND Legislature 14,"1,438","5,620","2,391","5,225","3,587","4,202"
ND,ND Legislature 15,"1,810","3,950","2,680","3,288","3,465","2,701"
ND,ND Legislature 16,"3,449","4,237","3,134","2,836","3,769","2,357"
ND,ND Legislature 17,"3,292","4,996","3,393","4,305","4,125","3,694"
ND,ND Legislature 18,"2,256","2,850","3,145","2,390","3,624","2,031"
ND,ND Legislature 19,"1,404","3,995","2,281","3,520","3,088","2,888"
ND,ND Legislature 20,"1,888","4,020","2,784","3,426","3,590","2,756"
ND,ND Legislature 21,"2,965","2,332","3,375","2,192","3,815","1,938"
ND,ND Legislature 22,"2,784","5,526","3,066","4,445","3,997","3,641"
ND,ND Legislature 23,"2,078","3,504","3,040","3,042","3,818","2,384"
ND,ND Legislature 24,"2,070","3,966","3,158","3,621","4,143","2,832"
ND,ND Legislature 25,"1,774","4,191","2,766","3,764","3,797","2,860"
ND,ND Legislature 26,"2,070","4,032","3,227","3,452","4,219","2,618"
ND,ND Legislature 27,"3,569","4,819","3,262","3,985","3,917","3,452"
ND,ND Legislature 28,"1,076","6,094","1,922","5,377","3,027","4,431"
ND,ND Legislature 29,"1,425","4,941","2,308","4,254","3,270","3,418"
ND,ND Legislature 30,"1,672","5,012","2,386","4,401","3,145","3,748"
ND,ND Legislature 31,"1,807","5,069","2,621","4,183","3,511","3,423"
ND,ND Legislature 32,"1,801","4,381","2,527","3,990","3,337","3,339"
ND,ND Legislature 33,"1,081","6,575","2,023","5,300","3,158","4,367"
ND,ND Legislature 34,"1,885","5,415","2,506","4,117","3,424","3,389"
ND,ND Legislature 35,"2,312","4,688","3,034","4,791","3,929","4,055"
ND,ND Legislature 36,884,"6,536","1,521","5,574","2,420","4,775"
ND,ND Legislature 37,"1,086","5,059","1,714","4,626","2,402","4,045"
ND,ND Legislature 38,"1,315","4,853","1,871","4,202","2,577","3,572"
ND,ND Legislature 39,"1,098","8,268","1,706","6,682","2,646","5,865"
ND,ND Legislature 40,"1,158","2,880","1,541","2,660","1,943","2,359"
ND,ND Legislature 41,"2,930","3,804","3,243","4,221","3,900","3,694"
ND,ND Legislature 42,"1,866","2,334","2,706","2,522","2,933","2,402"
ND,ND Legislature 43,"2,288","2,768","2,997","2,952","3,479","2,571"
ND,ND Legislature 44,"3,441","3,162","3,983","3,427","4,610","2,990"
ND,ND Legislature 45,"2,409","3,638","2,968","3,497","3,480","3,085"
ND,ND Legislature 46,"3,274","3,866","3,548","4,071","4,137","3,617"
ND,ND Legislature 47,"2,349","6,209","2,727","5,979","3,654","5,159"
