STATE,DISTRICT,Clinton 2016 President D,Trump 2016 President R,Obama 2012 President D,Romney 2012 President R,Shaheen 2014 Senate D,Brown 2014 Senate R
NH,NH House Belknap 01,868,"1,094",954,"1,042",701,764
NH,NH House Belknap 02,"3,682","4,664","3,986","4,536","2,936","3,333"
NH,NH House Belknap 03,"3,303","4,303","3,938","3,859","2,609","2,779"
NH,NH House Belknap 04,"1,528","2,008","1,885","1,766","1,369","1,209"
NH,NH House Belknap 05,"1,940","3,534","2,220","3,298","1,585","2,356"
NH,NH House Belknap 06,"1,272","2,192","1,782","1,816","1,069","1,259"
NH,NH House Belknap 07,924,"1,520","1,125","1,254",828,866
NH,NH House Belknap 08 (F),"2,864","5,054","3,345","4,552","2,413","3,222"
NH,NH House Belknap 09 (F),"4,575","6,495","5,720","5,675","3,678","4,038"
NH,NH House Carroll 01,"1,541",956,"1,485","1,042","1,196",799
NH,NH House Carroll 02,"2,979","2,513","3,250","2,373","2,236","1,550"
NH,NH House Carroll 03,"2,080","2,073","2,309","1,949","1,805","1,346"
NH,NH House Carroll 04,"2,400","3,139","2,484","3,209","1,975","2,439"
NH,NH House Carroll 05,"2,116","3,778","2,595","3,234","1,844","2,241"
NH,NH House Carroll 06,"1,871","2,176","1,854","2,400","1,446","1,775"
NH,NH House Carroll 07 (F),"6,600","5,542","7,044","5,364","5,237","3,695"
NH,NH House Carroll 08 (F),"4,516","6,917","5,079","6,443","3,819","4,680"
NH,NH House Cheshire 01,"3,807","2,809","4,438","2,619","3,095","1,896"
NH,NH House Cheshire 02,978,888,"1,166",756,825,564
NH,NH House Cheshire 03,"1,002",919,"1,150",827,898,617
NH,NH House Cheshire 04,"1,462",640,"1,698",488,687,230
NH,NH House Cheshire 05,"1,648",692,"1,913",611,"1,163",431
NH,NH House Cheshire 06,"1,424",736,"1,652",746,"1,091",492
NH,NH House Cheshire 07,"1,581",791,"1,714",813,"1,131",531
NH,NH House Cheshire 08,"1,817",972,"1,741",955,"1,170",675
NH,NH House Cheshire 09,"2,427","1,914","2,797","1,859","1,958","1,343"
NH,NH House Cheshire 10,"1,133",917,"1,354",761,914,522
NH,NH House Cheshire 11,"1,869","2,584","2,163","2,266","1,308","1,642"
NH,NH House Cheshire 12,"2,076","2,185","2,463","1,822","1,546","1,220"
NH,NH House Cheshire 13,840,829,"1,131",633,682,435
NH,NH House Cheshire 14 (F),"4,296","4,498","4,960","4,125","3,266","2,985"
NH,NH House Cheshire 15 (F),"4,049","3,931","4,948","3,216","3,142","2,177"
NH,NH House Cheshire 16 (F),"7,932","3,831","8,718","3,613","5,242","2,359"
NH,NH House Coos 01,952,"1,774","1,307","1,517","1,024",948
NH,NH House Coos 02,848,"1,238","1,304",861,916,583
NH,NH House Coos 03,"1,954","1,766","2,863","1,248","2,029",701
NH,NH House Coos 04,849,"1,121","1,105",982,779,651
NH,NH House Coos 05,"1,061","1,244","1,353","1,092","1,011",721
NH,NH House Coos 06,899,809,"1,163",642,852,394
NH,NH House Coos 07 (F),"2,758","3,603","3,762","2,935","2,706","1,955"
NH,NH House Grafton 01,"2,037","2,009","2,428","1,827","1,693","1,280"
NH,NH House Grafton 02,"1,281","1,247","1,490","1,158","1,098",838
NH,NH House Grafton 03,"1,282","1,281","1,541","1,146","1,132",848
NH,NH House Grafton 04,785,"1,186",974,975,629,663
NH,NH House Grafton 05,936,801,"1,038",749,697,556
NH,NH House Grafton 06,"1,312","1,413","1,432","1,295","1,081",899
NH,NH House Grafton 07,890,870,"1,050",765,757,532
NH,NH House Grafton 08,"3,022","2,178","3,239","1,880","1,905","1,203"
NH,NH House Grafton 09,"2,007","2,786","2,520","2,443","1,763","1,813"
NH,NH House Grafton 10,"1,445",931,"1,542",843,"1,072",623
NH,NH House Grafton 11,"1,164","1,309","1,399","1,066","1,004",774
NH,NH House Grafton 12,"7,451","1,158","6,401","2,001","4,335","1,244"
NH,NH House Grafton 13,"4,898","1,841","4,772","2,060","3,330","1,381"
NH,NH House Grafton 14 (F),"3,318","3,256","3,918","2,985","2,791","2,118"
NH,NH House Grafton 15 (F),"2,067","2,467","2,515","2,121","1,761","1,511"
NH,NH House Grafton 16 (F),"2,476","2,722","2,831","2,361","2,085","1,673"
NH,NH House Grafton 17 (F),"3,452","3,717","4,062","3,286","2,835","2,436"
NH,NH House Hillsborough 01,"1,894","2,430","2,342","1,934","1,608","1,378"
NH,NH House Hillsborough 02,"2,117","3,543","2,613","3,097","1,736","2,127"
NH,NH House Hillsborough 03,"1,473","1,269","1,594","1,222","1,189",948
NH,NH House Hillsborough 04,"2,348","2,501","2,719","2,375","1,913","1,745"
NH,NH House Hillsborough 05,"2,138","2,478","2,090","2,511","1,616","1,842"
NH,NH House Hillsborough 06,"4,146","5,009","4,231","4,856","2,899","3,275"
NH,NH House Hillsborough 07,"5,851","6,816","4,713","7,990","3,599","5,935"
NH,NH House Hillsborough 08,"2,988","2,231","2,757","2,550","2,147","1,859"
NH,NH House Hillsborough 09,"2,461","1,976","2,557","2,131","1,737","1,441"
NH,NH House Hillsborough 10,"1,834",983,"1,805",947,948,646
NH,NH House Hillsborough 11,"1,875","1,372","2,137","1,265","1,179",794
NH,NH House Hillsborough 12,"1,571","1,078","1,879",977,881,582
NH,NH House Hillsborough 13,"2,220","2,493","2,301","2,427","1,606","1,630"
NH,NH House Hillsborough 14,"1,962","1,700","2,090","1,556","1,259",962
NH,NH House Hillsborough 15,"2,144","2,633","2,350","2,494","1,588","1,725"
NH,NH House Hillsborough 16,"2,052","1,956","2,285","1,772","1,473","1,097"
NH,NH House Hillsborough 17,"1,990","1,844","2,172","1,752","1,440","1,146"
NH,NH House Hillsborough 18,"1,695","1,378","1,807","1,272",981,745
NH,NH House Hillsborough 19,"2,149","1,910","2,087","1,799","1,279","1,172"
NH,NH House Hillsborough 20,"1,923","2,720","1,956","2,703","1,326","1,863"
NH,NH House Hillsborough 21,"6,405","7,397","6,832","7,750","4,403","5,480"
NH,NH House Hillsborough 22,"3,777","3,271","3,501","3,906","2,559","3,019"
NH,NH House Hillsborough 23,"3,816","3,850","3,954","3,787","2,716","2,618"
NH,NH House Hillsborough 24,"2,487","1,179","2,479","1,309","1,878",995
NH,NH House Hillsborough 25,"1,306","2,388","1,420","2,200","1,042","1,678"
NH,NH House Hillsborough 26,"1,723","1,978","1,609","2,099","1,166","1,578"
NH,NH House Hillsborough 27,"2,529","2,310","2,289","2,785","1,731","2,122"
NH,NH House Hillsborough 28,"2,946","2,487","2,869","2,611","1,953","1,917"
NH,NH House Hillsborough 29,"2,483","1,977","2,551","2,123","1,563","1,507"
NH,NH House Hillsborough 30,"2,482","1,769","2,501","1,797","1,539","1,322"
NH,NH House Hillsborough 31,"2,077","1,117","2,304",926,"1,077",597
NH,NH House Hillsborough 32,"2,752","2,573","2,769","2,678","1,853","1,891"
NH,NH House Hillsborough 33,"2,307","1,701","2,526","1,594","1,511","1,049"
NH,NH House Hillsborough 34,"2,171","1,692","2,466","1,628","1,391","1,110"
NH,NH House Hillsborough 35,"2,688","2,002","2,694","2,024","1,614","1,504"
NH,NH House Hillsborough 36,"2,784","2,158","2,733","2,277","1,647","1,564"
NH,NH House Hillsborough 37,"8,025","11,844","8,321","10,867","5,144","7,666"
NH,NH House Hillsborough 38 (F),"5,715","6,200","6,655","5,531","4,710","4,071"
NH,NH House Hillsborough 39 (F),"6,263","8,552","6,844","7,953","4,635","5,402"
NH,NH House Hillsborough 40 (F),"8,483","8,638","8,333","9,083","6,063","6,582"
NH,NH House Hillsborough 41 (F),"9,628","10,087","8,214","11,896","6,158","8,954"
NH,NH House Hillsborough 42 (F),"7,283","5,190","7,119","5,628","4,832","3,946"
NH,NH House Hillsborough 43 (F),"7,628","6,643","8,407","6,225","4,925","3,968"
NH,NH House Hillsborough 44 (F),"6,119","7,309","6,591","6,969","4,387","4,685"
NH,NH House Hillsborough 45 (F),"5,834","5,132","6,066","4,823","3,700","3,063"
NH,NH House Merrimack 01,"1,238","1,549","1,484","1,271","1,127",855
NH,NH House Merrimack 02,"1,046","1,633","1,575","1,276",965,894
NH,NH House Merrimack 03,"1,501","2,087","2,012","1,574","1,332","1,129"
NH,NH House Merrimack 04,"1,106",902,"1,146",906,870,720
NH,NH House Merrimack 05,"2,428","1,763","2,401","2,064","1,718","1,540"
NH,NH House Merrimack 06,"1,871","1,545","2,018","1,465","1,417","1,066"
NH,NH House Merrimack 07,"1,373","1,392","1,561","1,190","1,219",847
NH,NH House Merrimack 08,833,929,"1,000",766,717,513
NH,NH House Merrimack 09,"1,951","2,621","2,319","2,175","1,773","1,537"
NH,NH House Merrimack 10,"4,029","2,101","3,990","2,282","3,241","1,730"
NH,NH House Merrimack 11,"1,266",939,"1,626",783,"1,043",507
NH,NH House Merrimack 12,"1,084",897,"1,298",698,881,476
NH,NH House Merrimack 13,923,538,"1,032",540,798,378
NH,NH House Merrimack 14,"1,334",610,"1,427",548,"1,005",366
NH,NH House Merrimack 15,"1,137",624,"1,349",511,827,363
NH,NH House Merrimack 16,"1,675",801,"1,731",812,"1,392",616
NH,NH House Merrimack 17,"1,069",888,"1,258",720,889,504
NH,NH House Merrimack 18,"1,136",721,"1,192",736,817,462
NH,NH House Merrimack 19,"1,571","1,120","1,579","1,166","1,323",838
NH,NH House Merrimack 20,"2,456","2,770","2,833","2,513","1,980","1,808"
NH,NH House Merrimack 21,"1,610","2,671","2,154","2,269","1,389","1,553"
NH,NH House Merrimack 22,874,"1,203","1,149",981,748,642
NH,NH House Merrimack 23,"3,251","3,145","3,303","3,310","2,627","2,490"
NH,NH House Merrimack 24,"3,436","4,225","3,319","3,968","2,315","2,763"
NH,NH House Merrimack 25 (F),"2,611","2,941","3,045","2,461","2,346","1,702"
NH,NH House Merrimack 26 (F),"4,285","5,637","5,331","4,515","3,822","3,179"
NH,NH House Merrimack 27 (F),"7,419","4,409","8,463","3,892","5,946","2,706"
