STATE,DISTRICT,Clinton 2016 President D,Trump 2016 President R,Obama 2012 President D,Romney 2012 President R,Heinrich 2012 Senate D,Wilson 2012 Senate R,Udall 2014 Senate D,Weh 2014 Senate R
NM,NM House 1,"2,354","9,463","2,723","9,848","2,748","9,578","2,077","6,250"
NM,NM House 2,"1,910","5,840","2,406","6,059","2,324","5,919","1,552","3,632"
NM,NM House 3,"1,764","7,566","2,289","7,341","2,366","6,998","1,723","4,701"
NM,NM House 4,"4,114","4,109","5,061","4,446","4,371","4,983","3,702","2,755"
NM,NM House 5,"6,009","2,381","7,042","2,693","5,833","3,660","5,476","1,725"
NM,NM House 6,"5,415","2,630","6,567","2,570","5,530","3,314","4,639","1,773"
NM,NM House 7,"3,787","4,231","4,643","4,056","4,444","4,311","3,267","2,947"
NM,NM House 8,"4,502","5,953","5,545","5,821","5,477","5,989","4,013","4,189"
NM,NM House 9,"4,873","1,915","5,609","2,089","4,502","2,886","4,101","1,293"
NM,NM House 10,"4,611","2,528","5,288","2,470","4,975","2,787","2,952","1,625"
NM,NM House 11,"9,216","2,441","9,724","2,720","9,453","3,188","6,502","1,856"
NM,NM House 12,"4,468","2,013","4,797","1,858","4,521","2,181","2,623","1,258"
NM,NM House 13,"4,587","2,090","4,511","1,863","4,281","2,105","2,253","1,274"
NM,NM House 14,"5,387","1,914","6,307","1,668","5,922","2,030","3,486","1,206"
NM,NM House 15,"6,904","5,537","7,031","6,383","6,701","6,859","5,031","4,456"
NM,NM House 16,"6,666","4,065","7,196","4,229","6,909","4,579","4,572","2,896"
NM,NM House 17,"7,046","3,601","7,789","4,060","7,495","4,459","5,154","2,815"
NM,NM House 18,"9,369","1,734","10,070","2,359","10,018","2,688","6,538","1,490"
NM,NM House 19,"7,649","2,264","8,421","2,696","8,220","3,026","5,639","1,842"
NM,NM House 20,"6,036","5,511","6,026","6,326","5,787","6,732","4,223","4,591"
NM,NM House 21,"3,682","2,123","4,141","2,250","3,886","2,554","2,165","1,477"
NM,NM House 22,"7,127","8,235","7,275","8,904","7,146","9,371","5,745","6,917"
NM,NM House 23,"7,037","5,839","7,300","6,448","7,003","6,904","4,862","4,521"
NM,NM House 24,"6,407","4,995","7,086","5,728","6,810","6,192","4,878","3,889"
NM,NM House 25,"7,820","3,951","8,565","4,685","8,354","5,165","5,760","3,193"
NM,NM House 26,"4,053","2,367","4,447","2,345","4,165","2,623","2,302","1,487"
NM,NM House 27,"7,153","6,952","7,176","8,479","6,896","9,029","5,004","6,021"
NM,NM House 28,"6,751","6,590","6,839","8,047","6,605","8,637","4,892","5,676"
NM,NM House 29,"6,619","6,060","5,929","5,801","5,615","6,121","3,855","3,982"
NM,NM House 30,"6,475","5,019","6,840","6,022","6,550","6,538","4,704","4,254"
NM,NM House 31,"7,736","8,500","7,042","10,648","6,809","11,172","5,242","7,497"
NM,NM House 32,"3,958","4,268","4,552","4,457","4,358","4,285","3,222","2,974"
NM,NM House 33,"5,850","3,369","6,171","4,119","6,107","3,843","3,732","2,555"
NM,NM House 34,"5,045","2,223","4,597","2,094","4,410","1,927","2,241","1,301"
NM,NM House 35,"5,714","3,610","5,873","3,916","5,821","3,555","3,687","2,569"
NM,NM House 36,"4,875","3,880","4,904","4,004","4,821","3,645","3,191","2,668"
NM,NM House 37,"7,171","5,770","6,472","6,070","6,491","5,623","4,868","4,153"
NM,NM House 38,"5,354","6,700","6,163","6,748","6,209","6,493","4,820","4,886"
NM,NM House 39,"5,033","4,304","5,454","4,442","5,379","4,220","3,768","3,211"
NM,NM House 40,"7,285","3,502","8,723","3,385","7,984","4,007","6,356","2,660"
NM,NM House 41,"7,434","2,740","8,801","2,625","7,888","3,482","6,015","1,985"
NM,NM House 42,"9,279","2,441","10,451","2,443","9,878","2,981","7,615","1,804"
NM,NM House 43,"7,543","4,660","7,418","6,119","6,611","7,236","6,010","4,597"
NM,NM House 44,"6,386","7,909","5,821","7,332","5,622","7,578","4,515","5,591"
NM,NM House 45,"8,901","2,371","8,825","2,395","8,499","2,750","6,538","1,752"
NM,NM House 46,"10,846","2,648","11,052","2,852","10,568","3,434","8,184","2,193"
NM,NM House 47,"13,745","3,086","13,249","3,719","13,046","3,992","10,012","2,718"
NM,NM House 48,"10,346","2,049","10,427","2,119","10,085","2,517","7,506","1,462"
NM,NM House 49,"4,512","5,478","5,869","5,543","5,692","5,662","4,400","4,142"
NM,NM House 50,"7,170","5,912","7,953","5,902","7,772","6,255","6,079","4,370"
NM,NM House 51,"3,030","6,152","3,594","6,527","3,453","6,354","2,289","4,236"
NM,NM House 52,"5,028","2,413","4,779","2,701","4,634","2,573","2,771","1,896"
NM,NM House 53,"2,720","2,357","2,476","2,461","2,406","2,203","1,321","1,431"
NM,NM House 54,"2,715","7,042","3,326","6,708","3,289","6,475","2,121","4,312"
NM,NM House 55,"2,849","7,946","3,442","7,837","3,456","7,663","2,444","4,653"
NM,NM House 56,"3,010","6,296","3,620","6,424","3,563","6,257","2,621","4,131"
NM,NM House 57,"4,618","5,406","4,077","4,535","3,911","4,689","2,746","3,301"
NM,NM House 58,"2,359","3,422","2,808","3,378","2,657","3,385","1,530","2,124"
