STATE,DISTRICT,Clinton 2016 President D,Trump 2016 President R,Obama 2012 President D,Romney 2012 President R,Berkley 2012 Senate D,Heller 2012 Senate R
NV,NV Assembly 1,"16,117","11,504","15,559","10,118","13,637","9,558"
NV,NV Assembly 2,"15,220","16,101","13,765","15,875","12,228","15,322"
NV,NV Assembly 3,"11,728","6,508","12,394","6,020","10,749","5,673"
NV,NV Assembly 4,"14,677","16,573","13,749","14,136","11,849","13,554"
NV,NV Assembly 5,"13,203","11,730","13,357","11,601","11,692","11,094"
NV,NV Assembly 6,"12,667","1,871","14,231","1,408","12,564","1,392"
NV,NV Assembly 7,"15,234","5,872","15,352","5,404","13,534","5,142"
NV,NV Assembly 8,"12,972","9,098","12,212","8,122","10,369","7,919"
NV,NV Assembly 9,"15,381","12,408","12,622","10,001","10,727","9,778"
NV,NV Assembly 10,"11,226","6,268","11,327","6,318","10,026","5,904"
NV,NV Assembly 11,"8,836","2,057","8,471","1,844","7,396","1,791"
NV,NV Assembly 12,"14,366","11,159","13,557","9,986","11,779","9,492"
NV,NV Assembly 13,"12,569","17,403","12,615","14,942","11,052","14,334"
NV,NV Assembly 14,"11,438","4,655","11,516","4,488","9,934","4,243"
NV,NV Assembly 15,"11,616","5,801","12,096","5,308","10,681","4,977"
NV,NV Assembly 16,"10,071","4,963","10,080","4,422","8,706","4,235"
NV,NV Assembly 17,"15,874","7,845","14,126","6,838","12,150","6,698"
NV,NV Assembly 18,"13,201","7,799","13,283","6,703","11,301","6,406"
NV,NV Assembly 19,"10,582","15,162","11,036","13,313","9,539","12,472"
NV,NV Assembly 20,"13,366","9,130","13,685","8,589","11,768","8,310"
NV,NV Assembly 21,"13,397","12,006","13,932","11,372","12,047","11,007"
NV,NV Assembly 22,"15,139","18,276","14,186","17,270","12,365","16,676"
NV,NV Assembly 23,"14,011","23,033","13,774","20,921","12,242","19,976"
NV,NV Assembly 24,"14,924","6,655","14,048","5,971","10,938","6,671"
NV,NV Assembly 25,"17,024","18,618","16,167","18,361","12,657","19,273"
NV,NV Assembly 26,"16,708","19,849","15,171","19,757","11,743","20,705"
NV,NV Assembly 27,"14,683","11,234","15,087","10,488","11,608","11,285"
NV,NV Assembly 28,"9,551","2,496","9,560","2,298","8,332","2,229"
NV,NV Assembly 29,"14,157","14,348","14,284","13,529","12,181","13,027"
NV,NV Assembly 30,"13,072","10,000","13,513","8,568","10,191","9,246"
NV,NV Assembly 31,"14,148","16,100","14,210","14,489","10,572","15,465"
NV,NV Assembly 32,"7,612","18,869","9,175","16,463","6,498","16,661"
NV,NV Assembly 33,"4,399","18,136","4,906","16,404","3,820","16,057"
NV,NV Assembly 34,"14,717","10,784","14,991","10,693","13,176","10,263"
NV,NV Assembly 35,"16,632","14,225","12,585","10,728","10,384","10,676"
NV,NV Assembly 36,"9,070","18,946","8,759","14,477","7,380","13,291"
NV,NV Assembly 37,"15,010","16,066","14,683","16,035","13,291","15,204"
NV,NV Assembly 38,"6,372","19,403","8,204","16,933","5,844","17,034"
NV,NV Assembly 39,"11,190","23,463","12,354","21,245","9,198","21,757"
NV,NV Assembly 40,"11,946","16,788","12,501","15,620","9,272","16,808"
NV,NV Assembly 41,"14,108","12,141","12,564","10,366","10,545","10,186"
NV,NV Assembly 42,"11,048","6,713","11,684","6,143","10,115","5,865"
