STATE,DISTRICT,Clinton 2016 President D,Trump 2016 President R,Obama 2012 President D,Romney 2012 President R,Gillibrand 2012 Senate D,Long 2012 Senate R
NY,NY Assembly 1,"30,429","29,931","30,704","25,465","34,676","18,302"
NY,NY Assembly 2,"25,228","37,899","27,402","31,424","33,600","22,281"
NY,NY Assembly 3,"21,764","28,492","24,760","19,554","27,988","13,532"
NY,NY Assembly 4,"28,608","28,354","27,049","22,985","31,438","16,145"
NY,NY Assembly 5,"21,414","35,571","23,477","25,461","28,693","17,388"
NY,NY Assembly 6,"25,595","8,503","24,418","6,278","23,624","4,533"
NY,NY Assembly 7,"24,689","36,204","26,534","29,069","32,339","20,356"
NY,NY Assembly 8,"24,724","41,525","23,463","35,117","30,828","24,850"
NY,NY Assembly 9,"24,194","39,345","24,841","31,767","30,808","22,712"
NY,NY Assembly 10,"31,785","27,369","27,535","25,779","32,003","18,740"
NY,NY Assembly 11,"26,718","20,505","26,991","14,357","28,732","9,858"
NY,NY Assembly 12,"28,806","34,484","27,024","29,487","32,748","20,907"
NY,NY Assembly 13,"36,344","21,956","31,277","21,848","35,470","15,064"
NY,NY Assembly 14,"29,013","39,036","28,161","32,181","34,248","22,707"
NY,NY Assembly 15,"28,166","32,726","25,297","29,347","29,940","21,914"
NY,NY Assembly 16,"35,383","25,090","29,142","26,369","33,568","18,931"
NY,NY Assembly 17,"25,136","37,183","25,383","29,383","30,580","21,250"
NY,NY Assembly 18,"40,111","4,763","40,374","3,722","38,641","2,942"
NY,NY Assembly 19,"26,990","33,389","23,587","31,203","28,085","23,458"
NY,NY Assembly 20,"28,857","30,846","23,964","25,494","28,456","17,533"
NY,NY Assembly 21,"34,051","29,520","31,242","27,458","35,461","20,110"
NY,NY Assembly 22,"38,100","19,904","34,149","17,691","35,647","13,600"
NY,NY Assembly 23,"22,552","18,768","19,202","11,624","20,387","7,667"
NY,NY Assembly 24,"30,136","8,441","26,904","7,134","27,369","4,938"
NY,NY Assembly 25,"22,067","11,100","20,959","9,569","21,468","6,446"
