STATE,DISTRICT,Clinton 2016 President D,Trump 2016 President R,Obama 2012 President D,Romney 2012 President R,Brown 2012 Senate D,Mandel 2012 Senate R
OH,OH House 1,"15,031","32,270","19,808","30,251","19,072","28,138"
OH,OH House 2,"16,085","36,590","22,687","33,867","23,758","30,696"
OH,OH House 3,"27,318","32,498","32,802","29,704","31,633","27,905"
OH,OH House 4,"13,294","30,487","17,914","29,502","17,456","28,817"
OH,OH House 5,"12,432","31,676","19,821","25,251","20,382","21,884"
OH,OH House 6,"35,150","33,552","34,651","37,361","35,629","32,869"
OH,OH House 7,"26,919","31,982","29,861","31,675","30,326","27,153"
OH,OH House 8,"46,519","9,543","51,403","11,187","49,061","9,945"
OH,OH House 9,"54,183","6,817","59,084","9,779","56,946","8,807"
OH,OH House 10,"37,938","5,095","44,640","4,788","40,026","4,614"
OH,OH House 11,"35,869","5,950","45,868","5,500","41,276","5,172"
OH,OH House 12,"46,513","9,022","52,834","9,723","50,388","8,555"
OH,OH House 13,"32,892","10,173","34,900","10,187","32,372","9,271"
OH,OH House 14,"26,489","20,766","32,218","18,166","30,705","15,699"
OH,OH House 15,"22,556","21,795","28,641","19,009","26,989","16,611"
OH,OH House 16,"33,243","29,516","33,173","33,285","33,879","28,567"
OH,OH House 17,"20,166","15,782","23,356","13,987","22,061","13,274"
OH,OH House 18,"44,780","12,631","38,021","15,078","37,188","13,964"
OH,OH House 19,"35,059","29,035","31,360","33,040","31,338","30,172"
OH,OH House 20,"31,254","23,877","32,623","23,407","31,647","21,659"
OH,OH House 21,"36,637","27,486","32,272","33,944","32,578","30,771"
OH,OH House 22,"36,981","15,278","36,442","18,025","35,724","16,734"
OH,OH House 23,"25,274","28,992","26,629","27,189","25,643","25,337"
OH,OH House 24,"36,243","28,833","32,927","34,190","33,289","30,861"
OH,OH House 25,"42,298","7,437","45,884","7,510","44,314","7,361"
OH,OH House 26,"42,505","9,979","46,859","9,627","45,478","9,160"
OH,OH House 27,"29,071","33,210","25,298","40,879","26,227","37,115"
OH,OH House 28,"32,546","29,803","31,877","34,158","32,288","30,884"
OH,OH House 29,"18,165","35,229","20,218","34,451","20,729","31,232"
OH,OH House 30,"17,443","38,953","17,952","41,229","18,766","37,333"
OH,OH House 31,"37,276","14,050","37,200","16,151","36,464","14,817"
OH,OH House 32,"39,752","10,016","42,589","11,798","41,130","11,064"
OH,OH House 33,"41,466","12,404","44,793","14,660","43,695","13,613"
OH,OH House 34,"35,773","10,604","41,304","11,322","40,573","10,178"
OH,OH House 35,"21,956","16,392","28,546","14,131","27,463","12,556"
OH,OH House 36,"25,615","30,036","30,430","28,018","30,022","24,617"
OH,OH House 37,"31,734","31,313","31,949","33,521","32,093","29,979"
OH,OH House 38,"23,736","33,796","27,373","32,336","27,396","28,558"
OH,OH House 39,"33,258","8,035","40,131","7,586","38,399","7,509"
OH,OH House 40,"21,077","32,774","24,446","32,395","24,269","30,223"
OH,OH House 41,"25,805","33,264","26,274","35,510","26,546","32,794"
OH,OH House 42,"20,465","35,601","21,655","35,439","21,817","32,887"
OH,OH House 43,"25,736","29,681","30,845","27,446","30,224","25,752"
OH,OH House 44,"35,297","7,952","44,897","7,152","43,042","7,015"
OH,OH House 45,"25,579","18,176","34,054","15,316","32,505","14,408"
OH,OH House 46,"28,396","23,196","34,796","20,987","33,529","19,509"
OH,OH House 47,"25,275","35,757","28,388","34,686","28,007","32,024"
OH,OH House 48,"23,308","33,906","27,761","32,400","27,930","28,441"
OH,OH House 49,"22,822","20,060","31,866","16,943","30,212","15,236"
OH,OH House 50,"17,458","34,306","23,243","30,911","23,002","27,586"
OH,OH House 51,"16,645","29,212","19,093","28,436","18,816","26,221"
OH,OH House 52,"22,638","40,200","20,565","42,618","21,039","39,333"
OH,OH House 53,"17,184","34,500","19,692","31,606","19,272","29,314"
OH,OH House 54,"20,450","34,870","19,235","36,777","19,448","33,946"
OH,OH House 55,"25,114","26,773","29,827","24,502","29,961","21,886"
OH,OH House 56,"29,560","20,824","36,740","17,629","35,846","16,009"
OH,OH House 57,"19,467","35,447","25,903","30,334","25,130","27,880"
OH,OH House 58,"32,132","16,455","43,296","11,569","41,657","8,733"
OH,OH House 59,"25,249","37,161","33,763","31,072","34,525","24,747"
OH,OH House 60,"22,956","27,206","29,034","23,944","27,436","21,452"
OH,OH House 61,"23,441","37,049","28,646","34,800","27,545","31,343"
OH,OH House 62,"15,455","45,837","16,712","42,303","17,145","39,169"
OH,OH House 63,"23,883","28,064","34,421","21,300","35,196","17,441"
OH,OH House 64,"20,289","23,667","29,233","19,169","28,976","16,697"
OH,OH House 65,"18,357","42,013","19,485","41,448","19,302","37,530"
OH,OH House 66,"12,711","40,078","18,080","34,676","17,145","31,163"
OH,OH House 67,"27,276","37,819","25,055","39,393","25,007","36,151"
OH,OH House 68,"21,767","38,880","22,707","38,067","22,553","35,346"
OH,OH House 69,"22,472","38,296","26,194","36,329","26,426","32,647"
OH,OH House 70,"16,365","37,392","22,233","32,812","21,886","29,789"
OH,OH House 71,"20,712","33,624","25,060","30,499","24,236","28,625"
OH,OH House 72,"14,815","38,630","23,114","31,021","22,052","29,343"
OH,OH House 73,"22,004","33,296","22,896","35,244","23,021","33,062"
OH,OH House 74,"14,908","33,788","20,569","30,928","20,063","29,010"
OH,OH House 75,"24,615","27,213","29,995","23,278","28,013","21,578"
OH,OH House 76,"22,383","36,263","25,094","36,430","25,375","32,877"
OH,OH House 77,"21,018","33,355","24,326","31,473","23,709","29,231"
OH,OH House 78,"15,261","37,423","23,575","29,829","22,375","28,329"
OH,OH House 79,"20,138","28,292","26,933","25,809","26,276","24,506"
OH,OH House 80,"14,566","44,719","18,740","41,425","18,244","39,384"
OH,OH House 81,"13,391","40,527","20,796","35,562","20,010","33,311"
OH,OH House 82,"12,287","37,147","18,488","32,699","17,147","31,411"
OH,OH House 83,"13,047","35,222","18,080","31,843","17,126","30,523"
OH,OH House 84,"9,512","48,363","13,692","45,254","13,454","42,941"
OH,OH House 85,"11,713","36,539","17,716","32,090","16,419","30,731"
OH,OH House 86,"14,869","32,552","19,981","28,458","18,289","27,247"
OH,OH House 87,"12,113","36,814","19,670","31,172","18,388","29,750"
OH,OH House 88,"16,898","29,859","25,129","25,819","23,410","24,950"
OH,OH House 89,"24,342","32,301","33,296","27,490","32,326","25,525"
OH,OH House 90,"13,510","32,938","22,069","25,378","22,095","21,905"
OH,OH House 91,"12,155","37,697","18,848","30,452","18,724","28,291"
OH,OH House 92,"14,606","31,283","20,988","25,534","20,262","23,805"
OH,OH House 93,"11,548","37,248","18,910","29,153","19,793","25,653"
OH,OH House 94,"22,670","29,195","27,879","23,492","27,264","21,567"
OH,OH House 95,"13,582","39,974","22,095","32,503","22,201","29,427"
OH,OH House 96,"16,429","36,545","26,886","28,555","28,290","24,492"
OH,OH House 97,"14,575","33,292","22,909","26,635","21,051","25,634"
OH,OH House 98,"13,061","32,253","19,654","27,740","19,148","25,198"
OH,OH House 99,"17,387","27,333","25,844","22,231","24,207","21,317"
