STATE,DISTRICT,Clinton 2016 President D,Trump 2016 President R,Obama 2012 President D,Romney 2012 President R
OK,OK Senate 1,"6,617","21,035","9,129","17,397"
OK,OK Senate 2,"7,326","26,607","8,476","24,154"
OK,OK Senate 3,"5,700","20,045","7,626","17,265"
OK,OK Senate 4,"5,534","20,815","7,739","17,956"
OK,OK Senate 5,"4,517","20,752","6,311","17,880"
OK,OK Senate 6,"5,254","20,948","7,146","18,705"
OK,OK Senate 7,"6,060","21,850","8,092","18,413"
OK,OK Senate 8,"7,784","18,458","10,089","15,448"
OK,OK Senate 9,"9,680","15,416","11,181","13,793"
OK,OK Senate 10,"6,640","22,113","8,121","20,216"
OK,OK Senate 11,"14,654","4,256","15,021","3,989"
OK,OK Senate 12,"6,663","23,941","7,924","20,814"
OK,OK Senate 13,"6,441","21,613","7,827","18,515"
OK,OK Senate 14,"6,339","22,786","8,224","19,925"
OK,OK Senate 15,"13,294","20,416","11,751","19,189"
OK,OK Senate 16,"14,214","12,947","13,123","12,689"
OK,OK Senate 17,"7,984","23,947","8,522","21,625"
OK,OK Senate 18,"7,117","22,789","8,679","19,809"
OK,OK Senate 19,"5,385","21,929","6,143","20,682"
OK,OK Senate 20,"6,897","24,878","8,127","22,676"
OK,OK Senate 21,"8,788","16,651","9,198","16,481"
OK,OK Senate 22,"10,440","28,046","8,455","26,599"
OK,OK Senate 23,"5,869","24,125","7,028","21,451"
OK,OK Senate 24,"9,242","22,273","8,195","20,413"
OK,OK Senate 25,"10,511","25,468","9,105","25,824"
OK,OK Senate 26,"4,872","21,291","6,576","19,177"
OK,OK Senate 27,"3,321","24,713","4,171","24,074"
OK,OK Senate 28,"6,103","22,560","7,910","19,683"
OK,OK Senate 29,"7,061","24,515","8,445","23,149"
OK,OK Senate 30,"11,503","14,159","10,792","15,866"
OK,OK Senate 31,"6,622","17,969","7,847","15,729"
OK,OK Senate 32,"6,971","10,630","7,723","10,401"
OK,OK Senate 33,"9,769","22,826","9,295","23,401"
OK,OK Senate 34,"8,499","21,941","8,585","19,768"
OK,OK Senate 35,"14,819","15,996","13,404","18,374"
OK,OK Senate 36,"9,076","18,172","8,461","17,597"
OK,OK Senate 37,"8,946","21,754","9,076","19,944"
OK,OK Senate 38,"5,174","20,311","6,641","19,287"
OK,OK Senate 39,"14,765","18,069","13,353","20,644"
OK,OK Senate 40,"14,352","14,517","12,928","17,277"
OK,OK Senate 41,"10,530","22,756","9,868","26,518"
OK,OK Senate 42,"11,405","17,996","11,875","17,474"
OK,OK Senate 43,"5,777","26,873","6,968","23,173"
OK,OK Senate 44,"8,482","12,738","7,843","12,197"
OK,OK Senate 45,"9,100","22,535","8,602","20,504"
OK,OK Senate 46,"9,277","5,070","8,045","5,357"
OK,OK Senate 47,"13,783","21,920","11,821","24,065"
OK,OK Senate 48,"21,216","5,719","22,084","5,757"
