STATE,DISTRICT,Clinton 2016 President D,Trump 2016 President R,Obama 2012 President D,Romney 2012 President R
OR,OR House 1,"10,844","22,581","12,605","20,327"
OR,OR House 2,"7,951","18,862","9,708","16,526"
OR,OR House 3,"10,551","20,005","11,620","17,657"
OR,OR House 4,"8,991","21,670","9,921","18,497"
OR,OR House 5,"22,318","12,762","21,318","12,522"
OR,OR House 6,"11,604","15,153","11,436","14,069"
OR,OR House 7,"10,464","19,072","12,270","16,741"
OR,OR House 8,"24,915","10,029","24,314","9,971"
OR,OR House 9,"12,739","16,644","14,418","13,862"
OR,OR House 10,"15,250","14,529","16,694","12,343"
OR,OR House 11,"17,581","14,474","17,765","13,334"
OR,OR House 12,"13,461","11,376","13,905","9,875"
OR,OR House 13,"21,347","10,063","20,373","10,519"
OR,OR House 14,"16,324","13,025","16,599","11,623"
OR,OR House 15,"12,739","16,570","13,108","15,215"
OR,OR House 16,"22,628","6,832","21,248","8,422"
OR,OR House 17,"8,564","19,925","10,240","17,142"
OR,OR House 18,"10,236","18,044","10,734","16,509"
OR,OR House 19,"12,969","15,331","12,582","14,849"
OR,OR House 20,"16,285","13,765","15,161","13,827"
OR,OR House 21,"12,380","8,976","12,023","8,191"
OR,OR House 22,"9,164","7,106","8,016","6,349"
OR,OR House 23,"12,899","19,490","14,276","17,867"
OR,OR House 24,"14,111","14,708","13,694","14,237"
OR,OR House 25,"12,407","15,365","12,205","15,255"
OR,OR House 26,"18,166","14,178","15,197","15,015"
OR,OR House 27,"22,436","8,555","19,933","10,991"
OR,OR House 28,"17,443","9,202","16,091","10,027"
OR,OR House 29,"12,966","9,636","12,006","9,266"
OR,OR House 30,"17,558","10,062","15,332","10,782"
OR,OR House 31,"15,111","16,340","16,427","14,056"
OR,OR House 32,"15,228","15,378","16,316","13,636"
OR,OR House 33,"27,531","7,951","23,111","11,162"
OR,OR House 34,"20,922","7,633","18,091","9,420"
OR,OR House 35,"22,222","9,885","19,686","11,977"
OR,OR House 36,"32,272","4,308","29,388","6,439"
OR,OR House 37,"20,709","12,780","18,091","15,565"
OR,OR House 38,"29,411","9,005","26,225","12,801"
OR,OR House 39,"13,887","19,453","14,249","18,343"
OR,OR House 40,"16,257","14,139","16,011","13,354"
OR,OR House 41,"25,925","8,240","24,156","8,957"
OR,OR House 42,"36,887","2,575","34,212","3,082"
OR,OR House 43,"36,925","2,240","35,036","2,712"
OR,OR House 44,"26,689","3,729","24,767","4,059"
OR,OR House 45,"29,404","4,956","27,646","6,005"
OR,OR House 46,"27,313","4,468","24,809","5,221"
OR,OR House 47,"15,095","6,922","14,758","6,981"
OR,OR House 48,"15,388","8,524","14,164","8,362"
OR,OR House 49,"12,349","9,697","13,037","9,194"
OR,OR House 50,"12,740","10,217","12,835","10,008"
OR,OR House 51,"14,861","12,231","13,618","11,489"
OR,OR House 52,"15,140","14,884","15,493","13,821"
OR,OR House 53,"14,948","20,226","13,238","18,340"
OR,OR House 54,"21,142","13,656","17,682","13,965"
OR,OR House 55,"8,496","24,315","9,897","19,988"
OR,OR House 56,"6,629","19,335","7,488","18,324"
OR,OR House 57,"5,742","13,772","6,469","12,602"
OR,OR House 58,"8,099","19,463","9,610","17,881"
OR,OR House 59,"11,984","18,249","12,300","16,250"
OR,OR House 60,"5,510","19,842","6,887","18,372"
