STATE,DISTRICT,Clinton 2016 President D,Trump 2016 President R,Obama 2012 President D,Romney 2012 President R
OR,OR Senate 1,"18,795","41,443","22,314","36,853"
OR,OR Senate 2,"19,542","41,675","21,541","36,154"
OR,OR Senate 3,"33,922","27,915","32,753","26,591"
OR,OR Senate 4,"35,379","29,101","36,584","26,712"
OR,OR Senate 5,"27,989","31,173","31,112","26,205"
OR,OR Senate 6,"31,042","25,850","31,670","23,209"
OR,OR Senate 7,"37,671","23,088","36,972","22,142"
OR,OR Senate 8,"35,367","23,402","34,356","23,637"
OR,OR Senate 9,"18,800","37,969","20,974","33,651"
OR,OR Senate 10,"29,254","29,096","27,743","28,676"
OR,OR Senate 11,"21,544","16,082","20,039","14,540"
OR,OR Senate 12,"27,010","34,198","27,970","32,104"
OR,OR Senate 13,"30,573","29,543","27,402","30,270"
OR,OR Senate 14,"39,879","17,757","36,024","21,018"
OR,OR Senate 15,"30,524","19,698","27,338","20,048"
OR,OR Senate 16,"30,339","31,718","32,743","27,692"
OR,OR Senate 17,"48,453","15,584","41,202","20,582"
OR,OR Senate 18,"54,494","14,193","49,074","18,416"
OR,OR Senate 19,"50,120","21,785","44,316","28,366"
OR,OR Senate 20,"30,144","33,592","30,260","31,697"
OR,OR Senate 21,"62,812","10,815","58,368","12,039"
OR,OR Senate 22,"63,614","5,969","59,803","6,771"
OR,OR Senate 23,"56,717","9,424","52,455","11,226"
OR,OR Senate 24,"30,483","15,446","28,922","15,343"
OR,OR Senate 25,"25,089","19,914","25,872","19,202"
OR,OR Senate 26,"30,001","27,115","29,111","25,310"
OR,OR Senate 27,"36,090","33,882","30,920","32,305"
OR,OR Senate 28,"15,125","43,650","17,384","38,311"
OR,OR Senate 29,"13,841","33,235","16,079","30,483"
OR,OR Senate 30,"17,494","38,091","19,187","34,622"
