STATE,DISTRICT,Clinton 2016 President D,Trump 2016 President R,Obama 2012 President D,Romney 2012 President R,Casey 2012 Senate D,Smith 2012 Senate R
PA,PA House 1,"13,125","6,903","15,827","5,227","15,187","5,245"
PA,PA House 2,"14,008","10,527","15,925","8,587","15,345","8,494"
PA,PA House 3,"15,022","16,342","16,471","14,549","15,875","14,306"
PA,PA House 4,"9,731","16,876","12,290","12,949","11,806","12,953"
PA,PA House 5,"9,206","19,229","10,719","16,193","11,519","14,951"
PA,PA House 6,"10,157","18,439","11,683","16,016","11,191","16,041"
PA,PA House 7,"12,836","14,796","16,434","11,465","16,644","10,542"
PA,PA House 8,"6,905","20,260","8,557","17,868","8,710","17,356"
PA,PA House 9,"9,852","16,208","12,385","13,292","13,092","12,136"
PA,PA House 10,"9,718","16,190","11,445","13,589","12,140","12,512"
PA,PA House 11,"8,156","19,138","9,387","17,306","10,075","16,221"
PA,PA House 12,"11,603","23,443","9,744","22,987","10,555","21,610"
PA,PA House 13,"12,710","15,776","11,863","15,027","12,003","14,476"
PA,PA House 14,"10,172","20,215","11,394","18,185","12,474","16,682"
PA,PA House 15,"9,588","20,250","10,846","17,927","12,050","16,216"
PA,PA House 16,"13,975","15,348","15,894","13,187","16,803","11,759"
PA,PA House 17,"8,011","18,092","10,874","14,465","10,420","14,420"
PA,PA House 18,"14,803","12,357","14,901","10,533","14,774","9,850"
PA,PA House 19,"22,052","3,611","22,606","3,371","21,622","3,162"
PA,PA House 20,"19,052","10,967","18,027","11,068","18,457","9,847"
PA,PA House 21,"19,400","12,030","17,860","12,493","18,556","11,084"
PA,PA House 22,"13,546","4,579","13,065","3,870","12,767","3,630"
PA,PA House 23,"26,598","5,434","23,085","7,537","22,882","6,565"
PA,PA House 24,"29,655","2,292","30,465","2,789","29,434","2,710"
PA,PA House 25,"15,593","14,595","15,501","14,088","16,251","12,639"
PA,PA House 26,"13,707","16,539","13,227","15,518","13,078","15,099"
PA,PA House 27,"18,027","10,479","18,126","9,922","18,422","8,829"
PA,PA House 28,"16,193","19,603","12,858","21,945","13,715","20,524"
PA,PA House 29,"16,762","18,368","15,824","18,306","16,125","17,246"
PA,PA House 30,"17,005","19,733","15,068","21,448","16,091","19,723"
PA,PA House 31,"21,443","15,992","18,686","17,686","19,226","16,361"
PA,PA House 32,"20,335","13,002","20,141","13,079","20,589","11,863"
PA,PA House 33,"12,959","14,454","13,326","13,520","14,190","12,107"
PA,PA House 34,"22,076","9,042","21,841","9,601","21,928","8,602"
PA,PA House 35,"15,521","10,565","17,109","9,417","17,261","8,215"
PA,PA House 36,"16,586","11,554","16,810","10,342","17,479","9,001"
PA,PA House 37,"7,969","20,998","7,900","19,011","8,168","18,433"
PA,PA House 38,"15,377","16,804","15,929","15,293","17,155","13,383"
PA,PA House 39,"11,973","19,811","12,714","18,332","13,779","16,502"
PA,PA House 40,"15,634","21,128","13,514","22,876","14,508","21,316"
PA,PA House 41,"14,692","18,765","13,987","18,474","14,134","17,802"
PA,PA House 42,"20,519","12,143","18,334","14,407","18,813","13,297"
PA,PA House 43,"10,729","17,323","10,044","17,094","10,129","16,666"
PA,PA House 44,"14,662","18,101","12,937","17,922","13,813","16,460"
PA,PA House 45,"16,576","15,527","16,130","14,952","17,103","13,186"
PA,PA House 46,"13,433","19,199","13,417","16,535","14,488","14,808"
PA,PA House 47,"10,568","18,482","11,164","16,353","11,423","15,544"
PA,PA House 48,"12,146","16,529","12,685","14,845","13,587","13,367"
PA,PA House 49,"9,767","15,204","12,154","11,828","13,223","10,300"
PA,PA House 50,"8,258","15,651","10,556","11,962","11,868","10,262"
PA,PA House 51,"7,783","16,831","9,336","13,147","10,423","11,671"
PA,PA House 52,"7,914","17,683","9,637","13,665","10,542","12,439"
PA,PA House 53,"15,033","14,429","13,989","14,260","14,028","13,778"
PA,PA House 54,"11,540","20,428","11,303","19,687","12,220","18,239"
PA,PA House 55,"8,736","18,135","10,092","14,881","10,961","13,605"
PA,PA House 56,"10,628","22,207","10,790","20,548","12,064","18,686"
PA,PA House 57,"10,680","19,940","10,730","18,395","11,635","16,980"
PA,PA House 58,"10,012","18,603","11,849","15,123","12,953","13,561"
PA,PA House 59,"8,606","22,968","9,691","20,276","10,782","18,697"
PA,PA House 60,"7,142","21,611","8,583","18,875","9,211","18,037"
PA,PA House 61,"20,820","14,596","18,151","16,797","18,579","15,741"
PA,PA House 62,"9,510","17,019","11,609","14,870","11,965","14,185"
PA,PA House 63,"5,765","19,307","7,094","16,471","7,172","16,008"
PA,PA House 64,"6,725","18,028","8,549","15,455","8,441","15,195"
PA,PA House 65,"7,151","18,017","9,793","14,560","9,038","14,795"
PA,PA House 66,"4,967","21,070","6,727","17,787","6,853","17,457"
PA,PA House 67,"5,735","19,047","7,734","15,774","7,868","15,223"
PA,PA House 68,"5,496","19,543","7,546","16,167","7,393","15,958"
PA,PA House 69,"5,687","23,636","7,393","20,673","8,485","19,250"
PA,PA House 70,"17,871","9,542","17,053","9,723","16,621","9,175"
PA,PA House 71,"9,763","17,574","12,033","15,556","14,318","13,019"
PA,PA House 72,"7,551","20,055","9,886","16,323","11,791","14,227"
PA,PA House 73,"6,548","19,067","9,288","14,693","9,844","13,961"
PA,PA House 74,"17,413","10,255","16,859","9,698","16,825","9,312"
PA,PA House 75,"7,201","20,795","9,809","16,736","9,939","16,204"
PA,PA House 76,"7,362","16,969","8,729","12,811","9,043","12,217"
PA,PA House 77,"17,416","9,617","15,459","9,653","14,906","9,100"
PA,PA House 78,"4,769","24,309","6,123","20,750","7,046","19,457"
PA,PA House 79,"7,717","16,477","9,163","13,847","9,643","13,026"
PA,PA House 80,"6,241","22,658","7,113","19,472","7,781","18,640"
PA,PA House 81,"9,015","19,681","9,640","17,270","10,115","16,348"
PA,PA House 82,"5,154","20,233","6,271","16,895","7,236","15,714"
PA,PA House 83,"8,184","15,677","9,063","13,936","9,559","13,079"
PA,PA House 84,"5,329","21,790","6,746","18,230","7,264","17,396"
PA,PA House 85,"8,417","17,247","8,804","15,638","8,716","15,239"
PA,PA House 86,"7,314","20,005","8,626","16,953","9,165","16,044"
PA,PA House 87,"15,508","19,992","13,806","19,228","14,570","18,005"
PA,PA House 88,"13,187","17,057","12,193","16,895","12,746","15,991"
PA,PA House 89,"8,885","19,692","9,394","17,728","9,738","17,035"
PA,PA House 90,"6,853","22,035","7,461","18,753","7,703","18,134"
PA,PA House 91,"9,830","19,494","10,304","16,674","10,631","15,904"
PA,PA House 92,"9,128","21,989","9,608","20,101","10,133","19,105"
PA,PA House 93,"10,296","21,443","10,534","19,498","10,816","18,621"
PA,PA House 94,"8,365","19,389","9,565","16,762","9,833","15,981"
PA,PA House 95,"13,935","7,696","13,873","7,072","13,653","6,705"
PA,PA House 96,"17,671","5,196","16,923","5,258","16,157","5,350"
PA,PA House 97,"15,581","19,429","13,649","19,888","13,860","19,169"
