STATE,DISTRICT,Clinton 2016 President D,Trump 2016 President R,Obama 2012 President D,Romney 2012 President R,Whitehouse 2012 Senate D,Hinckley 2012 Senate R
RI,RI House 1,"3,989",482,"3,415",857,"3,191",813
RI,RI House 2,"3,805",533,"3,518",640,"3,226",627
RI,RI House 3,"3,045",504,"2,983",340,"2,727",327
RI,RI House 4,"5,954",849,"5,717","1,101","5,314","1,046"
RI,RI House 5,"3,004","1,084","3,048",919,"2,835",838
RI,RI House 6,"3,414","1,634","3,714","1,449","3,474","1,370"
RI,RI House 7,"3,476",943,"3,481",867,"3,232",834
RI,RI House 8,"3,031",520,"2,980",407,"2,749",413
RI,RI House 9,"3,297",261,"3,064",231,"2,827",213
RI,RI House 10,"3,229",434,"3,217",305,"2,926",295
RI,RI House 11,"3,940",351,"3,844",210,"3,462",235
RI,RI House 12,"3,378",242,"3,269",119,"2,978",125
RI,RI House 13,"2,701","1,104","2,803",795,"2,668",690
RI,RI House 14,"2,756","1,565","3,055","1,102","2,932",979
RI,RI House 15,"3,012","4,135","3,622","3,401","3,600","2,982"
RI,RI House 16,"3,536","3,375","4,091","2,802","3,965","2,538"
RI,RI House 17,"3,521","2,895","4,065","2,276","3,916","2,063"
RI,RI House 18,"4,252","1,550","4,463","1,421","4,167","1,470"
RI,RI House 19,"4,188","2,886","4,764","2,521","4,548","2,454"
RI,RI House 20,"2,769","2,377","3,377","1,948","3,292","1,877"
RI,RI House 21,"3,039","3,025","3,974","2,211","3,861","2,135"
RI,RI House 22,"2,925","3,107","3,687","2,337","3,582","2,244"
RI,RI House 23,"3,154","3,203","4,181","2,423","4,035","2,374"
RI,RI House 24,"3,806","3,285","4,067","3,284","3,976","3,085"
RI,RI House 25,"2,107","2,266","2,702","1,656","2,662","1,603"
RI,RI House 26,"2,652","2,981","3,346","2,257","3,320","2,112"
RI,RI House 27,"3,067","3,214","3,906","2,420","3,750","2,334"
RI,RI House 28,"2,904","3,816","3,864","2,902","3,801","2,738"
RI,RI House 29,"3,010","4,072","3,765","3,175","3,735","2,989"
RI,RI House 30,"4,251","3,551","3,797","3,986","3,629","3,836"
RI,RI House 31,"3,885","3,512","4,060","3,399","4,036","3,233"
RI,RI House 32,"4,406","3,103","4,353","3,425","4,224","3,380"
RI,RI House 33,"4,483","2,995","4,515","2,953","4,340","2,843"
RI,RI House 34,"4,115","2,451","4,229","2,369","4,032","2,312"
RI,RI House 35,"3,104","1,708","3,004","1,813","2,818","1,826"
RI,RI House 36,"4,384","3,274","4,733","3,025","4,607","2,920"
RI,RI House 37,"3,660","3,242","4,022","3,008","4,012","2,606"
RI,RI House 38,"2,775","3,203","3,456","2,390","3,445","2,169"
RI,RI House 39,"3,002","3,748","3,541","2,989","3,514","2,922"
RI,RI House 40,"2,849","4,219","3,697","3,480","3,677","3,355"
RI,RI House 41,"2,894","4,924","3,537","4,223","3,606","3,926"
RI,RI House 42,"2,760","3,555","3,672","2,488","3,629","2,226"
RI,RI House 43,"2,768","3,641","3,753","2,618","3,783","2,268"
RI,RI House 44,"3,270","4,449","3,921","3,829","3,964","3,483"
RI,RI House 45,"3,383","3,012","3,851","2,767","3,883","2,457"
RI,RI House 46,"3,745","3,433","4,262","3,082","4,229","2,755"
RI,RI House 47,"2,301","3,658","3,304","2,632","3,420","2,368"
RI,RI House 48,"2,977","3,961","3,605","3,431","3,809","2,991"
RI,RI House 49,"2,144","1,300","2,482",931,"2,409",845
RI,RI House 50,"2,117","2,110","2,816","1,599","2,790","1,394"
RI,RI House 51,"2,255","2,219","2,882","1,734","2,892","1,531"
RI,RI House 52,"3,938","3,659","4,065","3,783","4,153","3,366"
RI,RI House 53,"2,801","3,288","3,321","3,065","3,393","2,821"
RI,RI House 54,"3,285","2,911","4,135","2,258","4,004","2,046"
RI,RI House 55,"3,499","3,231","4,337","2,478","4,280","2,165"
RI,RI House 56,"2,452",386,"2,362",300,"2,108",292
RI,RI House 57,"3,171","1,790","3,489","1,410","3,334","1,243"
RI,RI House 58,"2,917",824,"3,366",700,"3,209",686
RI,RI House 59,"3,676",727,"3,751",712,"3,601",686
RI,RI House 60,"2,780","1,078","3,012",829,"2,967",765
RI,RI House 61,"2,944","1,833","3,858","1,554","3,808","1,484"
RI,RI House 62,"3,066","1,666","3,909","1,363","3,800","1,265"
RI,RI House 63,"4,054","2,254","4,582","1,981","4,353","1,845"
RI,RI House 64,"3,011","1,436","3,735",975,"3,521",880
RI,RI House 65,"3,620","2,428","4,235","1,953","4,105","1,826"
RI,RI House 66,"4,781","2,706","4,774","3,011","4,703","2,753"
RI,RI House 67,"4,156","2,455","4,146","2,673","4,088","2,499"
RI,RI House 68,"4,079","2,768","4,302","2,625","4,146","2,365"
RI,RI House 69,"3,082","2,215","3,524","1,941","3,380","1,714"
RI,RI House 70,"3,562","3,078","4,075","2,475","3,968","2,347"
RI,RI House 71,"3,875","3,241","4,106","3,165","3,978","3,058"
RI,RI House 72,"4,142","3,093","4,021","3,486","4,013","3,147"
RI,RI House 73,"3,453","1,366","3,469","1,420","3,312","1,312"
RI,RI House 74,"4,018","2,420","4,087","2,527","3,964","2,374"
RI,RI House 75,"3,674","1,727","3,543","1,971","3,373","1,836"
