STATE,DISTRICT,Clinton 2016 President D,Trump 2016 President R,Obama 2012 President D,Romney 2012 President R,Whitehouse 2012 Senate D,Hinckley 2012 Senate R
RI,RI Senate 1,"6,388","1,532","6,270","1,276","5,799","1,186"
RI,RI Senate 2,"6,798",739,"6,541",479,"5,913",489
RI,RI Senate 3,"10,246","1,389","9,421","2,150","8,765","2,030"
RI,RI Senate 4,"6,548","4,698","7,649","3,792","7,393","3,408"
RI,RI Senate 5,"6,770","1,270","6,599","1,055","6,090","1,047"
RI,RI Senate 6,"7,450",597,"7,232",406,"6,610",439
RI,RI Senate 7,"5,803","2,070","5,953","1,723","5,590","1,554"
RI,RI Senate 8,"5,537","2,818","6,675","2,360","6,566","2,231"
RI,RI Senate 9,"5,228","5,364","6,567","4,046","6,403","3,872"
RI,RI Senate 10,"6,780","5,585","7,867","4,538","7,654","4,149"
RI,RI Senate 11,"7,135","5,357","7,286","5,513","7,162","5,085"
RI,RI Senate 12,"7,590","5,254","7,804","5,207","7,575","4,887"
RI,RI Senate 13,"7,761","3,507","7,691","3,933","7,317","3,725"
RI,RI Senate 14,"6,412","3,483","7,777","2,581","7,413","2,350"
RI,RI Senate 15,"6,457","1,925","7,223","1,695","6,895","1,639"
RI,RI Senate 16,"5,018",898,"5,087",670,"4,648",622
RI,RI Senate 17,"6,627","7,307","7,616","6,491","7,769","5,710"
RI,RI Senate 18,"6,813","4,329","8,074","3,664","7,873","3,400"
RI,RI Senate 19,"7,031","5,791","7,545","5,545","7,536","4,956"
RI,RI Senate 20,"5,055","4,698","6,022","3,950","6,064","3,478"
RI,RI Senate 21,"5,552","8,375","7,163","6,881","7,133","6,576"
RI,RI Senate 22,"5,921","6,638","7,277","5,735","7,247","5,242"
RI,RI Senate 23,"5,107","7,663","6,862","6,022","7,056","5,528"
RI,RI Senate 24,"4,473","3,902","5,563","3,050","5,518","2,683"
RI,RI Senate 25,"5,566","7,433","7,375","5,326","7,408","4,711"
RI,RI Senate 26,"5,546","6,270","6,429","4,983","6,345","4,376"
RI,RI Senate 27,"6,392","6,657","7,556","5,452","7,400","4,857"
RI,RI Senate 28,"7,435","3,398","8,060","2,880","7,560","2,859"
RI,RI Senate 29,"6,642","6,075","8,335","4,758","8,062","4,589"
RI,RI Senate 30,"6,293","6,285","7,934","4,936","7,666","4,811"
RI,RI Senate 31,"7,146","5,982","8,194","5,335","7,943","5,100"
RI,RI Senate 32,"9,490","5,204","9,221","5,961","8,992","5,461"
RI,RI Senate 33,"5,687","7,404","7,218","5,642","7,147","5,304"
RI,RI Senate 34,"6,409","7,533","7,630","5,886","7,474","5,749"
RI,RI Senate 35,"7,947","6,572","7,477","7,148","7,191","6,880"
RI,RI Senate 36,"8,199","6,110","8,410","6,216","8,249","5,994"
RI,RI Senate 37,"8,234","4,100","8,199","4,262","7,795","4,235"
RI,RI Senate 38,"7,039","6,331","7,873","5,653","7,838","5,018"
