STATE,DISTRICT,Clinton 2016 President D,Trump 2016 President R,Obama 2012 President D,Romney 2012 President R
SC,SC House 1,"2,876","12,001","3,278","10,582"
SC,SC House 2,"5,122","12,177","5,272","11,029"
SC,SC House 3,"4,095","7,178","4,009","6,978"
SC,SC House 4,"2,202","14,302","2,862","12,825"
SC,SC House 5,"3,668","13,155","3,889","12,140"
SC,SC House 6,"4,712","11,385","4,736","10,302"
SC,SC House 7,"3,422","10,431","4,129","8,446"
SC,SC House 8,"4,637","10,994","5,093","9,771"
SC,SC House 9,"4,687","9,184","4,792","8,494"
SC,SC House 10,"3,765","14,181","3,457","11,963"
SC,SC House 11,"4,760","9,521","5,855","8,183"
SC,SC House 12,"7,117","5,749","8,175","5,464"
SC,SC House 13,"5,420","11,745","5,713","11,451"
SC,SC House 14,"4,977","11,263","5,824","9,778"
SC,SC House 15,"5,302","5,824","5,156","5,223"
SC,SC House 16,"6,126","10,038","6,321","8,615"
SC,SC House 17,"3,577","14,442","3,432","12,417"
SC,SC House 18,"4,557","13,795","4,257","12,273"
SC,SC House 19,"4,801","8,235","4,313","7,738"
SC,SC House 20,"5,453","12,463","4,888","12,777"
SC,SC House 21,"6,358","13,743","4,909","13,998"
SC,SC House 22,"6,682","10,520","5,817","11,492"
SC,SC House 23,"7,000","3,701","7,192","3,678"
SC,SC House 24,"7,913","10,792","6,559","11,387"
SC,SC House 25,"8,339","3,971","9,246","3,623"
SC,SC House 26,"8,816","13,780","6,948","12,361"
SC,SC House 27,"7,066","11,569","6,702","11,440"
SC,SC House 28,"6,555","12,622","5,656","10,688"
SC,SC House 29,"4,102","10,881","4,968","9,554"
SC,SC House 30,"3,964","10,199","4,702","8,735"
SC,SC House 31,"7,647","2,583","8,675","2,184"
SC,SC House 32,"5,220","9,924","5,152","9,142"
SC,SC House 33,"4,341","12,214","4,975","11,357"
SC,SC House 34,"6,747","8,979","6,547","8,627"
SC,SC House 35,"6,054","15,218","4,800","12,465"
SC,SC House 36,"5,215","10,628","5,577","8,827"
SC,SC House 37,"4,306","9,559","4,121","8,166"
SC,SC House 38,"3,292","13,532","3,719","11,644"
SC,SC House 39,"4,610","11,733","5,295","10,631"
