STATE,DISTRICT,Clinton 2016 President D,Trump 2016 President R,Obama 2012 President D,Romney 2012 President R
SC,SC Senate 1,"10,745","27,180","10,962","24,572"
SC,SC Senate 2,"7,607","33,234","8,744","30,513"
SC,SC Senate 3,"11,663","34,996","11,653","31,337"
SC,SC Senate 4,"11,187","26,232","12,505","22,300"
SC,SC Senate 5,"10,395","36,797","10,216","32,074"
SC,SC Senate 6,"14,037","27,625","12,524","27,584"
SC,SC Senate 7,"20,988","12,638","21,746","12,140"
SC,SC Senate 8,"18,953","32,499","16,167","32,621"
SC,SC Senate 9,"13,274","27,261","14,223","23,433"
SC,SC Senate 10,"15,419","21,750","17,751","20,209"
SC,SC Senate 11,"14,951","20,883","15,824","17,885"
SC,SC Senate 12,"17,337","33,350","15,553","30,673"
SC,SC Senate 13,"15,232","29,834","16,108","27,884"
SC,SC Senate 14,"11,576","32,353","12,974","27,148"
SC,SC Senate 15,"19,207","30,439","17,520","27,635"
SC,SC Senate 16,"22,037","36,187","19,506","30,759"
SC,SC Senate 17,"22,337","20,663","25,397","18,726"
SC,SC Senate 18,"15,128","34,545","15,381","33,479"
SC,SC Senate 19,"33,487","7,221","32,989","6,941"
SC,SC Senate 20,"22,757","23,682","20,374","24,765"
SC,SC Senate 21,"26,743","7,755","29,286","8,383"
SC,SC Senate 22,"27,318","17,460","24,323","18,008"
SC,SC Senate 23,"10,732","29,146","10,693","26,176"
SC,SC Senate 24,"14,882","30,491","14,419","30,155"
SC,SC Senate 25,"13,642","30,511","13,980","27,646"
SC,SC Senate 26,"16,903","21,008","17,579","20,145"
SC,SC Senate 27,"14,627","22,587","16,908","21,072"
SC,SC Senate 28,"14,533","31,953","15,347","26,358"
SC,SC Senate 29,"20,432","17,565","22,694","16,719"
SC,SC Senate 30,"22,813","14,487","26,406","13,581"
SC,SC Senate 31,"15,299","25,903","15,567","25,407"
SC,SC Senate 32,"25,959","16,518","28,894","15,621"
SC,SC Senate 33,"14,642","30,821","13,929","24,877"
SC,SC Senate 34,"18,923","38,923","18,081","33,482"
SC,SC Senate 35,"19,387","22,017","20,493","20,994"
SC,SC Senate 36,"23,363","17,567","27,109","17,458"
SC,SC Senate 37,"19,050","30,464","16,324","28,466"
SC,SC Senate 38,"17,490","26,921","16,461","24,944"
SC,SC Senate 39,"24,590","17,373","28,904","16,088"
SC,SC Senate 40,"24,517","17,837","27,647","17,673"
SC,SC Senate 41,"25,408","28,022","21,443","28,111"
SC,SC Senate 42,"28,402","7,717","28,938","7,526"
SC,SC Senate 43,"24,833","29,591","21,912","31,589"
SC,SC Senate 44,"16,662","24,547","15,194","21,135"
SC,SC Senate 45,"24,070","16,191","26,343","14,995"
SC,SC Senate 46,"21,834","32,643","18,949","32,358"
