STATE,DISTRICT,Clinton 2016 President D,Trump 2016 President R,Obama 2012 President D,Romney 2012 President R
SD,SD House 1,"3,818","5,869","5,600","5,046"
SD,SD House 2,"3,111","7,153","4,605","6,131"
SD,SD House 3,"3,582","6,230","4,725","5,572"
SD,SD House 4,"3,276","7,852","4,589","6,356"
SD,SD House 5,"2,797","6,583","3,964","5,779"
SD,SD House 6,"3,646","7,275","3,883","6,024"
SD,SD House 7,"3,521","3,825","4,296","3,990"
SD,SD House 8,"3,879","7,294","5,021","6,278"
SD,SD House 9,"3,707","6,042","4,428","5,211"
SD,SD House 10,"3,784","6,341","4,381","5,692"
SD,SD House 11,"4,507","6,948","4,842","6,475"
SD,SD House 12,"4,674","6,119","4,893","6,173"
SD,SD House 13,"5,152","6,067","4,945","6,517"
SD,SD House 14,"5,207","6,236","5,506","6,435"
SD,SD House 15,"3,109","2,482","3,734","2,224"
SD,SD House 16,"3,328","7,838","4,244","6,990"
SD,SD House 17,"3,569","5,046","4,366","4,862"
SD,SD House 18,"3,301","5,659","4,226","5,495"
SD,SD House 19,"2,422","8,393","3,717","8,141"
SD,SD House 20,"2,959","6,779","4,050","6,099"
SD,SD House 21,"2,023","6,909","3,189","6,398"
SD,SD House 22,"2,615","6,135","3,973","5,681"
SD,SD House 23,"1,967","8,477","3,077","7,772"
SD,SD House 24,"3,041","7,544","3,596","7,426"
SD,SD House 25,"3,807","7,494","4,582","6,910"
SD,SD House 26A,"1,743",889,"2,351",879
SD,SD House 26B,"1,305","3,163","2,009","3,088"
SD,SD House 27,"3,354","2,858","4,092","2,683"
SD,SD House 28A,"1,776","1,679","2,294","1,492"
SD,SD House 28B,786,"4,596","1,172","4,223"
SD,SD House 29,"1,965","7,804","2,634","6,942"
SD,SD House 30,"2,957","9,576","3,673","8,879"
SD,SD House 31,"3,356","7,411","3,973","7,025"
SD,SD House 32,"3,592","6,038","3,917","6,129"
SD,SD House 33,"3,686","8,452","3,630","7,165"
SD,SD House 34,"3,806","6,960","3,991","7,409"
SD,SD House 35,"2,337","5,715","2,871","5,019"
