STATE,DISTRICT,Clinton 2016 President D,Trump 2016 President R,Obama 2012 President D,Romney 2012 President R
SD,SD Senate 1,"3,818","5,869","5,600","5,046"
SD,SD Senate 2,"3,111","7,153","4,605","6,131"
SD,SD Senate 3,"3,582","6,230","4,725","5,572"
SD,SD Senate 4,"3,276","7,852","4,589","6,356"
SD,SD Senate 5,"2,797","6,583","3,964","5,779"
SD,SD Senate 6,"3,646","7,275","3,883","6,024"
SD,SD Senate 7,"3,521","3,825","4,296","3,990"
SD,SD Senate 8,"3,879","7,294","5,021","6,278"
SD,SD Senate 9,"3,707","6,042","4,428","5,211"
SD,SD Senate 10,"3,784","6,341","4,381","5,692"
SD,SD Senate 11,"4,507","6,948","4,842","6,475"
SD,SD Senate 12,"4,674","6,119","4,893","6,173"
SD,SD Senate 13,"5,152","6,067","4,945","6,517"
SD,SD Senate 14,"5,207","6,236","5,506","6,435"
SD,SD Senate 15,"3,109","2,482","3,734","2,224"
SD,SD Senate 16,"3,328","7,838","4,244","6,990"
SD,SD Senate 17,"3,569","5,046","4,366","4,862"
SD,SD Senate 18,"3,301","5,659","4,226","5,495"
SD,SD Senate 19,"2,422","8,393","3,717","8,141"
SD,SD Senate 20,"2,959","6,779","4,050","6,099"
SD,SD Senate 21,"2,023","6,909","3,189","6,398"
SD,SD Senate 22,"2,615","6,135","3,973","5,681"
SD,SD Senate 23,"1,967","8,477","3,077","7,772"
SD,SD Senate 24,"3,041","7,544","3,596","7,426"
SD,SD Senate 25,"3,807","7,494","4,582","6,910"
SD,SD Senate 26,"3,048","4,052","4,360","3,967"
SD,SD Senate 27,"3,354","2,858","4,092","2,683"
SD,SD Senate 28,"2,562","6,275","3,466","5,715"
SD,SD Senate 29,"1,965","7,804","2,634","6,942"
SD,SD Senate 30,"2,957","9,576","3,673","8,879"
SD,SD Senate 31,"3,356","7,411","3,973","7,025"
SD,SD Senate 32,"3,592","6,038","3,917","6,129"
SD,SD Senate 33,"3,686","8,452","3,630","7,165"
SD,SD Senate 34,"3,806","6,960","3,991","7,409"
SD,SD Senate 35,"2,337","5,715","2,871","5,019"
