STATE,DISTRICT,Clinton 2016 President D,Trump 2016 President R,Obama 2012 President D,Romney 2012 President R,Sadler 2012 Senate D,Cruz 2012 Senate R
TX,TX House 1,"14,235","46,996","16,610","44,690","19,145","39,759"
TX,TX House 2,"11,705","53,090","12,532","46,641","13,782","43,359"
TX,TX House 3,"14,664","52,023","12,857","44,265","12,797","43,592"
TX,TX House 4,"14,858","48,895","14,458","42,682","15,000","40,865"
TX,TX House 5,"12,848","49,425","14,153","44,894","15,808","41,824"
TX,TX House 6,"17,992","42,331","17,054","42,264","17,391","40,757"
TX,TX House 7,"14,057","41,973","15,369","40,757","16,844","38,383"
TX,TX House 8,"11,389","41,329","12,765","37,887","13,363","35,623"
TX,TX House 9,"14,914","51,080","18,215","47,564","21,399","42,250"
TX,TX House 10,"17,342","49,283","15,001","42,969","15,250","41,054"
TX,TX House 11,"14,250","42,365","14,791","39,943","17,184","36,297"
TX,TX House 12,"17,505","34,612","18,788","32,654","18,798","31,317"
TX,TX House 13,"14,688","55,378","15,449","51,862","16,364","49,193"
TX,TX House 14,"19,622","27,337","14,572","26,363","13,582","26,202"
TX,TX House 15,"24,253","56,038","16,348","57,601","15,842","56,578"
TX,TX House 16,"12,666","52,784","10,229","45,347","10,359","44,326"
TX,TX House 17,"19,452","35,568","19,391","31,604","20,242","28,582"
TX,TX House 18,"12,991","39,835","13,864","36,570","14,184","34,684"
TX,TX House 19,"11,961","56,303","14,986","51,796","15,983","48,231"
TX,TX House 20,"20,802","56,636","17,913","49,270","18,705","46,221"
TX,TX House 21,"14,766","52,263","15,688","49,170","17,084","46,086"
TX,TX House 22,"33,412","16,112","35,780","17,438","34,946","17,121"
TX,TX House 23,"25,711","35,129","25,365","31,282","25,155","29,969"
TX,TX House 24,"20,895","51,967","16,936","49,564","17,037","48,267"
TX,TX House 25,"16,136","40,491","15,921","38,732","15,873","37,370"
TX,TX House 26,"31,636","35,022","22,551","39,592","21,691","39,341"
TX,TX House 27,"47,519","18,478","42,814","18,942","41,961","19,025"
TX,TX House 28,"36,091","44,646","22,001","40,593","21,324","40,305"
TX,TX House 29,"30,564","40,666","22,480","40,170","21,866","39,657"
TX,TX House 30,"16,619","43,622","17,508","39,745","17,101","37,616"
TX,TX House 31,"25,727","19,622","27,544","16,605","24,572","16,783"
TX,TX House 32,"23,731","30,172","21,104","28,992","20,088","28,215"
TX,TX House 33,"27,150","56,148","18,860","51,437","18,253","49,554"
TX,TX House 34,"25,467","20,594","24,668","19,974","23,438","19,793"
TX,TX House 35,"22,851","12,100","20,470","10,081","18,249","10,700"
TX,TX House 36,"27,660","8,712","22,133","7,230","20,055","7,653"
TX,TX House 37,"24,250","9,764","20,458","8,786","17,376","10,002"
TX,TX House 38,"26,203","12,248","21,465","10,696","18,334","11,961"
TX,TX House 39,"27,271","10,215","24,015","8,144","21,439","8,667"
TX,TX House 40,"23,221","8,505","19,468","6,121","17,481","6,556"
TX,TX House 41,"26,755","16,570","19,935","14,906","18,140","15,129"
TX,TX House 42,"29,363","9,357","27,168","8,475","22,009","11,374"
TX,TX House 43,"22,725","27,561","22,554","25,017","21,115","24,520"
TX,TX House 44,"23,181","50,630","20,565","45,335","19,696","43,090"
TX,TX House 45,"34,468","38,038","26,757","35,299","26,076","33,625"
TX,TX House 46,"42,611","8,909","35,149","9,240","33,987","8,980"
TX,TX House 47,"48,658","48,838","34,440","50,843","33,777","48,717"
TX,TX House 48,"58,773","25,362","46,031","32,025","45,154","30,240"
TX,TX House 49,"70,133","15,237","50,488","17,907","48,284","17,020"
TX,TX House 50,"44,732","21,207","34,110","22,906","33,022","21,883"
TX,TX House 51,"43,353","7,656","32,570","7,231","30,985","7,144"
TX,TX House 52,"32,190","33,193","23,849","30,764","22,940","29,369"
TX,TX House 53,"15,038","55,313","15,155","52,018","15,008","49,791"
TX,TX House 54,"23,624","27,379","21,909","25,343","20,420","25,392"
TX,TX House 55,"15,660","31,004","15,082","29,852","14,447","29,030"
TX,TX House 56,"18,722","38,954","16,850","39,158","16,350","38,601"
TX,TX House 57,"13,370","44,974","14,935","42,031","15,610","39,646"
TX,TX House 58,"12,266","50,721","11,863","43,546","12,225","41,721"
