STATE,DISTRICT,Clinton 2016 President D,Trump 2016 President R,Obama 2012 President D,Romney 2012 President R,Howell 2012 Senate D,Hatch 2012 Senate R
UT,UT House 1,"1,532","8,909","1,315","12,434","2,392","10,820"
UT,UT House 2,"1,909","8,594","1,168","10,924","1,702","9,696"
UT,UT House 3,"2,497","7,967","1,809","12,543","2,551","11,303"
UT,UT House 4,"3,766","4,200","2,775","8,899","3,342","7,903"
UT,UT House 5,"2,228","8,466","1,602","12,794","2,430","11,437"
UT,UT House 6,"2,378","8,308","1,340","11,575","2,049","10,226"
UT,UT House 7,"3,759","7,143","3,140","10,451","3,770","9,363"
UT,UT House 8,"4,733","5,904","3,943","7,900","4,438","6,961"
UT,UT House 9,"2,983","4,751","2,643","5,849","2,930","5,257"
UT,UT House 10,"4,286","4,468","3,671","6,540","4,089","5,877"
UT,UT House 11,"3,811","7,250","3,408","10,189","4,196","9,000"
UT,UT House 12,"2,921","7,490","2,533","9,575","3,180","8,502"
UT,UT House 13,"2,836","6,632","2,448","9,529","3,072","8,537"
UT,UT House 14,"2,668","5,569","2,353","8,213","2,733","7,440"
UT,UT House 15,"2,663","8,821","1,905","12,300","2,674","11,070"
UT,UT House 16,"3,539","7,016","2,868","9,584","3,413","8,616"
UT,UT House 17,"3,327","7,863","2,514","13,470","3,553","11,925"
UT,UT House 18,"3,856","8,943","2,591","15,002","3,833","13,295"
UT,UT House 19,"4,487","7,669","3,403","13,936","4,618","12,244"
UT,UT House 20,"4,471","7,007","3,095","11,330","4,008","9,986"
UT,UT House 21,"3,054","5,986","3,153","8,206","3,651","7,322"
UT,UT House 22,"3,857","3,806","3,679","5,822","4,140","5,047"
UT,UT House 23,"4,912","1,743","4,314","3,012","4,359","2,850"
UT,UT House 24,"12,471","2,907","9,625","5,177","9,725","4,969"
UT,UT House 25,"12,650","1,963","10,256","3,490","10,308","3,303"
UT,UT House 26,"5,954","1,747","4,727","2,545","4,766","2,447"
UT,UT House 27,"2,174","10,383","1,075","15,392","1,864","13,983"
UT,UT House 28,"13,282","3,794","10,634","8,127","11,151","7,507"
UT,UT House 29,"2,389","9,755","1,942","12,687","2,943","11,168"
UT,UT House 30,"4,216","3,687","3,936","6,422","4,517","5,539"
UT,UT House 31,"3,700","2,668","3,414","4,286","3,565","3,899"
UT,UT House 32,"5,482","7,526","4,589","11,930","5,565","10,631"
UT,UT House 33,"3,901","2,749","3,615","4,308","3,876","3,833"
UT,UT House 34,"5,203","3,930","4,786","6,926","5,260","6,177"
UT,UT House 35,"5,869","2,648","4,740","4,070","4,845","3,783"
UT,UT House 36,"10,673","5,798","8,845","11,517","10,082","10,232"
UT,UT House 37,"8,455","5,871","7,214","10,115","8,202","8,967"
UT,UT House 38,"3,560","3,170","3,351","5,368","3,672","4,808"
UT,UT House 39,"4,723","4,584","4,518","7,894","5,226","6,885"
UT,UT House 40,"9,378","3,715","7,859","7,010","8,418","6,276"
UT,UT House 41,"3,386","9,068","2,588","13,025","3,655","11,418"
UT,UT House 42,"4,209","6,207","3,044","9,376","3,684","8,323"
UT,UT House 43,"4,219","4,856","3,823","8,242","4,459","7,280"
UT,UT House 44,"6,338","5,145","5,183","8,218","6,012","7,175"
UT,UT House 45,"6,079","5,759","5,169","9,430","6,030","8,294"
UT,UT House 46,"9,155","6,229","7,790","10,299","8,704","9,160"
UT,UT House 47,"4,094","5,178","3,540","8,377","4,180","7,406"
UT,UT House 48,"2,361","7,603","1,306","13,184","2,105","11,807"
UT,UT House 49,"7,486","7,643","6,423","12,522","7,515","11,109"
UT,UT House 50,"5,190","9,656","3,475","14,719","4,634","13,137"
UT,UT House 51,"4,443","7,533","3,178","10,521","3,819","9,544"
UT,UT House 52,"3,933","8,774","2,606","11,452","3,340","10,186"
UT,UT House 53,"5,563","10,539","4,264","12,555","5,367","10,861"
UT,UT House 54,"7,902","8,169","5,900","9,806","6,410","8,921"
UT,UT House 55,"1,092","11,238","1,104","11,902","1,408","11,057"
UT,UT House 56,"1,871","7,876","1,170","12,741","2,085","11,293"
UT,UT House 57,"1,891","7,882","1,086","12,162","1,859","10,780"
UT,UT House 58,"1,399","9,167","1,299","11,496","2,257","9,898"
UT,UT House 59,"2,313","6,970","1,360","10,963","2,063","9,642"
UT,UT House 60,"2,313","6,665","1,398","11,837","2,193","10,478"
UT,UT House 61,"2,360","5,530","1,583","9,974","2,170","8,848"
UT,UT House 62,"2,278","11,899","1,814","11,591","2,516","10,152"
UT,UT House 63,"1,385","2,340",661,"5,147","1,040","4,416"
UT,UT House 64,"2,305","4,234","1,446","7,922","1,994","6,901"
UT,UT House 65,"2,122","8,594","1,315","12,451","2,201","10,935"
UT,UT House 66,"1,688","8,516","1,182","11,760","2,205","10,110"
UT,UT House 67,"1,433","8,537","1,159","10,735","1,903","9,324"
UT,UT House 68,"2,177","9,666","2,085","11,273","3,029","9,663"
UT,UT House 69,"2,811","9,208","3,381","9,232","4,025","8,236"
UT,UT House 70,"2,255","11,075","2,314","11,893","3,070","10,643"
UT,UT House 71,"2,418","11,345","2,034","11,603","2,550","9,971"
UT,UT House 72,"2,045","8,615","1,785","10,797","2,279","9,442"
UT,UT House 73,"3,611","9,764","3,700","11,147","3,677","10,417"
UT,UT House 74,"3,806","12,657","2,996","13,541","3,864","11,777"
UT,UT House 75,"2,191","9,695","1,856","11,366","2,462","9,920"
