STATE,DISTRICT,Clinton 2016 President D,Trump 2016 President R,Obama 2012 President D,Romney 2012 President R,Kaine 2012 Senate D,Allen 2012 Senate R,Warner 2014 Senate D,Gillespie 2014 Senate R
VA,VA House 1,"5,486","24,935","8,111","22,675","9,193","21,722","5,256","11,512"
VA,VA House 2,"20,156","13,045","18,840","12,727","18,716","12,772","8,456","7,513"
VA,VA House 3,"5,357","26,717","8,027","23,836","9,220","23,069","5,195","11,625"
VA,VA House 4,"7,023","25,778","10,380","23,183","11,619","22,048","6,369","11,395"
VA,VA House 5,"7,458","26,457","10,299","24,026","11,541","23,113","6,334","12,619"
VA,VA House 6,"7,172","26,365","10,343","21,907","11,173","21,331","6,260","11,569"
VA,VA House 7,"12,356","23,934","14,041","21,757","15,068","21,138","8,331","11,469"
VA,VA House 8,"13,993","26,028","15,517","25,618","16,688","24,793","9,908","14,611"
VA,VA House 9,"9,733","25,907","12,577","23,062","13,509","22,759","7,659","13,076"
VA,VA House 10,"22,674","19,799","19,316","20,797","19,748","20,370","10,926","12,711"
VA,VA House 11,"19,186","10,759","20,671","10,886","21,184","10,645","10,367","5,462"
VA,VA House 12,"16,062","15,069","15,950","14,653","16,890","14,267","9,051","7,492"
VA,VA House 13,"21,207","15,459","18,796","15,005","18,700","15,078","8,180","8,947"
VA,VA House 14,"16,540","19,571","18,812","18,941","18,486","19,050","10,054","10,813"
VA,VA House 15,"9,547","27,102","12,376","23,405","12,657","23,284","5,957","14,175"
VA,VA House 16,"13,548","22,184","15,820","20,438","15,904","20,615","9,197","11,723"
VA,VA House 17,"14,627","25,056","16,454","25,323","17,430","24,520","9,616","14,060"
VA,VA House 18,"14,999","25,589","16,572","23,925","17,026","23,687","8,439","15,052"
VA,VA House 19,"10,352","28,375","13,839","24,654","14,488","24,561","8,374","14,029"
VA,VA House 20,"14,264","22,226","15,532","21,327","15,604","21,565","8,457","12,549"
VA,VA House 21,"18,474","16,776","18,683","16,834","18,880","16,381","9,715","9,081"
VA,VA House 22,"12,629","25,283","14,580","23,598","14,823","23,471","7,535","14,209"
VA,VA House 23,"13,605","25,934","14,141","26,882","14,624","26,524","8,382","15,309"
VA,VA House 24,"11,100","23,310","13,099","21,596","13,613","21,791","7,872","12,505"
VA,VA House 25,"15,908","24,806","15,217","24,514","15,856","24,409","9,342","15,143"
VA,VA House 26,"14,014","16,580","12,793","16,300","12,631","16,511","6,016","9,203"
VA,VA House 27,"20,070","21,098","19,784","23,309","20,785","22,581","11,229","13,180"
VA,VA House 28,"17,847","18,267","18,463","18,430","18,874","18,129","9,038","10,921"
VA,VA House 29,"12,871","23,602","13,754","21,174","14,452","20,708","7,415","13,439"
VA,VA House 30,"13,913","23,579","15,614","20,490","15,829","20,582","7,775","13,128"
VA,VA House 31,"22,877","18,408","21,395","18,403","21,466","18,376","10,736","11,452"
VA,VA House 32,"26,931","17,154","22,139","19,773","22,377","19,433","11,924","11,508"
VA,VA House 33,"19,082","25,370","17,855","24,104","18,438","23,820","10,446","15,682"
VA,VA House 34,"25,834","16,236","22,631","22,418","23,765","21,264","15,173","13,869"
VA,VA House 35,"27,129","11,156","24,182","15,735","24,705","15,220","13,559","8,754"
VA,VA House 36,"28,968","10,377","26,201","14,182","26,665","13,761","15,660","8,038"
VA,VA House 37,"25,251","10,847","21,621","13,667","21,757","13,527","10,483","7,692"
VA,VA House 38,"23,832","8,225","20,938","10,199","21,046","10,005","11,145","6,059"
VA,VA House 39,"28,295","11,566","24,856","14,837","25,084","14,622","13,473","8,869"
VA,VA House 40,"23,783","18,772","20,851","22,530","21,150","21,722","11,159","13,817"
VA,VA House 41,"27,941","13,526","25,299","17,670","25,847","17,229","14,419","10,974"
VA,VA House 42,"24,940","15,158","22,120","19,385","22,559","18,956","12,957","12,217"
VA,VA House 43,"28,728","10,332","25,941","13,355","25,729","12,865","13,707","7,479"
VA,VA House 44,"23,564","8,722","22,103","11,600","22,184","11,533","12,521","7,519"
