STATE,DISTRICT,Clinton 2016 President D,Trump 2016 President R,Obama 2012 President D,Romney 2012 President R,Baldwin 2012 Senate D,Thompson 2012 Senate R
WI,WI Assembly 1,"13,459","18,524","16,812","16,846","16,496","16,159"
WI,WI Assembly 2,"11,258","18,320","14,168","16,941","13,805","16,127"
WI,WI Assembly 3,"12,394","17,294","14,551","16,435","13,818","15,907"
WI,WI Assembly 4,"13,416","16,278","15,634","16,631","15,258","15,831"
WI,WI Assembly 5,"11,483","19,009","14,321","16,559","13,829","15,857"
WI,WI Assembly 6,"8,586","17,879","12,433","15,420","12,028","14,696"
WI,WI Assembly 7,"14,258","10,127","16,372","11,961","15,521","11,679"
WI,WI Assembly 8,"9,558","1,639","11,298","1,670","9,595","1,946"
WI,WI Assembly 9,"12,021","4,006","13,761","4,499","12,359","4,540"
WI,WI Assembly 10,"23,377","2,122","29,006","3,111","27,397","3,498"
WI,WI Assembly 11,"20,005","2,859","24,989","3,628","23,366","3,937"
WI,WI Assembly 12,"18,857","4,243","22,589","5,513","21,222","5,660"
WI,WI Assembly 13,"16,073","16,559","15,203","20,982","14,712","20,840"
WI,WI Assembly 14,"17,646","16,107","16,280","21,705","15,521","21,702"
WI,WI Assembly 15,"13,159","15,240","14,751","17,765","14,170","17,345"
WI,WI Assembly 16,"19,416","1,806","25,647","2,552","23,865","2,869"
WI,WI Assembly 17,"22,719","3,178","27,549","4,329","26,019","4,554"
WI,WI Assembly 18,"19,544","2,180","25,594","2,913","23,901","3,232"
WI,WI Assembly 19,"24,903","6,909","25,668","10,321","23,743","10,882"
WI,WI Assembly 20,"16,508","11,717","18,812","13,017","18,073","12,606"
WI,WI Assembly 21,"12,888","14,399","14,706","15,671","14,170","15,264"
WI,WI Assembly 22,"12,536","21,294","16,352","21,857","15,501","21,835"
WI,WI Assembly 23,"18,543","16,477","12,682","23,670","12,276","23,154"
WI,WI Assembly 24,"15,906","17,165","15,824","20,653","15,170","20,466"
WI,WI Assembly 25,"9,901","16,221","13,782","15,201","13,181","14,507"
WI,WI Assembly 26,"11,025","15,647","14,804","17,305","13,970","17,089"
WI,WI Assembly 27,"12,401","16,579","13,664","16,338","12,798","16,053"
WI,WI Assembly 28,"9,662","18,332","12,833","16,093","12,992","15,060"
WI,WI Assembly 29,"11,019","15,428","13,735","14,272","13,361","13,767"
WI,WI Assembly 30,"13,874","16,462","14,777","16,694","14,737","16,082"
WI,WI Assembly 31,"11,948","15,773","14,066","15,853","13,539","15,220"
WI,WI Assembly 32,"9,739","16,544","11,850","16,411","11,290","15,778"
WI,WI Assembly 33,"10,971","18,298","12,740","18,804","12,333","18,406"
WI,WI Assembly 34,"12,409","21,223","15,848","19,330","15,326","18,109"
WI,WI Assembly 35,"10,131","17,678","14,225","15,805","14,002","14,520"
WI,WI Assembly 36,"9,345","18,751","13,776","15,553","13,406","14,492"
WI,WI Assembly 37,"11,928","16,233","14,163","16,308","13,324","16,276"
WI,WI Assembly 38,"12,878","19,124","14,244","19,649","13,459","19,562"
WI,WI Assembly 39,"9,440","17,900","12,565","16,958","12,002","16,540"
WI,WI Assembly 40,"9,274","17,873","12,836","15,373","12,263","14,927"
WI,WI Assembly 41,"9,853","16,304","13,777","14,278","12,847","14,127"
WI,WI Assembly 42,"11,837","16,027","15,674","14,736","14,643","14,966"
WI,WI Assembly 43,"15,589","13,510","18,730","12,885","17,723","13,034"
