STATE,DISTRICT,Clinton 2016 President D,Trump 2016 President R,Obama 2012 President D,Romney 2012 President R,Manchin 2012 Senate D,Raese 2012 Senate R,Tennant 2014 Senate D,Capito 2014 Senate R
WV,WV House 1,"4,016","10,935","5,730","8,781","9,690","4,453","3,174","5,777"
WV,WV House 2,"1,874","4,792","2,989","3,685","4,852","1,740","1,862","2,675"
WV,WV House 3,"5,123","10,077","6,236","9,804","10,210","5,466","3,604","7,081"
WV,WV House 4,"3,228","10,535","4,947","8,919","9,089","4,591","2,837","6,048"
WV,WV House 5,"1,420","4,825","2,310","3,734","4,033","1,976","1,603","2,576"
WV,WV House 6,892,"5,483","1,506","4,541","3,011","2,892",864,"2,842"
WV,WV House 7,"1,094","5,634","1,682","4,649","3,682","2,596","1,036","3,206"
WV,WV House 8,"1,845","5,908","2,319","5,039","4,475","2,703","1,286","3,449"
WV,WV House 9,"1,278","6,235","2,031","4,937","4,273","2,586","1,168","3,323"
WV,WV House 10,"5,663","15,202","7,556","13,634","13,544","6,977","4,154","8,952"
WV,WV House 11,"1,448","4,919","2,267","3,989","3,887","2,214","1,597","3,147"
WV,WV House 12,"1,553","5,569","2,295","4,520","4,261","2,469","1,585","3,358"
WV,WV House 13,"3,225","10,613","5,207","8,441","9,032","4,438","3,464","6,103"
WV,WV House 14,"1,470","5,015","2,371","3,879","4,334","1,867","1,457","2,971"
WV,WV House 15,"2,258","6,431","2,412","6,280","4,744","3,747","1,544","4,452"
WV,WV House 16,"6,093","9,873","7,416","8,584","11,327","4,359","4,259","6,025"
WV,WV House 17,"4,505","7,178","5,170","6,934","8,531","3,379","3,160","4,871"
WV,WV House 18,"1,841","5,119","2,274","4,460","4,441","2,279","1,464","3,082"
WV,WV House 19,"2,696","9,761","4,129","7,446","8,149","3,471","3,066","5,181"
WV,WV House 20,"1,012","5,224","1,734","4,271","4,445","1,512","1,462","2,693"
WV,WV House 21,690,"5,358","1,290","4,120","3,687","1,617","1,228","2,262"
WV,WV House 22,"2,541","9,412","3,666","7,951","7,583","3,973","2,541","5,035"
WV,WV House 23,"1,393","4,645","2,138","3,954","4,453","1,657","2,181","2,559"
WV,WV House 24,"2,038","9,556","3,308","7,891","8,224","2,772","2,802","4,574"
WV,WV House 25,969,"5,610","1,385","4,894","3,909","2,220","1,474","2,707"
WV,WV House 26,"1,458","3,983","2,011","3,482","3,981","1,368","1,520","1,723"
WV,WV House 27,"4,457","15,914","5,120","14,275","11,380","7,341","4,071","9,014"
WV,WV House 28,"2,979","11,899","3,795","10,447","8,392","5,504","3,169","6,741"
WV,WV House 29,"1,397","5,703","1,839","5,298","4,222","2,702","1,554","3,265"
WV,WV House 30,"2,570","4,387","2,904","4,411","4,746","2,294","2,111","3,000"
WV,WV House 31,"1,052","5,668","1,444","5,022","3,917","2,420","1,390","3,161"
WV,WV House 32,"5,094","13,343","6,488","10,976","11,019","5,894","5,222","7,202"
WV,WV House 33,"1,237","5,014","2,022","3,868","3,633","2,087","1,546","2,916"
WV,WV House 34,"1,589","4,322","2,443","3,340","3,841","1,605","1,784","2,421"
WV,WV House 35,"12,146","15,848","13,347","15,860","18,228","9,619","8,469","12,432"
WV,WV House 36,"7,315","12,048","8,688","10,909","13,023","6,023","6,044","7,665"
WV,WV House 37,"3,713","1,732","4,317","1,640","4,386","1,088","2,406","1,297"
WV,WV House 38,"2,506","5,917","2,857","5,513","4,790","3,415","1,733","3,856"
WV,WV House 39,"1,727","5,271","2,048","4,740","3,644","3,048","1,392","3,403"
WV,WV House 40,"1,579","5,530","2,076","4,992","3,911","3,024","1,509","3,618"
WV,WV House 41,"1,324","5,557","1,903","4,607","4,120","2,333","1,547","3,432"
WV,WV House 42,"3,993","10,144","4,945","8,423","8,333","4,429","3,869","5,835"
WV,WV House 43,"3,634","10,021","4,626","8,244","8,011","4,400","2,994","5,855"
WV,WV House 44,"1,204","4,887","1,867","3,688","3,485","2,005","1,542","2,511"
WV,WV House 45,"1,477","5,428","1,785","4,637","3,517","2,765","1,280","3,377"
WV,WV House 46,"1,510","5,979","1,938","5,020","3,924","3,033","1,568","3,516"
WV,WV House 47,"1,422","5,518","2,050","4,651","3,978","2,701","1,530","3,468"
