STATE,DISTRICT,Clinton 2016 President D,Trump 2016 President R,Obama 2012 President D,Romney 2012 President R,Chesnut 2012 Senate D,Barrasso 2012 Senate R
WY,WY House 1,378,"4,625",561,"4,277",461,"4,353"
WY,WY House 2,495,"3,781",769,"3,482",534,"3,720"
WY,WY House 3,281,"3,874",480,"3,759",337,"3,792"
WY,WY House 4,788,"3,930","1,320","3,590",985,"3,902"
WY,WY House 5,724,"3,325","1,161","3,165",747,"3,527"
WY,WY House 6,443,"3,992",721,"3,601",520,"3,815"
WY,WY House 7,"1,410","3,991","1,599","3,948","1,213","4,240"
WY,WY House 8,"1,718","2,517","1,982","2,801","1,540","3,196"
WY,WY House 9,"1,256","2,312","1,562","2,431","1,185","2,721"
WY,WY House 10,775,"4,098",969,"3,482",737,"3,613"
WY,WY House 11,"1,075","1,698","1,381","1,654","1,077","1,941"
WY,WY House 12,937,"2,098","1,341","1,799","1,020","2,074"
WY,WY House 13,"1,866","1,409","2,019","1,581","1,736","1,956"
WY,WY House 14,"1,541","1,840","1,563","1,996","1,312","2,296"
WY,WY House 15,783,"1,992","1,367","1,857",892,"2,331"
WY,WY House 16,"3,030","1,153","2,549","1,390","2,080","1,662"
WY,WY House 17,640,"2,082","1,053","1,969",817,"2,187"
WY,WY House 18,588,"3,632",865,"3,417",676,"3,582"
WY,WY House 19,433,"3,062",663,"3,210",548,"3,283"
WY,WY House 20,557,"3,059",668,"3,123",492,"3,270"
WY,WY House 21,295,"3,410",291,"3,885",266,"3,817"
WY,WY House 22,"1,817","2,918","1,717","3,005","1,432","3,201"
WY,WY House 23,"3,128","2,055","2,624","2,631","2,192","2,936"
WY,WY House 24,989,"3,649","1,128","3,735",881,"3,921"
WY,WY House 25,739,"2,886",905,"3,073",657,"3,282"
WY,WY House 26,475,"3,090",689,"3,282",445,"3,492"
WY,WY House 27,560,"3,125",830,"3,229",555,"3,543"
WY,WY House 28,594,"3,543",820,"3,547",543,"3,822"
WY,WY House 29,902,"2,687","1,170","2,771",892,"3,072"
WY,WY House 30,835,"3,221","1,080","3,212",791,"3,526"
WY,WY House 31,244,"3,433",437,"3,074",328,"3,094"
WY,WY House 32,436,"3,775",629,"3,614",470,"3,668"
WY,WY House 33,"1,270","1,410","1,729","1,302","1,115","1,767"
WY,WY House 34,523,"3,690",702,"3,489",505,"3,686"
WY,WY House 35,956,"4,079","1,123","3,741",783,"4,045"
WY,WY House 36,804,"2,554","1,202","2,447",887,"2,744"
WY,WY House 37,"1,029","3,571","1,286","3,618",929,"3,908"
WY,WY House 38,642,"3,359",955,"3,248",657,"3,518"
WY,WY House 39,715,"2,688","1,058","2,527",886,"2,712"
WY,WY House 40,657,"3,663",777,"3,551",511,"3,836"
WY,WY House 41,"1,304","2,297","1,619","2,179","1,230","2,529"
WY,WY House 42,"1,090","2,737","1,245","2,778",948,"3,034"
WY,WY House 43,908,"1,961","1,222","1,841",914,"2,120"
WY,WY House 44,"1,114","1,322","1,390","1,197","1,096","1,451"
WY,WY House 45,"1,557","1,562","1,835","1,562","1,629","1,845"
WY,WY House 46,"1,914","2,668","2,015","2,628","1,766","2,896"
WY,WY House 47,550,"3,189",852,"3,017",606,"3,271"
WY,WY House 48,728,"2,413","1,039","2,266",820,"2,476"
WY,WY House 49,674,"2,535",844,"2,775",719,"2,861"
WY,WY House 50,742,"4,042",796,"3,862",581,"3,995"
WY,WY House 51,"1,171","4,172","1,340","4,096","1,056","4,374"
WY,WY House 52,213,"3,206",365,"2,995",302,"2,957"
WY,WY House 53,306,"2,525",523,"2,499",403,"2,585"
WY,WY House 54,"1,629","2,779","1,817","2,968","1,409","3,285"
WY,WY House 55,752,"2,985","1,030","3,015",697,"3,324"
WY,WY House 56,"1,031","2,451","1,291","2,332",961,"2,636"
WY,WY House 57,879,"2,382","1,177","2,315",865,"2,654"
WY,WY House 58,446,"2,608",724,"2,244",537,"2,419"
WY,WY House 59,790,"2,548","1,203","2,187",915,"2,506"
WY,WY House 60,848,"2,761","1,214","2,692",934,"2,979"
