STATE,DISTRICT,Clinton 2016 President D,Trump 2016 President R,Obama 2012 President D,Romney 2012 President R,Chesnut 2012 Senate D,Barrasso 2012 Senate R
WY,WY Senate 1,591,"7,831",926,"7,272",763,"7,310"
WY,WY Senate 2,"1,231","7,922","2,041","7,191","1,505","7,717"
WY,WY Senate 3,"1,219","7,106","1,930","6,647","1,281","7,247"
WY,WY Senate 4,"2,714","6,288","3,218","6,127","2,443","6,769"
WY,WY Senate 5,"2,808","5,254","3,227","5,579","2,488","6,230"
WY,WY Senate 6,"2,031","6,410","2,531","5,913","1,922","6,334"
WY,WY Senate 7,"1,983","3,659","2,603","3,495","1,991","4,061"
WY,WY Senate 8,"2,051","3,420","2,731","2,996","2,116","3,525"
WY,WY Senate 9,"3,423","2,971","3,854","3,143","3,365","3,801"
WY,WY Senate 10,"3,455","4,508","3,578","4,624","3,078","5,192"
WY,WY Senate 11,"1,333","5,181","2,219","4,874","1,498","5,602"
WY,WY Senate 12,"1,368","4,495","2,092","4,235","1,637","4,663"
WY,WY Senate 13,"1,563","5,449","2,272","5,219","1,820","5,691"
WY,WY Senate 14,"1,145","6,691","1,533","6,540","1,168","6,852"
WY,WY Senate 15,"1,107","5,598","1,508","5,985","1,267","6,144"
WY,WY Senate 16,"2,112","6,328","2,008","6,890","1,698","7,018"
WY,WY Senate 17,"6,158","3,208","5,173","4,021","4,272","4,598"
WY,WY Senate 18,"1,731","7,691","1,924","7,598","1,461","7,916"
WY,WY Senate 19,"1,213","5,976","1,594","6,355","1,103","6,774"
WY,WY Senate 20,"1,154","6,668","1,650","6,776","1,098","7,365"
WY,WY Senate 21,"2,073","6,859","2,510","6,867","1,947","7,446"
WY,WY Senate 22,"1,492","6,884","1,857","6,763","1,302","7,362"
WY,WY Senate 23,525,"7,307",917,"6,833",665,"6,886"
WY,WY Senate 24,742,"6,300","1,152","6,113",873,"6,253"
WY,WY Senate 25,"2,898","4,189","3,545","4,271","2,523","5,052"
WY,WY Senate 26,"1,275","6,675","1,732","6,503","1,202","7,010"
WY,WY Senate 27,"1,760","6,633","2,325","6,188","1,669","6,789"
WY,WY Senate 28,"1,910","4,833","2,468","4,647","1,826","5,290"
WY,WY Senate 29,"1,818","6,119","2,488","5,805","1,843","6,414"
WY,WY Senate 30,"1,088","5,967","1,679","5,492","1,194","5,937"
