state,district_num,chamber,hand_incumbent
NV,6,lower,D
MO,126,lower,R
CT,75,lower,D
OH,9,lower,D
CT,22,lower,R
CT,77,lower,R
NY,115,lower,D
NM,20,lower,R
MN,31B,lower,R
GA,110,lower,R
PA,129,lower,R
CT,97,lower,D
ME,96,lower,D
KY,70,lower,D
IN,41,lower,R
PA,76,lower,D
ME,9,lower,R
TN,9,lower,R
TN,92,lower,R
PA,31,lower,D
GA,62,lower,D
IL,46,lower,D
PA,106,lower,R
NY,116,lower,D
MO,128,lower,R
WY,28,lower,R
GA,118,lower,D
NC,115,lower,D
PA,149,lower,D
CT,93,lower,D
CT,93,lower,R
ME,147,lower,R
OH,4,lower,R
WY,59,lower,R
PA,38,lower,D
PA,155,lower,R
Wi,35,lower,R
GA,145,lower,R
CT,110,lower,D
PA,142,lower,R
OH,88,lower,R
GA,34,lower,R
MA,76,lower,D
NC,19,lower,R
MI,17,lower,R
TX,33,lower,R
IA,2,lower,R
IN,55,lower,R
PA,25,lower,D
GA,2,lower,R
GA,22,lower,R
KY,82,lower,R
IL,54,lower,R
TN,6,lower,R
TN,76,lower,R
CT,41,lower,D
TN,84,lower,D
MO,29,lower,D
KS,58,lower,D
IN,46,lower,R
FL,34,lower,R
IN,20,lower,R
OH,30,lower,R
PA,61,lower,R
PA,60,lower,R
MO,96,lower,R
KS,27,lower,R
IN,15,lower,R
GA,30,lower,R
KY,12,lower,R
MA,163,lower,D
CO,17,lower,D
NC,5,lower,D
IN,89,lower,R
PA,96,lower,D
NM,60,lower,R
NC,85,lower,R
MT,41,lower,D
CT,92,lower,D
CT,142,lower,R
GA,167,lower,R
IN,90,lower,R
KS,95,lower,D
PA,196,lower,R
PA,170,lower,R
WI,80,lower,D
MN,40A,lower,D
IN,67,lower,R
MN,8A,lower,R
IL,82,lower,R
HI,51,lower,D
PA,59,lower,R
MT,5,lower,D
PA,37,lower,R
UT,60,lower,R
NC,44,lower,D
IL,8,lower,D
PA,1,lower,D
NC,24,upper,R
CT,13,upper,R
NC,14,upper,D
NY,11,upper,I
NY,34,upper,I
NC,49,upper,D
NC,48,upper,R
IL,44,upper,R
NY,58,upper,R
CT,26,upper,R
NC,7,upper,R
NC,39,upper,R
GA,13,upper,R
RI,31,upper,D
NC,3,upper,D
NC,25,upper,R
IL,14,upper,D
