year,state_po,office,district,candidate,party,mode,candidatevotes
2018,KY,State Representative,District 99,Richard White,republican,total,4750
2018,KY,State Representative,District 99,Bill Redwine,democrat,total,3731
2018,NY,State Assembly Member,District 99,Colin Schmitt,republican,total,25016
2018,NY,State Assembly Member,District 99,Matthew Rettig,democrat,total,22298
2018,NY,State Assembly Member,District 107,Jacob Ashby,republican,total,29170
2018,NY,State Assembly Member,District 107,Tistrya Houghtling,democrat,total,28282
2018,NY,State Assembly Member,District 121,John Salka,republican,total,23320
2018,NY,State Assembly Member,District 121,William Magee,democrat,total,22835
2018,NY,State Assembly Member,District 135,Mark Johns,republican,total,33542
2018,NY,State Assembly Member,District 135,Andrew Gilchrist,democrat,total,30639
2018,OR,State Representative,District 15,Shelly Boshart Davis,republican,total,17480
2018,OR,State Representative,District 15,Jerred Taylor,democrat,total,11991
2018,CT,State Senator,District 14,James J Maroney,democrat,total,21926
2018,CT,State Senator,District 14,Pam Staneski,republican,total,21926
2018,NY,State Senator,District 4,Philip Boyle,republican,total,52767
2018,NY,State Senator,District 4,Lou D'Amaro,democrat,total,49131
2018,NY,State Senator,District 43,Daphne Jordan,republican,total,67377
2018,NY,State Senator,District 43,Aaron Gladd,democrat,total,59615
