ordinal,number
first,1
second,2
third,3
fourth,4
fifth,5
sixth,6
seventh,7
eighth,8
ninth,9
tenth,10
eleventh,11
twelfth,12
thirteenth,13
fourteenth,14
fifteenth,15
sixteenth,16
seventeenth,17
eighteenth,18
nineteenth,19
twentieth,20
twentyfirst,21
twentysecond,22
twentythird,23
twentyfourth,24
twentyfifth,25
twentysixth,26
twentyseventh,27
twentyeighth,28
twentyninth,29
thirtieth,30
thirtyfirst,31
thirtysecond,32
thirtythird,33
thirtyfourth,34
thirtyfifth,35
thirtysixth,36
thirtyseventh,37
thirtyeighth,38
thirtyninth,39
