state,pop,cong_proj,,,,,
AL,"4,903,185",7,,,,,
AK,"731,545",1,,,,,
AZ,"7,278,717",10,,,,,
AR,"3,017,804",4,,,,,
CA,"39,512,223",52,,,,,
CO,"5,758,736",8,,,,,
CT,"3,565,287",5,,,,,
DE,"973,764",1,,,,,
FL,"21,477,737",28,,,,,
GA,"10,617,423",14,,,,,
HI,"1,415,872",2,,,,,
ID,"1,787,065",2,,,,,
IL,"12,671,821",17,,,,,
IN,"6,732,219",9,,,,,
IA,"3,155,070",4,,,,,
KS,"2,913,314",4,,,,,
KY,"4,467,673",6,,,,,
LA,"4,648,794",6,,,,,
ME,"1,344,212",2,,,,,
MD,"6,045,680",8,,,,,
MA,"6,892,503",9,,,,,
MI,"9,986,857",13,,,,,
MN,"5,639,632",7,,,,,
MS,"2,976,149",4,,,,,
MO,"6,137,428",8,,,,,
MT,"1,068,778",2,,,,,
NE,"1,934,408",3,,,,,
NV,"3,080,156",4,,,,,
NH,"1,359,711",2,,,,,
NJ,"8,882,190",12,,,,,
NM,"2,096,829",3,,,,,
NY,"19,453,561",26,,,,,
NC,"10,488,084",14,,,,,
ND,"762,062",1,,,,,
OH,"11,689,100",16,,,,,
OK,"3,956,971",5,,,,,
OR,"4,217,737",6,,,,,
PA,"12,801,989",17,,,,,
RI,"1,059,361",1,,,,,
SC,"5,148,714",7,,,,,
SD,"884,659",1,,,,,
TN,"6,829,174",9,,,,,
TX,"28,995,881",38,,,,,
UT,"3,205,958",4,,,,,
VT,"623,989",1,,,,,
VA,"8,535,519",11,,,,,
WA,"7,614,893",10,,,,,
WV,"1,792,147",2,,,,,
WI,"5,822,434",8,,,,,
WY,"578,759",1,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,by,Census,Bureau,12/30/2019
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
