STATE,Lean I,Tilt D,Lean D,MMD,Safe I,Toss-Up,Lean R,Tilt R,Safe D,Uncontested D,Safe R,Tilt I,Likely I,Uncontested I,Likely R,Likely D,Uncontested R,SEATS
TN,0,0,3,0,0,1,2,0,3,19,37,0,0,0,1,1,32,99
SC,0,1,2,0,0,1,0,1,20,19,29,0,0,0,4,1,46,124
IN,0,0,1,0,0,4,2,2,8,19,37,0,0,0,4,1,22,100
VT,1,0,0,46,1,4,1,2,25,0,6,0,2,3,4,9,0,104
RI,0,1,4,0,0,0,2,1,59,0,5,0,0,0,1,2,0,75
FL,0,2,4,0,0,7,3,6,38,0,51,0,0,0,8,1,0,120
UT,0,1,0,0,0,1,6,2,11,2,38,0,0,0,3,2,9,75
CA,0,0,0,0,0,1,1,1,36,20,8,1,0,0,3,4,5,80
WV,0,0,3,20,0,0,2,1,2,2,10,0,0,0,7,4,16,67
GA,0,2,9,0,0,3,4,4,11,50,57,0,0,0,5,2,33,180
WY,0,1,2,0,0,1,3,1,0,5,4,0,1,0,3,0,39,60
MO,0,2,1,0,0,1,4,2,14,28,56,0,0,0,2,2,51,163
NM,0,0,5,0,0,2,1,1,30,8,6,0,0,0,2,2,13,70
MT,0,1,2,0,0,3,6,2,24,8,22,0,0,0,1,4,27,100
CO,0,3,1,0,0,0,2,0,18,19,14,0,0,0,0,1,7,65
IL,0,0,7,0,0,3,7,3,11,54,15,0,0,0,2,1,15,118
NY,0,0,2,0,0,0,5,3,60,39,30,0,0,0,5,6,0,150
NC,0,3,4,0,0,5,6,2,33,7,49,0,0,0,3,5,3,120
AK,0,0,2,0,1,1,2,1,10,3,14,0,0,1,2,2,1,40
OR,0,1,4,0,0,1,0,0,22,6,19,0,0,0,2,5,0,60
MA,0,2,4,0,1,1,4,3,117,0,19,0,0,0,4,5,0,160
NV,0,2,2,0,0,1,0,0,16,5,5,0,0,0,0,4,7,42
MI,0,2,4,0,0,2,4,0,42,1,44,0,0,0,7,4,0,110
AR,0,0,1,0,0,0,4,2,7,14,31,0,0,0,1,1,39,100
CT,0,5,12,0,0,5,7,3,63,0,34,0,0,0,12,10,0,151
OK,0,3,2,0,0,1,4,1,9,5,17,0,0,0,3,2,54,101
OH,0,4,0,0,0,2,3,2,21,5,30,0,0,0,3,5,24,99
HI,0,0,0,0,0,0,0,0,27,17,2,0,0,0,2,3,0,51
KY,0,1,1,0,0,8,6,5,5,16,28,0,0,0,4,2,24,100
IA,0,4,4,0,0,3,6,3,10,21,24,0,0,0,4,8,13,100
TX,0,2,5,0,0,7,3,1,28,30,39,0,0,0,8,2,25,150
WI,0,0,2,0,0,2,3,2,29,4,39,0,0,0,6,1,11,99
ME,1,5,10,0,0,5,7,1,46,16,31,3,0,0,10,9,7,151
DE,0,0,1,0,0,1,0,1,25,0,13,0,0,0,0,0,0,41
MN,0,7,4,0,0,2,2,2,51,5,47,0,0,0,6,7,1,134
PA,0,3,11,0,0,2,5,7,32,41,39,0,0,0,17,5,41,203
KS,0,2,5,0,0,3,9,4,18,11,31,0,0,0,5,4,33,125
