STATE,Tilt D,Lean D,MMD,Toss-Up,Lean R,Tilt R,Safe D,Uncontested D,Safe R,No Election,Likely R,Likely D,Uncontested R,SEATS
TN,0,0,0,1,0,0,0,1,10,17,1,0,3,33
SC,0,2,0,0,2,0,8,6,14,0,1,3,10,46
IN,0,0,0,1,1,0,0,6,12,25,0,0,5,50
VT,0,0,10,0,1,0,1,0,0,0,0,1,0,13
RI,0,2,0,1,0,0,30,0,3,0,1,1,0,38
FL,0,0,0,1,1,0,9,0,7,20,1,1,0,40
UT,0,0,0,0,0,0,1,0,8,14,0,1,5,29
CA,1,0,0,0,1,2,7,8,1,20,0,0,0,40
WV,1,2,0,3,2,1,1,0,4,0,1,1,1,17
GA,1,1,0,0,2,0,5,14,20,0,1,0,12,56
WY,0,1,0,0,0,0,0,0,4,15,0,0,10,30
MO,0,2,0,1,1,0,3,2,5,17,0,0,3,34
NM,4,2,0,1,1,1,21,0,5,0,1,0,6,42
MT,2,3,0,0,1,0,4,1,6,25,1,0,7,50
CO,1,0,0,1,0,0,3,5,5,17,0,2,1,35
IL,1,1,0,0,0,0,5,9,1,39,0,1,2,59
NY,3,6,0,2,5,0,21,10,8,0,3,2,3,63
AK,0,0,0,0,2,0,2,1,4,9,1,0,1,20
NC,1,2,0,2,1,3,17,0,22,0,1,1,0,50
NE,1,4,0,0,0,0,3,3,3,24,4,1,6,49
OR,0,0,0,2,1,0,2,4,7,14,0,0,0,30
WA,0,2,0,1,3,0,9,1,5,23,1,1,3,49
MA,2,1,0,0,2,0,32,0,2,0,0,1,0,40
NV,1,1,0,0,1,0,2,3,1,11,1,0,0,21
AR,0,0,0,1,1,0,1,1,4,18,1,0,8,35
CT,3,5,0,2,2,0,13,0,5,0,4,2,0,36
NH,2,2,0,1,3,1,8,0,6,0,0,1,0,24
OK,0,0,0,1,1,1,0,1,7,23,3,0,11,48
OH,0,1,0,1,1,0,0,1,12,17,0,0,0,33
HI,0,0,0,0,0,0,6,5,0,13,0,1,0,25
KY,0,0,0,2,0,0,0,5,4,19,2,0,6,38
IA,1,0,0,3,1,1,3,2,7,25,3,0,4,50
TX,0,1,0,0,0,0,5,2,7,15,0,0,1,31
WI,0,0,0,1,2,0,3,2,3,17,3,0,2,33
AZ,0,0,0,1,2,2,5,6,7,0,0,2,5,30
SD,2,0,0,1,0,1,2,0,12,0,0,0,17,35
ME,1,4,0,3,0,1,12,2,9,0,2,1,0,35
ID,0,1,0,1,0,0,5,1,12,0,0,0,15,35
DE,1,0,0,0,1,0,5,0,3,10,0,1,0,21
MN,0,4,0,3,4,0,21,2,23,0,5,5,0,67
PA,1,1,0,2,0,0,3,5,10,25,1,1,1,50
ND,0,1,0,3,2,0,0,0,7,24,2,1,7,47
KS,0,4,0,4,0,0,3,1,11,0,4,3,10,40
